osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,maxspeed,junction,width,tunnel
127631200,True,1,EM 108,primary,False,48.757999999999996,"LINESTRING (-7.7915771 41.1618909, -7.7916301 41.1619794, -7.7917046 41.1620961, -7.7918325 41.1622849)",,,,,
127631209,False,2,EM 108,primary,False,55.306000000000004,"LINESTRING (-7.7915771 41.1618909, -7.7915622 41.1618754, -7.791412 41.1616957, -7.7913804 41.1616619, -7.7913527 41.1616338, -7.7913174 41.1616006, -7.7912744 41.1615633, -7.7912309 41.1615319, -7.791177 41.1614989)",Avenida de João Franco,,,,
127631209,False,2,EM 108,primary,True,67.585,"LINESTRING (-7.7885133 41.1601259, -7.7891848 41.1604633)",Avenida de João Franco,,,,
127882908,True,,,residential,False,99.804,"LINESTRING (-7.7885133 41.1601259, -7.7882292 41.1605243, -7.7879494 41.1609167)",Rua Barão de Forrester,,,,
156572209,False,2,EM 108,primary,False,59.202,"LINESTRING (-7.7885133 41.1601259, -7.788399 41.1600705, -7.7883256 41.1600364, -7.7882446 41.1600027, -7.78789 41.1598761)",Avenida da Galiza,,,,
67811586,False,,EM 601,secondary,False,15.915,"LINESTRING (-7.7923751 41.1641051, -7.7923477 41.1640748, -7.7923333 41.1640428, -7.7923273 41.164007, -7.7923274 41.1639704)",Avenida de Ovar,,,,
156468215,False,2,EM 601,secondary,False,85.108,"LINESTRING (-7.7923751 41.1641051, -7.7924136 41.1641225, -7.7933059 41.1644123)",Rua da Ferreirinha,,,,
127631452,True,,CM 1304,tertiary,False,58.241,"LINESTRING (-7.7873231 41.1606899, -7.7878705 41.1608796, -7.7879109 41.1608969, -7.7879494 41.1609167)",Rua dos Camilos,50,,,
67811589,True,,,residential,False,102.18,"LINESTRING (-7.78789 41.1598761, -7.7873231 41.1606899)",Rua 1º de Dezembro,,,,
156572209,False,2,EM 108,primary,False,135.042,"LINESTRING (-7.78789 41.1598761, -7.7876064 41.1597774, -7.7873937 41.1597033, -7.787329 41.1596798, -7.7867332 41.1594687, -7.7864289 41.1593615)",Avenida da Galiza,,,,
156572209,False,2,EM 108,primary,True,59.202,"LINESTRING (-7.78789 41.1598761, -7.7882446 41.1600027, -7.7883256 41.1600364, -7.788399 41.1600705, -7.7885133 41.1601259)",Avenida da Galiza,,,,
67811590,True,,,residential,False,44.912,"LINESTRING (-7.7861791 41.1602824, -7.7862099 41.1602226, -7.7862162 41.1601944, -7.78621 41.1601629, -7.7861872 41.1601267, -7.7860674 41.1599051)",Travessa do Midão,,,,
127631452,True,,CM 1304,tertiary,False,105.94900000000001,"LINESTRING (-7.7861791 41.1602824, -7.7870225 41.1605818, -7.7873231 41.1606899)",Rua dos Camilos,50,,,
67811590,True,,,residential,False,67.598,"LINESTRING (-7.7860674 41.1599051, -7.7864289 41.1593615)",Travessa do Midão,,,,
1014632986,False,,,residential,True,39.743,"LINESTRING (-7.7860674 41.1599051, -7.7860351 41.15986, -7.7860115 41.1598352, -7.7859864 41.1598103, -7.7859471 41.1597807, -7.7859062 41.1597583, -7.7857175 41.1596754)",Travessa do Midão,,,,
156572209,False,2,EM 108,primary,True,135.042,"LINESTRING (-7.7864289 41.1593615, -7.7867332 41.1594687, -7.787329 41.1596798, -7.7873937 41.1597033, -7.7876064 41.1597774, -7.78789 41.1598761)",Avenida da Galiza,,,,
156468214,True,,,residential,False,249.79900000000004,"LINESTRING (-7.7906691 41.1621358, -7.7908862 41.162657, -7.7912675 41.1635724, -7.7913004 41.1636322, -7.7913484 41.1636857, -7.7914192 41.16374, -7.7914877 41.163775, -7.792049 41.163988)",Rua da Ferreirinha,,,,
156569633,True,,CM 1304,tertiary,False,27.688,"LINESTRING (-7.7887016 41.1625353, -7.7888545 41.1627561)",Largo dos Aviadores,,,,
441351283,False,2,,tertiary,True,454.3969999999998,"LINESTRING (-7.7887016 41.1625353, -7.7881664 41.1617686, -7.7880617 41.1616187, -7.788026 41.1615748, -7.7879905 41.1615423, -7.7879554 41.1615183, -7.7879141 41.1614983, -7.7878615 41.1614776, -7.7877956 41.1614558, -7.7869876 41.1611893, -7.7868631 41.1611482, -7.7868105 41.1611308, -7.7867518 41.1611117, -7.7867149 41.1611045, -7.786679 41.1611003, -7.7866406 41.1610994, -7.7865997 41.1611026, -7.7865415 41.1611096, -7.786497 41.1611174, -7.7864514 41.1611263, -7.7863468 41.1611497, -7.7862366 41.1611743, -7.7858149 41.1612686, -7.785764 41.1612779, -7.7857177 41.1612835, -7.7856697 41.1612863, -7.7856247 41.1612857, -7.7855798 41.1612804, -7.7855332 41.1612701, -7.7854945 41.1612598, -7.7854599 41.161245, -7.7854287 41.1612256, -7.7854054 41.1612057, -7.7853782 41.1611744, -7.7852497 41.1609921, -7.7852361 41.160978, -7.7852218 41.1609633, -7.7851927 41.1609385, -7.7851628 41.1609171, -7.7848856 41.1607604, -7.7847406 41.1606783, -7.7846935 41.1606524, -7.7846482 41.1606314, -7.7846001 41.160616)",Avenida Doutor Manuel de Arriaga,50,,,
