osmid,ref,highway,oneway,reversed,length,geometry,name,lanes,junction
956672155,EN 207,primary,False,True,93.87100000000001,"LINESTRING (-8.3344553 41.28648, -8.3347779 41.2866839, -8.3351701 41.2868951, -8.335351 41.2869884)",,,
1156621010,,residential,False,True,78.96799999999999,"LINESTRING (-8.3344553 41.28648, -8.3347992 41.2863945, -8.3353585 41.2862712)",,,
956672155,EN 207,primary,False,False,15.611,"LINESTRING (-8.335505 41.2870679, -8.335351 41.2869884)",,,
234348704,,residential,False,False,29.012,"LINESTRING (-8.335505 41.2870679, -8.33538 41.2872582, -8.3353501 41.2873014)",Rua Coronel José B. Barreiros,,
956672155,EN 207,primary,False,True,55.426,"LINESTRING (-8.335505 41.2870679, -8.3356253 41.28713, -8.3360482 41.287354)",,,
150606811,,residential,True,False,124.134,"LINESTRING (-8.3374243 41.2882582, -8.337925 41.2880611, -8.3383982 41.2879574, -8.3386063 41.2879621, -8.3386811 41.2879638, -8.3387478 41.2879653, -8.3388183 41.2879406)",,2,
366597375,,residential,True,False,96.624,"LINESTRING (-8.3374243 41.2882582, -8.3371894 41.2884004, -8.3369071 41.2886072, -8.3368743 41.2886312, -8.3366986 41.2887662, -8.336657 41.2887823, -8.336549 41.2888155)",,,
956672162,EN 207,primary,False,True,62.629000000000005,"LINESTRING (-8.3374243 41.2882582, -8.3372095 41.2880088, -8.3369433 41.2878332)",,,
956672163,EN 207,primary,False,False,62.56700000000001,"LINESTRING (-8.3374243 41.2882582, -8.3375948 41.2884344, -8.3378321 41.2885993, -8.3379608 41.2886316)",,,
150606444,EM 560,tertiary,True,False,108.6,"LINESTRING (-8.3406526 41.288442, -8.341525 41.289166)",Rua do Grupo Teatral Freamundense,1,
150604798,EN 207,primary,True,False,68.173,"LINESTRING (-8.3406526 41.288442, -8.3405277 41.2884772, -8.3400924 41.2887985, -8.3400247 41.2888177)",,,
150604802,EN 207,primary,True,False,10.802,"LINESTRING (-8.3407302 41.2883643, -8.3406526 41.288442)",Rua do Comércio,,
150604802,EN 207,primary,True,False,53.207,"LINESTRING (-8.3420395 41.2864669, -8.3419862 41.2865279, -8.3419006 41.286626, -8.3418559 41.2866913, -8.341791 41.2867863, -8.3417254 41.2868824)",Rua do Comércio,,
