osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,junction,tunnel
168971025,True,1,secondary_link,False,67.015,"LINESTRING (-8.6470294 41.1821035, -8.6468252 41.1822621, -8.646712 41.1823388, -8.6466023 41.1824089, -8.6465844 41.1824268, -8.6465757 41.1824427, -8.6465697 41.1824635, -8.6465696 41.1824769, -8.6465703 41.1824877, -8.6465764 41.1825032, -8.6465873 41.1825263, -8.6466097 41.1825548)",,,,,
1016548272,True,2,primary,False,93.92500000000001,"LINESTRING (-8.6470294 41.1821035, -8.6467187 41.18228, -8.6463835 41.1824704, -8.6462222 41.182562, -8.6461294 41.1826079)",EN 12,Estrada Interior da Circunvalação,,,
1016542180,True,,secondary,False,159.533,"LINESTRING (-8.6461294 41.1826079, -8.6460582 41.1824453, -8.6459898 41.1823113, -8.6459455 41.1822245, -8.6459144 41.1821636, -8.6457115 41.181752, -8.6456456 41.1816197, -8.6456271 41.1815799, -8.6454909 41.1812565)",,Rua Direita do Viso,,,
1016542179,True,,secondary,False,18.718,"LINESTRING (-8.6462188 41.1827622, -8.6461294 41.1826079)",,Rua Direita do Viso,,,
1164692079,True,2,primary,False,40.037,"LINESTRING (-8.6462188 41.1827622, -8.6463336 41.1827061, -8.6466097 41.1825548)",EN 12,Estrada Exterior da Circunvalação,50,,
649381805,True,1,secondary,False,93.863,"LINESTRING (-8.6531513 41.1819069, -8.6529717 41.1811255, -8.6529603 41.1810751)",,Avenida Doutor Manuel Teixeira Ruela,,,
95800277,True,,primary,False,24.53,"LINESTRING (-8.6512491 41.1890567, -8.6512863 41.1890755, -8.6513138 41.1890934, -8.6513406 41.1891151, -8.6513679 41.1891429, -8.6513891 41.1891706, -8.6514253 41.1892278)",EN 208,Rua da Estação Velha,,,
"[544888112, 632383208]",False,,primary,False,253.79999999999995,"LINESTRING (-8.6512491 41.1890567, -8.6510238 41.1890165, -8.6504104 41.1889084, -8.649797 41.1887952, -8.6495162 41.1887297, -8.6493382 41.1886882, -8.6488611 41.1885717, -8.6484573 41.1884655, -8.6483344 41.1884331)",EN 208,Rua da Estação Velha,,,
"[27010155, 583817453]",False,2,secondary,False,340.98799999999994,"LINESTRING (-8.6485746 41.183033, -8.6486928 41.1830585, -8.6503835 41.1834239, -8.6504354 41.1834341, -8.6504772 41.1834404, -8.6505082 41.1834437, -8.6505723 41.1834481, -8.6506406 41.1834512, -8.6507078 41.1834501, -8.6507901 41.1834423, -8.6509299 41.1834226, -8.6511038 41.1833883, -8.6512535 41.1833587, -8.6519191 41.1832269, -8.6524178 41.1831317, -8.6524964 41.1831146, -8.6525162 41.18311)",,Avenida da Senhora da Hora,50,,
27010155,False,2,secondary,True,173.424,"LINESTRING (-8.6485746 41.183033, -8.6484922 41.1830147, -8.6467687 41.1826318, -8.6467034 41.1826048, -8.6466097 41.1825548)",,Avenida da Senhora da Hora,50,,
