osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed
100542218,False,2,235,Rua Foral 6 de Abril de 1514,secondary,True,82.007,"LINESTRING (-8.4940208 40.5156657, -8.4932894 40.5151812)",
240234828,False,,,,residential,False,51.407,"LINESTRING (-8.4940208 40.5156657, -8.4935883 40.5159907)",
100542218,False,2,235,Rua Foral 6 de Abril de 1514,secondary,False,365.80699999999996,"LINESTRING (-8.4940208 40.5156657, -8.4942623 40.515857, -8.4947181 40.5161784, -8.4952034 40.5165063, -8.4957248 40.5168801, -8.4960822 40.5171064, -8.4964182 40.5172927, -8.4968537 40.5174784, -8.4973134 40.5176626, -8.4973956 40.5176923)",
237016028,False,,,,residential,False,157.695,"LINESTRING (-8.4940208 40.5156657, -8.4943737 40.5154713, -8.4947653 40.515247, -8.4952642 40.5149982, -8.4955127 40.5148188)",50
116884204,True,,EM 596,Rua Conde Ferreira,secondary,False,91.68700000000001,"LINESTRING (-8.4981339 40.5131137, -8.4979678 40.5131177, -8.4970647 40.5132446)",
188757963,False,,,Rua Nova,residential,False,63.73500000000001,"LINESTRING (-8.4981339 40.5131137, -8.498135 40.5133132, -8.4981226 40.513436, -8.4980951 40.513552, -8.4980508 40.5136803)",
237016027,False,,EM 603-3,Rua Bombeiros,tertiary,True,21.092,"LINESTRING (-8.4951721 40.5124895, -8.4952817 40.5123191)",50
237016027,False,,EM 603-3,Rua Bombeiros,tertiary,False,139.946,"LINESTRING (-8.4951721 40.5124895, -8.4951004 40.5125596, -8.4949858 40.512631, -8.4948203 40.5126863, -8.4947109 40.5127052, -8.4940983 40.5128152, -8.4936466 40.5129084)",50
240829365,False,,,,residential,False,111.99799999999999,"LINESTRING (-8.4951721 40.5124895, -8.4953488 40.5125452, -8.4954435 40.5125513, -8.4955604 40.5125406, -8.4964697 40.5124305)",50
240253654,False,,,,residential,False,323.486,"LINESTRING (-8.4964697 40.5124305, -8.4963342 40.5118395, -8.4962076 40.5112327, -8.4961953 40.5111493, -8.4962113 40.5110821, -8.4962737 40.511029, -8.4964169 40.5110125, -8.4966601 40.5110777, -8.4968765 40.5111678, -8.4970679 40.5112743, -8.4972699 40.5114241, -8.4974173 40.5115715, -8.4976802 40.5119153)",
240829365,False,,,,residential,False,98.277,"LINESTRING (-8.4964697 40.5124305, -8.4966594 40.5132205, -8.496674 40.5133005)",50
240829365,False,,,,residential,True,111.99800000000002,"LINESTRING (-8.4964697 40.5124305, -8.4955604 40.5125406, -8.4954435 40.5125513, -8.4953488 40.5125452, -8.4951721 40.5124895)",50
116884203,False,,EM 596,Rua Conde Ferreira,secondary,False,11.554,"LINESTRING (-8.496674 40.5133005, -8.4965388 40.5133157)",
