osmid,ref,highway,oneway,reversed,length,name,geometry,maxspeed
669468937,,residential,False,False,67.022,,"LINESTRING (-8.8721395 38.937556, -8.8716996 38.9370598)",
"[78384749, 807180054]",,residential,False,True,161.293,,"LINESTRING (-8.8721395 38.937556, -8.871675 38.937787, -8.8716121 38.9378183, -8.8712917 38.9379786, -8.8711014 38.9380539, -8.8708835 38.938132, -8.8705677 38.9383286)",
"[78384695, 78384678, 78384671]",,residential,False,"[False, True]",103.9,,"LINESTRING (-8.8650796 38.936248, -8.8651546 38.9361763, -8.8653626 38.9356984, -8.86533 38.935581, -8.8652832 38.9354663, -8.8652438 38.9353743)",
78384678,,residential,False,True,83.172,,"LINESTRING (-8.8650796 38.936248, -8.8650372 38.9362886, -8.8649921 38.9365134, -8.8650372 38.9368365, -8.8650738 38.9369768)",
78384705,,residential,False,False,63.468,,"LINESTRING (-8.8650796 38.936248, -8.8649954 38.9362114, -8.864756 38.9361609, -8.8645742 38.9361231, -8.8643998 38.9360452)",
78384688,,residential,False,False,19.946,,"LINESTRING (-8.8659878 38.9384289, -8.8662162 38.9384041)",
78384751,,residential,False,False,122.221,,"LINESTRING (-8.8659878 38.9384289, -8.8659947 38.9377084, -8.8660252 38.9373305)",
78384751,,residential,False,True,84.356,,"LINESTRING (-8.8659878 38.9384289, -8.8659145 38.9384464, -8.865621 38.9384684, -8.865384 38.9384289, -8.8650534 38.9383153)",
347696516,,residential,False,False,19.559,Rua dos Operários Agrícolas,"LINESTRING (-8.8670643 38.9318884, -8.8669421 38.9317404)",50
347696516,,residential,False,True,13.436,Rua dos Operários Agrícolas,"LINESTRING (-8.8670643 38.9318884, -8.8671778 38.9319709)",50
78384724,,residential,False,False,183.66,Azinhaga do Brejo,"LINESTRING (-8.8670643 38.9318884, -8.8660612 38.9325511, -8.8654099 38.9329221)",50
78384702,,residential,False,False,176.65,,"LINESTRING (-8.8653111 38.934256, -8.8646595 38.9344056, -8.8640139 38.9345777, -8.8636212 38.9347252, -8.863576 38.9347849, -8.8636116 38.9349025)",
78384727,,residential,False,False,31.421,Estrada do Brejo,"LINESTRING (-8.8653111 38.934256, -8.8652664 38.9341015, -8.8651819 38.9339961)",50
78384727,,residential,False,True,31.892,Estrada do Brejo,"LINESTRING (-8.8653111 38.934256, -8.8653756 38.9344266, -8.8654171 38.9345307)",50
78384741,,residential,False,True,40.838,,"LINESTRING (-8.8663659 38.9391607, -8.8663376 38.9390175, -8.8662979 38.9388168, -8.8662941 38.9387977)",
78384649,,residential,False,True,67.916,,"LINESTRING (-8.8693996 38.9375566, -8.869793 38.937028)",
78384659,,residential,False,False,60.067,Rua Professora Clara Passos Esteves,"LINESTRING (-8.8693996 38.9375566, -8.8699861 38.9378459)",
"[78384649, 78384634]",,residential,False,False,55.385,,"LINESTRING (-8.8693996 38.9375566, -8.869269 38.9378256, -8.8692631 38.9380361)",
78384659,,residential,False,True,126.70499999999998,Rua Professora Clara Passos Esteves,"LINESTRING (-8.8693996 38.9375566, -8.8690013 38.937392, -8.8681491 38.9369647)",
807180050,,residential,False,False,64.266,,"LINESTRING (-8.8699018 38.938584, -8.8691717 38.9384766)",
807180050,,residential,False,True,48.323,,"LINESTRING (-8.8699018 38.938584, -8.8699126 38.9385344, -8.8699667 38.9381721, -8.8699696 38.9381527)",
807180056,,residential,False,True,13.89,,"LINESTRING (-8.8699018 38.938584, -8.8698998 38.93863, -8.8698897 38.9387085)",
669468937,,residential,False,False,102.432,,"LINESTRING (-8.8716996 38.9370598, -8.8710362 38.9362967)",
669468937,,residential,False,True,67.022,,"LINESTRING (-8.8716996 38.9370598, -8.8721395 38.937556)",
807180052,,residential,False,False,25.946,,"LINESTRING (-8.8716996 38.9370598, -8.8719295 38.9369099)",
807180052,,residential,False,True,45.510999999999996,,"LINESTRING (-8.8716996 38.9370598, -8.8713194 38.9372908, -8.871284 38.9373108)",
78384742,,residential,False,False,73.256,,"LINESTRING (-8.8637922 38.9360978, -8.8639878 38.9367388)",
78384742,,residential,False,True,28.621,,"LINESTRING (-8.8637922 38.9360978, -8.8637212 38.9358464)",
78384705,,residential,False,True,53.075,,"LINESTRING (-8.8637922 38.9360978, -8.8639242 38.9360693, -8.8642232 38.936056, -8.8643998 38.9360452)",
78384708,,residential,False,False,163.219,,"LINESTRING (-8.8657772 38.9388562, -8.8648393 38.9389624, -8.8646847 38.9382417)",
306550381,,residential,False,True,139.761,,"LINESTRING (-8.8654099 38.9329221, -8.8644622 38.9319041)",
78384724,,residential,False,False,99.344,Azinhaga do Brejo,"LINESTRING (-8.8654099 38.9329221, -8.864688 38.9333362, -8.8644744 38.9334396)",50
78384724,,residential,False,True,183.66,Azinhaga do Brejo,"LINESTRING (-8.8654099 38.9329221, -8.8660612 38.9325511, -8.8670643 38.9318884)",50
78384659,,residential,False,True,60.067,Rua Professora Clara Passos Esteves,"LINESTRING (-8.8699861 38.9378459, -8.8693996 38.9375566)",
