osmid,lanes,highway,oneway,reversed,length,name,maxspeed,geometry,ref
"[236874804, 236869541]",2,residential,False,False,369.56300000000005,Rua Manuel das Neves,50,"LINESTRING (-8.7378234 40.6142076, -8.7380177 40.6149642, -8.7347383 40.6149662, -8.7346549 40.6149666)",
687714783,,residential,False,False,282.968,Rua de Ílhavo,50,"LINESTRING (-8.7378234 40.6142076, -8.7364303 40.61426, -8.7358912 40.6142502, -8.7347428 40.6141527, -8.7345145 40.6141333, -8.7344818 40.61413)",
"[687714786, 135931622]",,residential,False,True,69.182,Rua de Ílhavo,50,"LINESTRING (-8.7378234 40.6142076, -8.7378892 40.6142036, -8.7385421 40.6141573, -8.7386399 40.6141552)",
237028158,,secondary,False,True,77.909,Rua de Ílhavo,50,"LINESTRING (-8.7277718 40.6135024, -8.7286863 40.6135972)",EM 587
236873235,,residential,False,False,74.005,Rua Pedro Resende,50,"LINESTRING (-8.7298383 40.6137027, -8.7298564 40.6143681)",
237028158,,secondary,False,False,97.945,Rua de Ílhavo,50,"LINESTRING (-8.7298383 40.6137027, -8.7286863 40.6135972)",EM 587
237028158,,secondary,False,True,117.487,Rua de Ílhavo,50,"LINESTRING (-8.7298383 40.6137027, -8.7311303 40.6138189, -8.7312205 40.613827)",EM 587
236873235,,residential,False,False,15.487,Rua Pedro Resende,50,"LINESTRING (-8.7298564 40.6143681, -8.7298627 40.6145073)",
236873235,,residential,False,True,74.005,Rua Pedro Resende,50,"LINESTRING (-8.7298564 40.6143681, -8.7298383 40.6137027)",
237028157,,tertiary,False,False,99.743,Rua Professor Francisco Corujo,50,"LINESTRING (-8.733677 40.614048, -8.7336721 40.6140893, -8.7336563 40.6142225, -8.7335696 40.6149413)",EM 591
237028158,,secondary,False,False,97.487,Rua de Ílhavo,50,"LINESTRING (-8.733677 40.614048, -8.7334323 40.6140262, -8.7325301 40.6139448)",EM 587
237028159,,secondary,False,True,58.306,Rua do Carmo,50,"LINESTRING (-8.733677 40.614048, -8.7336787 40.6139726, -8.7336816 40.6138449, -8.7336893 40.6137004, -8.7336974 40.6135239)",EM 591
687714783,,residential,False,True,68.542,Rua de Ílhavo,50,"LINESTRING (-8.733677 40.614048, -8.7337554 40.6140561, -8.7338664 40.6140677, -8.7344818 40.61413)",
135931624,,residential,False,True,94.166,Rua Padre António Diogo,50,"LINESTRING (-8.7344818 40.61413, -8.7344874 40.6141573, -8.7346549 40.6149666)",
687714783,,residential,False,False,68.542,Rua de Ílhavo,50,"LINESTRING (-8.7344818 40.61413, -8.7338664 40.6140677, -8.7337554 40.6140561, -8.733677 40.614048)",
687714783,,residential,False,True,282.968,Rua de Ílhavo,50,"LINESTRING (-8.7344818 40.61413, -8.7345145 40.6141333, -8.7347428 40.6141527, -8.7358912 40.6142502, -8.7364303 40.61426, -8.7378234 40.6142076)",
236869541,,residential,False,False,318.277,Rua Manuel das Neves,50,"LINESTRING (-8.7335696 40.6149413, -8.7334862 40.6149355, -8.7322136 40.6148464, -8.7318959 40.6148496, -8.7313806 40.614821, -8.7306562 40.6146882, -8.7299416 40.6145169, -8.7298627 40.6145073)",
236869541,,residential,False,True,91.651,Rua Manuel das Neves,50,"LINESTRING (-8.7335696 40.6149413, -8.7336639 40.6149435, -8.7345631 40.6149645, -8.7346549 40.6149666)",
237028157,,tertiary,False,False,155.208,Rua Professor Francisco Corujo,50,"LINESTRING (-8.7335696 40.6149413, -8.733447 40.6155821, -8.7334016 40.6163296)",EM 591
237028157,,tertiary,False,True,99.743,Rua Professor Francisco Corujo,50,"LINESTRING (-8.7335696 40.6149413, -8.7336563 40.6142225, -8.7336721 40.6140893, -8.733677 40.614048)",EM 591
135931624,,residential,False,False,94.166,Rua Padre António Diogo,50,"LINESTRING (-8.7346549 40.6149666, -8.7344874 40.6141573, -8.7344818 40.61413)",
135931624,,residential,False,True,172.861,Rua Padre António Diogo,50,"LINESTRING (-8.7346549 40.6149666, -8.7347608 40.6156877, -8.7347608 40.6161505, -8.7347287 40.6165159)",
236869541,,residential,False,False,91.651,Rua Manuel das Neves,50,"LINESTRING (-8.7346549 40.6149666, -8.7345631 40.6149645, -8.7336639 40.6149435, -8.7335696 40.6149413)",
"[236874804, 236869541]",2,residential,False,True,369.56300000000005,Rua Manuel das Neves,50,"LINESTRING (-8.7346549 40.6149666, -8.7347383 40.6149662, -8.7380177 40.6149642, -8.7378234 40.6142076)",
160364487,,residential,False,True,113.916,,50,"LINESTRING (-8.7334016 40.6163296, -8.7334566 40.6163373, -8.7347287 40.6165159)",
237028157,,tertiary,False,False,101.605,Rua Professor Francisco Corujo,50,"LINESTRING (-8.7334016 40.6163296, -8.7333057 40.6169809, -8.7332679 40.6172377)",EM 591
237028157,,tertiary,False,True,155.208,Rua Professor Francisco Corujo,50,"LINESTRING (-8.7334016 40.6163296, -8.733447 40.6155821, -8.7335696 40.6149413)",EM 591
