osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,junction
1113627261,EN 341,Rua da Figueira da Foz,secondary,50,False,False,11.478,"LINESTRING (-8.8068144 40.0697321, -8.8066941 40.0697788)",,,
36976226,EM 626,Rua Professor José Nunes Gonçalves,tertiary,,False,True,154.63899999999998,"LINESTRING (-8.8068144 40.0697321, -8.8068853 40.0696298, -8.8072784 40.0693552, -8.8076364 40.0690865, -8.8079736 40.0686772)",,,
1113627261,EN 341,Rua da Figueira da Foz,secondary,50,False,True,281.50499999999994,"LINESTRING (-8.8068144 40.0697321, -8.8072665 40.0697146, -8.8077339 40.0697388, -8.8082873 40.0697277, -8.8090535 40.0697646, -8.8094245 40.0698088, -8.8098236 40.0699314, -8.8100658 40.0700042)",,,
1113627261,EN 341,Rua da Figueira da Foz,secondary,50,False,True,11.478,"LINESTRING (-8.8066941 40.0697788, -8.8068144 40.0697321)",,,
100281679,,Rua Doutor Adelino Mesquita,residential,,True,False,95.05000000000001,"LINESTRING (-8.8066941 40.0697788, -8.806572 40.0695662, -8.8063521 40.0689668)",1,,
100648691,,Rua da Serra,residential,50,True,False,143.517,"LINESTRING (-8.8066941 40.0697788, -8.8067814 40.0698207, -8.8068593 40.0699367, -8.8073661 40.070691, -8.8075229 40.070891)",,,
1113627262,EN 341,Rua Direita,secondary,50,False,False,214.60500000000002,"LINESTRING (-8.8066941 40.0697788, -8.8057587 40.0703425, -8.8052671 40.0706286, -8.8048251 40.0710575)",,,
100648703,,Rua da Manaia,residential,,True,False,291.77000000000004,"LINESTRING (-8.8048251 40.0710575, -8.805113 40.071393, -8.8052203 40.071512, -8.8053383 40.0716064, -8.8054188 40.0716188, -8.8054993 40.0716105, -8.8070174 40.0714422, -8.8076718 40.0713601, -8.8078542 40.0713396)",,,
1113627262,EN 341,Rua Direita,secondary,50,False,False,47.703,"LINESTRING (-8.8048251 40.0710575, -8.8046282 40.0712138, -8.8043902 40.0713221)",,,
1113627262,EN 341,Rua Direita,secondary,50,False,True,214.60500000000002,"LINESTRING (-8.8048251 40.0710575, -8.8052671 40.0706286, -8.8057587 40.0703425, -8.8066941 40.0697788)",,,
