osmid,oneway,ref,highway,maxspeed,reversed,length,lanes,geometry
347382534,True,EM 537-2,tertiary,50,False,20.759,,"LINESTRING (-8.4043451 41.7076445, -8.4045633 41.7077357)"
374979069,False,EM 537,tertiary,50,False,11.584,2,"LINESTRING (-8.4043451 41.7076445, -8.4044156 41.7075546)"
133990416,False,EM 537,tertiary,,False,7.364,,"LINESTRING (-8.4044156 41.7075546, -8.4044658 41.7075)"
374979069,False,EM 537,tertiary,50,True,11.584,2,"LINESTRING (-8.4044156 41.7075546, -8.4043451 41.7076445)"
362076935,False,CM 1211-1,tertiary,,True,304.693,,"LINESTRING (-8.4044156 41.7075546, -8.404154 41.7071893, -8.4039126 41.706881, -8.403698 41.7065045, -8.403639 41.7060559, -8.4034835 41.7056194, -8.4033815 41.7049666)"
133990416,False,EM 537,tertiary,,True,7.364,,"LINESTRING (-8.4044658 41.7075, -8.4044156 41.7075546)"
133990416,False,EM 537,tertiary,,False,336.87800000000004,,"LINESTRING (-8.4044658 41.7075, -8.4052019 41.7067055, -8.4058352 41.706022, -8.405887 41.7059809, -8.4059428 41.7059365, -8.4066604 41.7055663, -8.4069982 41.7054428, -8.4071322 41.7053785, -8.407181 41.7053256)"
431382790,True,EM 537-2,tertiary,50,False,27.43,,"LINESTRING (-8.4045633 41.7077357, -8.4044658 41.7075)"
347382535,False,EM 537-2,tertiary,50,False,56.921,,"LINESTRING (-8.4045633 41.7077357, -8.4048608 41.7080914, -8.4048953 41.7081803)"
362076935,False,CM 1211-1,tertiary,,False,201.27,,"LINESTRING (-8.4038911 41.7004248, -8.4037195 41.7006331, -8.4032474 41.7010817, -8.4030489 41.70137, -8.4029685 41.7016704, -8.4029685 41.7020349)"
431086840,False,,residential,,False,145.482,,"LINESTRING (-8.4038911 41.7004248, -8.4040155 41.7004859, -8.4043274 41.7005065, -8.4044339 41.7004499, -8.4045251 41.7001695, -8.4045688 41.700098, -8.4047834 41.7000419, -8.4050669 41.7000093, -8.405201 41.7000653)"
362076935,False,CM 1211-1,tertiary,,False,292.957,,"LINESTRING (-8.4029685 41.7020349, -8.4031079 41.7023073, -8.403124 41.7026637, -8.4029899 41.7030122, -8.4027968 41.7034127, -8.4027861 41.703645, -8.4028665 41.7039093, -8.4031991 41.7045581)"
362076935,False,CM 1211-1,tertiary,,True,201.27,,"LINESTRING (-8.4029685 41.7020349, -8.4029685 41.7016704, -8.4030489 41.70137, -8.4032474 41.7010817, -8.4037195 41.7006331, -8.4038911 41.7004248)"
431086837,False,,residential,,False,347.062,,"LINESTRING (-8.4029685 41.7020349, -8.4032859 41.7020079, -8.4033878 41.7020039, -8.4034745 41.7020966, -8.4036024 41.702132, -8.4038017 41.7020766, -8.4040208 41.7020079, -8.4041826 41.7019764, -8.4043803 41.7019518, -8.4045313 41.7020565, -8.4046538 41.7022121, -8.4048692 41.702453, -8.4049542 41.7024685, -8.405024 41.7024364, -8.4051956 41.7021601, -8.4053252 41.7019764, -8.4054325 41.7019484, -8.4057428 41.7020199, -8.4058662 41.7019959, -8.4059896 41.7018116, -8.4060333 41.7017281)"
362076935,False,CM 1211-1,tertiary,,False,47.881,,"LINESTRING (-8.4031991 41.7045581, -8.4033815 41.7049666)"
362076935,False,CM 1211-1,tertiary,,True,292.957,,"LINESTRING (-8.4031991 41.7045581, -8.4028665 41.7039093, -8.4027861 41.703645, -8.4027968 41.7034127, -8.4029899 41.7030122, -8.403124 41.7026637, -8.4031079 41.7023073, -8.4029685 41.7020349)"
362076935,False,CM 1211-1,tertiary,,True,47.881,,"LINESTRING (-8.4033815 41.7049666, -8.4031991 41.7045581)"
