osmid,oneway,ref,name,highway,access,reversed,length,geometry,maxspeed
115830802,False,EM 596,Rua Cabeço,secondary,yes,False,298.161,"LINESTRING (-8.6034973 40.4936927, -8.603782 40.4937315, -8.6041361 40.4938212, -8.6043785 40.4938604, -8.6045287 40.4938359, -8.604694 40.4937478, -8.6048549 40.4936009, -8.6052411 40.493193, -8.6055415 40.4930216, -8.6060243 40.4928013, -8.6063667 40.4926308)",
116464536,False,,Rua Reis,residential,,False,268.872,"LINESTRING (-8.6034973 40.4936927, -8.6033682 40.4935513, -8.6034111 40.4934942, -8.6036901 40.4933147, -8.6039583 40.493127, -8.604248 40.4928741, -8.6044304 40.4926211, -8.6045913 40.4923519, -8.6046127 40.4921724, -8.604602 40.4920418, -8.6046449 40.4919194, -8.6048595 40.4917073)",
152348686,True,,,residential,,False,24.774,"LINESTRING (-8.6038786 40.4989069, -8.6038959 40.4988206, -8.6039656 40.4986959)",
116464536,False,,Rua Reis,residential,,True,268.87199999999996,"LINESTRING (-8.6048595 40.4917073, -8.6046449 40.4919194, -8.604602 40.4920418, -8.6046127 40.4921724, -8.6045913 40.4923519, -8.6044304 40.4926211, -8.604248 40.4928741, -8.6039583 40.493127, -8.6036901 40.4933147, -8.6034111 40.4934942, -8.6033682 40.4935513, -8.6034973 40.4936927)",
245615967,False,,Travessa Arneirinho,residential,,False,124.923,"LINESTRING (-8.6079601 40.4973202, -8.607222 40.496347)",
"[116464904, 245615968]",False,,"['Rua da Fonte', 'Rua Arneirinho']",residential,,False,710.2609999999999,"LINESTRING (-8.6079601 40.4973202, -8.6082827 40.4971319, -8.608561 40.4968797, -8.609033 40.4963249, -8.6095051 40.4957701, -8.6098497 40.4952884, -8.6097411 40.49515, -8.6092691 40.4948563, -8.6091304 40.4947651, -8.6090736 40.4946977, -8.6087361 40.4941669, -8.6085778 40.4940259, -8.6083891 40.4939315, -8.6078472 40.4938212, -8.6076242 40.4937471, -8.6073196 40.4935491, -8.6068411 40.4931377, -8.6063667 40.4926308)",
116464904,False,,Rua da Fonte,residential,,True,390.623,"LINESTRING (-8.6079601 40.4973202, -8.6078529 40.4973778, -8.6075632 40.4975328, -8.6072628 40.4976715, -8.6070053 40.4977531, -8.6065332 40.4978102, -8.6060075 40.4978591, -8.6052887 40.4978999, -8.6052161 40.497922, -8.6049668 40.4979978, -8.6045806 40.4981283, -8.6043445 40.498161, -8.6040227 40.4982181, -8.6037866 40.4983078, -8.6036362 40.4983708)",
244264431,False,EM 333-1,Rua 18 de Fevereiro,secondary,yes,False,29.306,"LINESTRING (-8.6036362 40.4983708, -8.6039053 40.4985369)",80
116464904,False,,Rua da Fonte,residential,,False,390.623,"LINESTRING (-8.6036362 40.4983708, -8.6037866 40.4983078, -8.6040227 40.4982181, -8.6043445 40.498161, -8.6045806 40.4981283, -8.6049668 40.4979978, -8.6052161 40.497922, -8.6052887 40.4978999, -8.6060075 40.4978591, -8.6065332 40.4978102, -8.6070053 40.4977531, -8.6072628 40.4976715, -8.6075632 40.4975328, -8.6078529 40.4973778, -8.6079601 40.4973202)",
244264431,False,EM 333-1,Rua 18 de Fevereiro,secondary,yes,True,131.684,"LINESTRING (-8.6079606 40.5000199, -8.6076201 40.4999209, -8.60738 40.4998455, -8.6071565 40.4997493, -8.6069631 40.4996367, -8.6066232 40.4994331)",80
244264431,False,EM 333-1,Rua 18 de Fevereiro,secondary,yes,False,131.684,"LINESTRING (-8.6066232 40.4994331, -8.6069631 40.4996367, -8.6071565 40.4997493, -8.60738 40.4998455, -8.6076201 40.4999209, -8.6079606 40.5000199)",80
