osmid,name,highway,oneway,reversed,length,lanes,geometry,tunnel
141530925,Vila de São João,residential,False,True,23.504,,"LINESTRING (-9.115771 38.7261087, -9.1157369 38.725899)",
395478467,Parada do Alto de São João,tertiary,False,False,11.013,4,"LINESTRING (-9.1218036 38.7287521, -9.1219106 38.7288054)",
1263032571,Avenida Afonso III,tertiary,False,True,42.536,4,"LINESTRING (-9.1218036 38.7287521, -9.1217427 38.7287217, -9.1213905 38.728546)",
"[8157779, 8017763]","['Avenida Afonso III', 'Rua Nélson de Barros']",tertiary,False,"[False, True]",64.963,4,"LINESTRING (-9.1154786 38.7245213, -9.1155256 38.7245389, -9.1155809 38.7245547, -9.1156355 38.7245653, -9.1157017 38.7245714, -9.1162159 38.7245506)",
8168047,Estrada de Chelas,residential,False,False,118.60600000000001,,"LINESTRING (-9.1154786 38.7245213, -9.1154235 38.7246477, -9.1154216 38.7247175, -9.1154767 38.7249479, -9.1155033 38.7250138, -9.1156297 38.7253268, -9.1156068 38.7255578)",
8157779,Avenida Afonso III,tertiary,False,False,91.002,4,"LINESTRING (-9.1188965 38.7266001, -9.1189115 38.7266377, -9.1190298 38.7269362, -9.1192751 38.7273001, -9.1193188 38.7273438)",
8157779,Avenida Afonso III,tertiary,False,True,73.955,4,"LINESTRING (-9.1188965 38.7266001, -9.1188794 38.7265322, -9.1188154 38.7259384)",
8017298,Rua Adolfo Coelho,residential,True,False,67.889,,"LINESTRING (-9.1188154 38.7259384, -9.1189383 38.7259095, -9.119476 38.7257831, -9.1195647 38.7257622)",
8157779,Avenida Afonso III,tertiary,False,False,73.955,4,"LINESTRING (-9.1188154 38.7259384, -9.1188794 38.7265322, -9.1188965 38.7266001)",
8157779,Avenida Afonso III,tertiary,False,True,83.17699999999999,4,"LINESTRING (-9.1188154 38.7259384, -9.1188093 38.7258373, -9.1188068 38.7257057, -9.1187968 38.7255225, -9.1187725 38.7251912)",
8157779,Avenida Afonso III,tertiary,False,True,91.002,4,"LINESTRING (-9.1193188 38.7273438, -9.1192751 38.7273001, -9.1190298 38.7269362, -9.1189115 38.7266377, -9.1188965 38.7266001)",
1233478263,Avenida Afonso III,tertiary,False,False,115.564,4,"LINESTRING (-9.1193188 38.7273438, -9.1194234 38.7274645, -9.119558 38.7275589, -9.1196667 38.7276352, -9.1197468 38.7276913, -9.1200424 38.7278596, -9.1203322 38.7280051)",
1233478263,Avenida Afonso III,tertiary,False,False,109.751,4,"LINESTRING (-9.1203322 38.7280051, -9.1213905 38.728546)",
1233478263,Avenida Afonso III,tertiary,False,True,115.564,4,"LINESTRING (-9.1203322 38.7280051, -9.1200424 38.7278596, -9.1197468 38.7276913, -9.1196667 38.7276352, -9.119558 38.7275589, -9.1194234 38.7274645, -9.1193188 38.7273438)",
1233478263,Avenida Afonso III,tertiary,False,True,109.751,4,"LINESTRING (-9.1213905 38.728546, -9.1203322 38.7280051)",
8017293,Rua Sousa Viterbo,residential,True,False,185.547,,"LINESTRING (-9.1213905 38.728546, -9.1214396 38.7284429, -9.1214485 38.7284246, -9.1214546 38.7283848, -9.1214516 38.7283613, -9.1210174 38.7272575, -9.120915 38.7270297, -9.1208864 38.7269535)",
1263032571,Avenida Afonso III,tertiary,False,False,42.536,4,"LINESTRING (-9.1213905 38.728546, -9.1217427 38.7287217, -9.1218036 38.7287521)",
8017294,Rua Braamcamp Freire,residential,True,False,100.755,,"LINESTRING (-9.1200911 38.7271481, -9.1201262 38.7272151, -9.1203851 38.7278489, -9.1203938 38.7278884, -9.1203847 38.727936, -9.1203322 38.7280051)",
384932248,Rua David Lopes,residential,True,False,70.444,,"LINESTRING (-9.1200911 38.7271481, -9.1200236 38.7271646, -9.1194351 38.7273164, -9.1193188 38.7273438)",
1245349664,,unclassified,False,True,28.05,,"LINESTRING (-9.1239505 38.7294127, -9.1236323 38.7293678)",yes
