osmid,name,highway,oneway,reversed,length,geometry,junction,lanes,bridge,maxspeed,ref,access,tunnel
1235602442,Rua de São Marcos,residential,False,False,52.373,"LINESTRING (-9.3828948 39.3553639, -9.3823056 39.3552444)",,,,,,,
1241561808,Rua de São Marcos,residential,False,True,26.821,"LINESTRING (-9.3828948 39.3553639, -9.3831941 39.3554319)",,,,,,,
1241561812,Travessa Nossa Senhora da Conceição,residential,True,False,44.831,"LINESTRING (-9.3828948 39.3553639, -9.3827573 39.3557528)",,,,,,,
1241561807,Travessa Nossa Senhora da Conceição,residential,False,True,20.951,"LINESTRING (-9.3828948 39.3553639, -9.3829048 39.3553389, -9.3829526 39.3552195, -9.3829668 39.3551839)",,,,,,,
1235602442,Rua de São Marcos,residential,False,False,26.8,"LINESTRING (-9.3823056 39.3552444, -9.3820063 39.3551771)",,,,,,,
1235602442,Rua de São Marcos,residential,False,True,52.373,"LINESTRING (-9.3823056 39.3552444, -9.3828948 39.3553639)",,,,,,,
104824230,Rua da Paz,residential,False,True,44.366,"LINESTRING (-9.3820063 39.3551771, -9.3818458 39.3555563)",,,,,,,
1235602434,Rua de São Marcos,residential,True,False,32.244,"LINESTRING (-9.3820063 39.3551771, -9.3816445 39.3551008)",,,,,,,
1235602438,Rua da Paz,residential,False,False,24.484,"LINESTRING (-9.3820063 39.3551771, -9.3821072 39.3549712)",,,,,,,
1235602442,Rua de São Marcos,residential,False,True,26.8,"LINESTRING (-9.3820063 39.3551771, -9.3823056 39.3552444)",,,,,,,
98958340,Rua de São Pedro,residential,False,True,77.6,"LINESTRING (-9.3821072 39.3549712, -9.3829668 39.3551839)",,,,,,,
1235602438,Rua da Paz,residential,False,True,24.484,"LINESTRING (-9.3821072 39.3549712, -9.3820063 39.3551771)",,,,,,,
1235602437,Rua de São Marcos,residential,False,False,10.302,"LINESTRING (-9.3821072 39.3549712, -9.3820864 39.3549434, -9.3820472 39.354891)",,,,,,,
30798122,,tertiary,True,False,18.347,"LINESTRING (-9.381846 39.3547137, -9.3818238 39.3547512, -9.381819 39.3547923, -9.3818323 39.3548322, -9.381862 39.3548665)",roundabout,,,,,,
30798123,Avenida do Mar,tertiary,True,False,31.211,"LINESTRING (-9.381846 39.3547137, -9.3817231 39.354748, -9.381624 39.3547635, -9.381493 39.3547574)",,2,,,,,
30798122,,tertiary,True,False,49.07899999999999,"LINESTRING (-9.3820472 39.354891, -9.382089 39.3548672, -9.3821185 39.3548341, -9.3821324 39.3547955, -9.3821294 39.3547554, -9.3821097 39.3547183, -9.3820755 39.3546882, -9.3820305 39.3546682, -9.3819795 39.3546607, -9.3819281 39.3546665, -9.381882 39.3546848, -9.381846 39.3547137)",roundabout,,,,,,
1235602437,Rua de São Marcos,residential,False,True,10.302,"LINESTRING (-9.3820472 39.354891, -9.3820864 39.3549434, -9.3821072 39.3549712)",,,,,,,
30798122,,tertiary,True,False,17.233,"LINESTRING (-9.381862 39.3548665, -9.381902 39.3548899, -9.3819494 39.3549024, -9.3819995 39.3549028, -9.3820472 39.354891)",roundabout,,,,,,
98958193,Avenida do Mar,tertiary,True,False,24.076,"LINESTRING (-9.381493 39.3547574, -9.3816067 39.3548104, -9.3817423 39.3548548)",,2,,,,,
138705624,Avenida do Mar,tertiary,False,False,15.043,"LINESTRING (-9.381493 39.3547574, -9.3814165 39.354734, -9.3813288 39.3547108)",,2,,,,,
138705624,Avenida do Mar,tertiary,False,True,8.647,"LINESTRING (-9.379994 39.3541344, -9.3800446 39.3542016)",,2,,,,,
"[138705624, 232517610]",Avenida do Mar,tertiary,False,False,110.805,"LINESTRING (-9.379994 39.3541344, -9.3799615 39.3540918, -9.3798718 39.3539759, -9.3798157 39.3539007, -9.3797515 39.3538427, -9.3796591 39.353791, -9.3793789 39.3537234, -9.3792421 39.3537427, -9.3791704 39.3537626, -9.379096 39.3537942, -9.3790417 39.3538287, -9.3790052 39.3538666)",,2,,,,,
54931871,Avenida do Mar,tertiary,True,False,13.032,"LINESTRING (-9.3784689 39.3565703, -9.3783692 39.3566137, -9.3783366 39.3566275)",,1,,,,,
232517610,Avenida do Mar,tertiary,False,True,184.921,"LINESTRING (-9.3784689 39.3565703, -9.3784963 39.3565137, -9.3785105 39.356453, -9.3785203 39.3563449, -9.3785282 39.3558019, -9.3785603 39.3556418, -9.3786457 39.3553515, -9.3787711 39.3549328)",,2,,,,,
