osmid,highway,junction,oneway,reversed,length,geometry,ref,name,lanes
117519366,tertiary,roundabout,True,False,12.964,"LINESTRING (-7.8746965 40.3365594, -7.8747099 40.3365385, -7.8747161 40.3365156, -7.8747148 40.3364923, -7.8747059 40.33647, -7.8746902 40.33645)",,,
866338225,tertiary,,True,False,37.808,"LINESTRING (-7.8746965 40.3365594, -7.8748222 40.3365571, -7.8749525 40.3365225, -7.8751187 40.3364653)",,,
866338226,tertiary,,True,False,22.246000000000002,"LINESTRING (-7.8743128 40.336335, -7.8743925 40.3364334, -7.8744708 40.3364931)",,,
117519366,tertiary,roundabout,True,False,7.601,"LINESTRING (-7.8746251 40.336598, -7.8746397 40.3365953, -7.8746717 40.3365807, -7.8746965 40.3365594)",,,
117519362,tertiary,,False,False,284.445,"LINESTRING (-7.8792461 40.3355934, -7.8786882 40.3357091, -7.8775462 40.3356981, -7.877272 40.3357255, -7.8763457 40.3360579, -7.8760394 40.3361618)",EM 509,Rua Dr.ª M.ª Patrocínio Vaz Pato,
117519367,tertiary,roundabout,True,False,11.788,"LINESTRING (-7.8792461 40.3355934, -7.8792846 40.3356372, -7.8793474 40.3356606)",,,
117519366,tertiary,roundabout,True,False,11.044,"LINESTRING (-7.87455 40.3364197, -7.8745212 40.3364313, -7.8744974 40.3364482, -7.8744802 40.3364693, -7.8744708 40.3364931)",,,
866338227,tertiary,,True,False,22.414,"LINESTRING (-7.87455 40.3364197, -7.8744476 40.3363981, -7.8743128 40.336335)",,,
117519367,tertiary,roundabout,True,False,18.256,"LINESTRING (-7.8794938 40.3356215, -7.8795146 40.3355889, -7.8795199 40.3355521, -7.8795088 40.335517, -7.8794821 40.335486, -7.8794677 40.3354721)",,,
866283508,tertiary,,False,True,114.106,"LINESTRING (-7.8794938 40.3356215, -7.8795509 40.335663, -7.8797189 40.336081, -7.8797172 40.3361253, -7.8796764 40.3363327, -7.8797244 40.3364612, -7.8797625 40.3365994)",EM 509,Rua Dr. Tinoco,
117519367,tertiary,roundabout,True,False,14.044,"LINESTRING (-7.8793474 40.3356606, -7.8793662 40.3356654, -7.8794147 40.3356626, -7.879459 40.3356474, -7.8794938 40.3356215)",,,
304590238,residential,,False,False,153.676,"LINESTRING (-7.8793474 40.3356606, -7.8791813 40.336132, -7.8791177 40.3363374, -7.8789297 40.3368903, -7.878994 40.3369907)",,Rua Santo António,
117519366,tertiary,roundabout,True,False,1.767,"LINESTRING (-7.8746902 40.33645, -7.8746749 40.3364392)",,,
866283510,tertiary,,False,True,38.012,"LINESTRING (-7.8804528 40.3371962, -7.8806102 40.3375163)",EM 509,Rua do Pelourinho,
866283507,tertiary,,True,False,19.829,"LINESTRING (-7.8804528 40.3371962, -7.8805133 40.3371368, -7.8805058 40.3370855, -7.8804688 40.3370424)",EM 509,,1
117519367,tertiary,roundabout,True,False,30.126,"LINESTRING (-7.8794677 40.3354721, -7.8793966 40.3354532, -7.879348 40.3354553, -7.8793162 40.3354642, -7.8792775 40.3354866, -7.8792438 40.3355351, -7.8792412 40.3355721, -7.8792461 40.3355934)",,,
866283494,tertiary,,False,True,57.012,"LINESTRING (-7.8794677 40.3354721, -7.8797746 40.3351577, -7.8798459 40.3351003, -7.8798783 40.3350666)",EM 509,,
117519362,tertiary,,False,True,15.904,"LINESTRING (-7.8751187 40.3364653, -7.8752913 40.3364092)",EM 509,Rua Dr.ª M.ª Patrocínio Vaz Pato,
866338224,tertiary,,True,False,36.370000000000005,"LINESTRING (-7.8751187 40.3364653, -7.8748779 40.3364606, -7.8746902 40.33645)",,,
