osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,junction,access
37680685,False,2,Avenida 32,secondary,False,218.90000000000003,"LINESTRING (-8.6354534 41.0124718, -8.6353234 41.0123364, -8.6345423 41.0115228, -8.634403 41.011336, -8.6342933 41.0111018, -8.6342241 41.0107719)",,,,
61599124,False,2,Rua 62,primary,True,70.03500000000001,"LINESTRING (-8.6354534 41.0124718, -8.6355372 41.0124259, -8.6355991 41.012392, -8.63563 41.012375, -8.6356761 41.0123519, -8.6357117 41.0123338, -8.635758 41.0123197, -8.6358346 41.0123058, -8.6359971 41.0122847, -8.6361078 41.0122703, -8.6362184 41.0122559)",EN 109,,,
37680685,False,2,Avenida 32,secondary,True,218.89999999999998,"LINESTRING (-8.6342241 41.0107719, -8.6342933 41.0111018, -8.634403 41.011336, -8.6345423 41.0115228, -8.6353234 41.0123364, -8.6354534 41.0124718)",,,,
61599383,True,2,Avenida 32,secondary,False,251.11099999999996,"LINESTRING (-8.6342241 41.0107719, -8.6342551 41.0105329, -8.6342603 41.0100317, -8.6342671 41.0093969, -8.6342689 41.008924, -8.6342752 41.0086339, -8.6342777 41.0085936, -8.6342789 41.0085741, -8.6343001 41.0085171)",,,,
37680695,True,,Rua 5,residential,False,75.388,"LINESTRING (-8.6398336 41.012371, -8.6397691 41.0123756, -8.6397248 41.0123753, -8.6389355 41.0123852)",,,,
77607334,False,2,Rua 20,secondary,False,75.604,"LINESTRING (-8.6398336 41.012371, -8.6398353 41.0123001, -8.6398389 41.0117602, -8.6398394 41.0116911)",,50,,
37680687,True,,Rua 7,residential,False,76.15199999999999,"LINESTRING (-8.6398394 41.0116911, -8.6399326 41.0116905, -8.640747 41.0116891)",,,,
77607334,False,2,Rua 20,secondary,False,57.596999999999994,"LINESTRING (-8.6398394 41.0116911, -8.6398397 41.0116236, -8.6398415 41.0112778, -8.6398466 41.0111732)",,50,,
77607334,False,2,Rua 20,secondary,True,75.604,"LINESTRING (-8.6398394 41.0116911, -8.6398389 41.0117602, -8.6398353 41.0123001, -8.6398336 41.012371)",,50,,
77607334,False,2,Rua 20,secondary,False,89.569,"LINESTRING (-8.6398466 41.0111732, -8.6398516 41.0103677)",,50,,
77607334,False,2,Rua 20,secondary,True,57.596999999999994,"LINESTRING (-8.6398466 41.0111732, -8.6398415 41.0112778, -8.6398397 41.0116236, -8.6398394 41.0116911)",,50,,
814395131,True,,Rua 62,secondary,False,85.005,"LINESTRING (-8.6398466 41.0111732, -8.6397769 41.0112001, -8.6397146 41.0112232, -8.6390156 41.0114621, -8.6389288 41.0114965)",,,,
77607334,False,2,Rua 20,secondary,False,106.984,"LINESTRING (-8.6398516 41.0103677, -8.6398616 41.0094056)",,50,,
77607334,False,2,Rua 20,secondary,True,89.569,"LINESTRING (-8.6398516 41.0103677, -8.6398466 41.0111732)",,50,,
37843935,True,,Rua 11,residential,False,76.074,"LINESTRING (-8.6398516 41.0103677, -8.6397872 41.0103684, -8.638945 41.0103619)",,,,
77607334,False,2,Rua 20,secondary,True,106.984,"LINESTRING (-8.6398616 41.0094056, -8.6398516 41.0103677)",,50,,
691097899,True,,Rua 15,residential,False,77.402,"LINESTRING (-8.6398616 41.0094056, -8.6407839 41.0094185)",,,,
691097898,False,2,Rua 20,secondary,False,133.824,"LINESTRING (-8.6398616 41.0094056, -8.6398616 41.0085013, -8.6398639 41.0082021)",,50,,
37843338,True,,Rua 21,residential,False,32.067,"LINESTRING (-8.6398639 41.0082021, -8.6402451 41.0081816)",,,,
691097898,False,2,Rua 20,secondary,False,109.854,"LINESTRING (-8.6398639 41.0082021, -8.6398761 41.0072831, -8.6398766 41.0072142)",,50,,
691097898,False,2,Rua 20,secondary,True,133.824,"LINESTRING (-8.6398639 41.0082021, -8.6398616 41.0085013, -8.6398616 41.0094056)",,50,,
691097898,False,2,Rua 20,secondary,True,109.854,"LINESTRING (-8.6398766 41.0072142, -8.6398761 41.0072831, -8.6398639 41.0082021)",,50,,
1116068808,False,2,Rua 20,secondary,False,67.079,"LINESTRING (-8.6398766 41.0072142, -8.6398774 41.0071685, -8.6398689 41.0067043, -8.6398697 41.0066608, -8.6398708 41.006611)",,50,,
