osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,bridge
203784708,True,Sabinovská,residential,50,False,42.717,"LINESTRING (20.9660587 49.1506599, 20.9659958 49.1507033, 20.9659226 49.1507519, 20.9658794 49.1507919, 20.9656984 49.1509619)",,,,
203784711,False,,tertiary,50,False,22.145,"LINESTRING (20.9660587 49.1506599, 20.9659992 49.1506671, 20.9659381 49.1506712, 20.9658805 49.1506703, 20.9658282 49.1506667, 20.9657572 49.1506576)",2,3189,,
203784723,False,Sabinovská,residential,50,True,33.621,"LINESTRING (20.9660587 49.1506599, 20.9662365 49.1506187, 20.9664969 49.1505637)",2,,,
1187866298,True,,primary,50,False,8.891,"LINESTRING (20.9629601 49.152753, 20.9629167 49.1527248, 20.9628859 49.1526903)",,68,roundabout,
98937265,False,,residential,,False,206.25000000000003,"LINESTRING (20.9602354 49.1556875, 20.9601599 49.1548555, 20.9600944 49.154091, 20.9600131 49.1538409)",,,,
98937265,False,,residential,,True,70.739,"LINESTRING (20.9599441 49.153217, 20.9599775 49.1532854, 20.9599553 49.1534138, 20.9599211 49.1535581, 20.9600131 49.1538409)",,,,
98937268,False,Krivianska,tertiary,50,False,122.911,"LINESTRING (20.9599441 49.153217, 20.9599961 49.1531808, 20.9604514 49.1528639, 20.9605314 49.1528172, 20.9606006 49.152783, 20.9606776 49.1527549, 20.9607717 49.1527251, 20.9608684 49.1527043, 20.9609899 49.152687, 20.9613214 49.1526496)",2,3193,,
"[1187827172, 195009234, 195009237, 1186493465, 1187866363]",False,,tertiary,50,True,114.125,"LINESTRING (20.9638271 49.1496457, 20.9640262 49.1497514, 20.9640513 49.1497659, 20.9647432 49.1501613, 20.9647894 49.1501879, 20.9648566 49.1502279, 20.964939 49.1502764, 20.9650161 49.1503151)",2,3190,,yes
203789986,False,Mlynská,residential,50,False,185.459,"LINESTRING (20.9638271 49.1496457, 20.9639166 49.1496054, 20.9639854 49.1495904, 20.9642805 49.1495706, 20.9643418 49.1495667, 20.9643527 49.149566, 20.9645136 49.1495558, 20.9646014 49.1495397, 20.9647069 49.1495005, 20.966052 49.1489037)",2,,,
140370138,False,Námestie sv. Martina,residential,,False,113.707,"LINESTRING (20.9630426 49.1543176, 20.9631656 49.154326, 20.9639094 49.1543636, 20.9639926 49.1544138, 20.9638991 49.1547886)",,,,
1187866296,False,,primary,50,False,60.96600000000001,"LINESTRING (20.9630426 49.1543176, 20.96301 49.1544503, 20.9629917 49.1545221, 20.9629644 49.154605, 20.9629315 49.1547218, 20.9628804 49.1548552)",2,68,,
1187866296,False,,primary,50,True,100.47099999999999,"LINESTRING (20.9630426 49.1543176, 20.9630752 49.1541726, 20.9630825 49.1541186, 20.9630862 49.1540899, 20.9631018 49.1539949, 20.9631374 49.1536717, 20.9631357 49.1534173)",2,68,,
200615802,True,,tertiary,50,False,18.597,"LINESTRING (20.9652198 49.1504162, 20.9650161 49.1503151)",2,3190,,
1187866365,False,,primary,50,True,18.079,"LINESTRING (20.9652198 49.1504162, 20.9654409 49.1503419)",3,68,,
417938586,False,,tertiary,50,True,31.601,"LINESTRING (20.9652198 49.1504162, 20.9654194 49.1505212, 20.9655595 49.1505934)",3,3189,,
834155741,False,,primary,50,True,23.351,"LINESTRING (20.9652198 49.1504162, 20.9651045 49.1504604, 20.9649393 49.1505183)",3,68,,
203778069,False,Tehelná,residential,,True,62.364000000000004,"LINESTRING (20.968778 49.1507551, 20.9687088 49.1502804, 20.9687066 49.1502496, 20.9687027 49.1501965)",,,,
"[203781448, 203778082]",False,Komenského,residential,40,True,613.245,"LINESTRING (20.968778 49.1507551, 20.9687126 49.1508185, 20.9685677 49.150894, 20.9682915 49.1509905, 20.9681211 49.151008, 20.9677966 49.1510431, 20.9675352 49.1510756, 20.9673433 49.151101, 20.9671234 49.1512335, 20.96706 49.1513046, 20.9668592 49.1515302, 20.9663541 49.1521854, 20.966316 49.1522988, 20.9662458 49.1525214, 20.9661359 49.1528083, 20.9660675 49.1529986, 20.9660178 49.1531012, 20.9658997 49.1532744, 20.9655593 49.1538061, 20.9655551 49.1540238, 20.9674803 49.1537734)",,,,
140370129,False,Kollárova,residential,,True,69.866,"LINESTRING (20.9647346 49.152195, 20.9647853 49.1522477, 20.9648105 49.1523352, 20.9649914 49.1527973)",,,,
734160498,False,Sládkovičova,residential,50,False,154.446,"LINESTRING (20.9647346 49.152195, 20.9647637 49.1521632, 20.9647844 49.1521346, 20.964906 49.1519289, 20.9649499 49.1518449, 20.9650093 49.1517427, 20.9651114 49.1516203, 20.9652872 49.1514231, 20.9652991 49.1514098, 20.9653849 49.1513136, 20.9656615 49.1510033, 20.9656984 49.1509619)",2,,,
"[734160498, 734160499, 1187866302]",False,Sládkovičova,residential,50,True,22.522,"LINESTRING (20.9647346 49.152195, 20.9647078 49.1522125, 20.9645578 49.1522942, 20.9644969 49.1523246)",2,,,yes
98937268,False,Krivianska,tertiary,50,True,21.38,"LINESTRING (20.9625867 49.1525376, 20.9624241 49.152544, 20.9622944 49.1525564)",2,3193,,
