osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,bridge
173095171,Mieru,residential,40,False,False,118.766,,"LINESTRING (22.1861119 48.7435938, 22.1858572 48.742539)",,
308630053,Pri parku,primary,50,False,True,157.57299999999998,19,"LINESTRING (22.1861119 48.7435938, 22.1856657 48.7437479, 22.1854456 48.7438239, 22.184419 48.7441643, 22.1841989 48.7442393)",,
173095151,Hollého,residential,50,False,False,282.316,,"LINESTRING (22.1788548 48.7459714, 22.1787835 48.7459015, 22.1787247 48.7458406, 22.178475 48.745582, 22.1782792 48.7454013, 22.1779928 48.7451083, 22.1777606 48.7448278, 22.1777115 48.7447801, 22.1768938 48.7438192, 22.176868 48.7437993)",,
306638341,Michalovská,primary,50,False,False,53.594,19,"LINESTRING (22.1788548 48.7459714, 22.1792395 48.7458457, 22.1795126 48.7457613)",3,
"[442476032, 442254549]",Michalovská,primary,50,False,True,122.971,19,"LINESTRING (22.1788548 48.7459714, 22.1783851 48.7461202, 22.1781894 48.7461767, 22.1773411 48.7464474)",3,
173095144,Školská,residential,40,False,False,147.99300000000002,,"LINESTRING (22.1797014 48.7412261, 22.1796291 48.7412377, 22.1795596 48.7412514, 22.1794877 48.7412603, 22.1793737 48.7412837, 22.1786498 48.7414325, 22.1785181 48.7414596, 22.1778386 48.7415992, 22.177771 48.7416131)",,
210128403,Tyršova,tertiary,50,False,True,203.32599999999996,3754,"LINESTRING (22.1797014 48.7412261, 22.1799822 48.7416455, 22.1800538 48.741753, 22.1801008 48.7419559, 22.1801278 48.7421721, 22.180153 48.742283, 22.1801644 48.7423085, 22.1802565 48.7425417, 22.1802775 48.7425848, 22.1804251 48.7427566, 22.1806907 48.7428689)",,
"[173095113, 173095119]",Tibavská,residential,40,False,False,50.95099999999999,,"LINESTRING (22.1806907 48.7428689, 22.1807608 48.7428578, 22.180968 48.7428013, 22.1813284 48.7426891)",,yes
173095133,Kpt. Nálepku,residential,40,True,False,158.96999999999997,,"LINESTRING (22.1806907 48.7428689, 22.1805792 48.7428919, 22.1794025 48.7431841, 22.1786596 48.7433685)",,
210128403,Tyršova,tertiary,50,False,False,203.32600000000002,3754,"LINESTRING (22.1806907 48.7428689, 22.1804251 48.7427566, 22.1802775 48.7425848, 22.1802565 48.7425417, 22.1801644 48.7423085, 22.180153 48.742283, 22.1801278 48.7421721, 22.1801008 48.7419559, 22.1800538 48.741753, 22.1799822 48.7416455, 22.1797014 48.7412261)",,
323377907,Štefánikova,tertiary,50,False,True,33.208999999999996,3754,"LINESTRING (22.1806907 48.7428689, 22.1808748 48.7429196, 22.1810713 48.7430251)",2,
