osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,tunnel,width,ref
58922741,True,Špitálska,residential,False,252.01800000000003,"LINESTRING (20.5926973 49.0273065, 20.5926731 49.0272475, 20.592648 49.0271863, 20.5925426 49.0269858, 20.5924947 49.0269219, 20.5919368 49.0261771, 20.5916611 49.0258091, 20.591245 49.0252536)",,,,,
314690336,False,Košická,residential,False,67.388,"LINESTRING (20.5926973 49.0273065, 20.5925637 49.0273123, 20.5923591 49.0273225, 20.5921407 49.0273307, 20.5917751 49.0273466)",2,30,,,
"[314690336, 385219310, 314690334]",False,Košická,residential,True,78.86100000000002,"LINESTRING (20.5926973 49.0273065, 20.5933297 49.02728, 20.5933676 49.0272787, 20.5935123 49.0272761, 20.5936309 49.0272692, 20.5937752 49.027254)","['1', '2']",30,building_passage,4,
58922746,True,Námestie Majstra Pavla,residential,False,78.409,"LINESTRING (20.5907727 49.0275104, 20.5897368 49.0276998)",1,30,,,
451734896,False,Košická,residential,True,11.386,"LINESTRING (20.5907727 49.0275104, 20.5909239 49.0274848)",,30,,,
71176191,False,,residential,True,17.986,"LINESTRING (20.5897368 49.0276998, 20.5895993 49.0277283, 20.5895317 49.0277788)",,30,,,
754368051,True,Námestie Majstra Pavla,residential,False,110.928,"LINESTRING (20.5897368 49.0276998, 20.5895752 49.0275085, 20.5892947 49.0271167, 20.5890258 49.0268189)",1,30,,,
754368049,True,Námestie Majstra Pavla,residential,False,49.903999999999996,"LINESTRING (20.5879417 49.02558, 20.5877783 49.0253798, 20.5877268 49.0252989, 20.587648 49.0251752)",1,30,,,
71176197,False,Žiacka,residential,True,117.862,"LINESTRING (20.5868689 49.0221258, 20.5868409 49.0221678, 20.5860037 49.022965, 20.5859735 49.0230067)",,,,,
71176200,True,Bottova,residential,False,270.651,"LINESTRING (20.5868689 49.0221258, 20.5860279 49.0217741, 20.5856524 49.021656, 20.5851696 49.0216181, 20.5846506 49.0216328, 20.5835574 49.0218628, 20.5834206 49.0218922)",,,,,
71176176,True,Dlhá,residential,False,179.252,"LINESTRING (20.5900696 49.0239388, 20.5883415 49.0228759, 20.5882792 49.0228342)",,,,,
