osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,junction,bridge,maxspeed
"[534486044, 530775484, 530775477, 8659566]",3,531,B. Bartóka,secondary,False,"[False, True]",196.35500000000002,"LINESTRING (20.0226256 48.3810057, 20.022403 48.3810273, 20.0219719 48.381035, 20.0216192 48.3810454, 20.0210751 48.3810525, 20.0205268 48.3810547, 20.0202631 48.3810595, 20.0199702 48.3810678)",,,
"[530775480, 530775482]",4,531,Trhové námestie,secondary,False,True,75.864,"LINESTRING (20.0226256 48.3810057, 20.0228413 48.3809426, 20.0231293 48.3808093, 20.0234894 48.3806408)",,,
"[10387836, 534564500]",3,2782,Šrobárova,tertiary,False,False,117.49699999999999,"LINESTRING (20.0226256 48.3810057, 20.0227064 48.3811168, 20.0230541 48.3815856, 20.0232975 48.3819032, 20.0233358 48.3819512)",,,
89943456,,531,,secondary,True,False,13.198,"LINESTRING (20.0113887 48.384234, 20.0114187 48.3842899, 20.0114153 48.3843492)",roundabout,,
714770152,,,Jánošíkova,residential,True,False,16.458,"LINESTRING (20.014712 48.3825328, 20.0148104 48.3826656)",,,
531059539,,,Malohontská,secondary,True,False,10.982,"LINESTRING (20.014712 48.3825328, 20.0146851 48.3825788, 20.0146284 48.3826108)",roundabout,,
"[335042776, 531054173, 531054174]","['1', '2']",531,Malohontská,secondary,True,False,390.03900000000004,"LINESTRING (20.0146333 48.3824318, 20.0148952 48.3823097, 20.0153611 48.3820657, 20.016087 48.381704, 20.0164347 48.3815477, 20.0168474 48.3813927, 20.0169597 48.3813608, 20.0174062 48.3812345, 20.0182172 48.3811317, 20.0186845 48.3811143, 20.0189875 48.3811188, 20.0193487 48.3811383)",,,
531059539,,,Malohontská,secondary,True,False,9.672,"LINESTRING (20.0146333 48.3824318, 20.0146684 48.382449, 20.0146946 48.3824722, 20.0147098 48.3824994)",roundabout,,
22898730,1,531,Malohontská,secondary,True,False,26.098000000000003,"LINESTRING (20.0193487 48.3811383, 20.019394 48.3811023, 20.019454 48.3810775, 20.0195227 48.3810663, 20.0195931 48.3810698, 20.0196585 48.3810877)",roundabout,,
22898730,1,531,Malohontská,secondary,True,False,32.383,"LINESTRING (20.0197466 48.3811548, 20.0197596 48.3811805, 20.0197634 48.3812358, 20.0197364 48.3812883, 20.0196876 48.3813278, 20.0196215 48.3813539, 20.019546 48.3813638)",roundabout,,
22743923,,2782,Jesenského,tertiary,False,True,180.162,"LINESTRING (20.0234348 48.3862195, 20.0233435 48.3861088, 20.0226679 48.3853265, 20.022589 48.3852387, 20.0224935 48.3851511, 20.0224268 48.3851118, 20.0223362 48.3850623, 20.0221528 48.3849734, 20.0220371 48.3849195)",,,
22885974,,,Gorkého,residential,False,True,93.953,"LINESTRING (20.0234348 48.3862195, 20.0233532 48.3862651, 20.0224609 48.3867632)",,,
1079312028,,2782,Jesenského,tertiary,False,True,27.571,"LINESTRING (20.0220371 48.3849195, 20.021736 48.3847729)",,,
22743923,,2782,Jesenského,tertiary,False,False,180.162,"LINESTRING (20.0220371 48.3849195, 20.0221528 48.3849734, 20.0223362 48.3850623, 20.0224268 48.3851118, 20.0224935 48.3851511, 20.022589 48.3852387, 20.0226679 48.3853265, 20.0233435 48.3861088, 20.0234348 48.3862195)",,,
22885712,,,Daxnerova,residential,True,False,379.2919999999999,"LINESTRING (20.0220371 48.3849195, 20.0219698 48.384973, 20.0217516 48.3851223, 20.021448 48.3853429, 20.0213093 48.3854202, 20.0206664 48.3857789, 20.0196151 48.3863599, 20.0191016 48.3866446, 20.0188189 48.3868013, 20.0184804 48.3869737, 20.0183807 48.3870245, 20.0181394 48.3871315)",,,
1079312028,,2782,Jesenského,tertiary,False,False,27.571,"LINESTRING (20.021736 48.3847729, 20.0220371 48.3849195)",,,
22892526,,,Povstania,residential,False,True,113.187,"LINESTRING (20.021736 48.3847729, 20.0215291 48.3846807, 20.0213313 48.3845941, 20.0205887 48.3842691, 20.0204657 48.384204)",,,
62074665,,2782,J. Fábryho,tertiary,False,True,74.07,"LINESTRING (20.021736 48.3847729, 20.0220789 48.3844986, 20.0223714 48.3842575)",,,
22743922,,2782,J. Fábryho,tertiary,False,True,50.848,"LINESTRING (20.0223714 48.3842575, 20.0224582 48.3841888, 20.0228238 48.3839128)",,,
62074665,,2782,J. Fábryho,tertiary,False,False,74.07,"LINESTRING (20.0223714 48.3842575, 20.0220789 48.3844986, 20.021736 48.3847729)",,,
22892556,,,Šrobárova,residential,False,False,15.729,"LINESTRING (20.0241803 48.3828783, 20.0243041 48.3829934)",,,
