osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel
22910307,2,Jozefa Karola Hella,tertiary,50,False,True,64.088,"LINESTRING (18.8938114 48.455773, 18.8937518 48.4557082, 18.8936526 48.4556319, 18.8935077 48.4555385, 18.8932925 48.4554036, 18.8932125 48.455359)",
72530841,,,residential,,False,True,11.402999999999999,"LINESTRING (18.8938114 48.455773, 18.8937323 48.4557617, 18.8936658 48.4557406)",
72572186,,Dolná Resla,residential,,False,False,10.235,"LINESTRING (18.8938114 48.455773, 18.8937729 48.4558054, 18.893745 48.4558527)",
72572200,,Andreja Sládkoviča,tertiary,50,False,False,25.615000000000002,"LINESTRING (18.8938114 48.455773, 18.8938954 48.4558834, 18.8939558 48.4559823)",
22910304,,Akademická,tertiary,,False,False,47.81399999999999,"LINESTRING (18.8955077 48.458232, 18.8955369 48.4582616, 18.8955799 48.4582882, 18.8956381 48.4583101, 18.8956991 48.4583226, 18.8958889 48.4583458, 18.8959694 48.4583643, 18.8960887 48.4583938)",
"[25414249, 22910305]",,"['Andreja Kmeťa', 'Radničné námestie']",tertiary,50,False,True,175.62,"LINESTRING (18.8955077 48.458232, 18.8953317 48.4582968, 18.8950682 48.4583901, 18.894846 48.4584771, 18.8947537 48.4585106, 18.8946378 48.4585471, 18.8945018 48.4585821, 18.8943099 48.4586262, 18.89411 48.4586566, 18.8939188 48.4586796, 18.8937382 48.4586966, 18.8935668 48.458705, 18.8933869 48.4587115, 18.8932798 48.4587145)",
194286935,,Kammerhofská,tertiary,50,False,False,92.278,"LINESTRING (18.8955077 48.458232, 18.8957162 48.4581587, 18.8958232 48.4581216, 18.8958796 48.4581019, 18.8960067 48.4580573, 18.8962113 48.4579939, 18.8964294 48.4579285, 18.8966357 48.4578743)",
117846144,,Botanická,residential,,False,True,75.977,"LINESTRING (18.901078 48.4610346, 18.9002797 48.461315, 18.9001619 48.4613465)",
339188115,,Akademická,tertiary,,False,True,306.458,"LINESTRING (18.901078 48.4610346, 18.9010689 48.4609595, 18.9010532 48.4608985, 18.9010314 48.4608372, 18.9010036 48.4607811, 18.9009751 48.4607398, 18.9009285 48.4606904, 18.9006579 48.4604877, 18.9001149 48.4600652, 18.9000765 48.460023, 18.900058 48.4599817, 18.9000493 48.4599251, 18.9000205 48.459509, 18.9000155 48.4594578, 18.9000045 48.4593985, 18.8999887 48.4593449, 18.8999739 48.4593053, 18.8999536 48.4592643, 18.8999283 48.459219, 18.899888 48.4591632, 18.8998375 48.4591124, 18.899809 48.4590909, 18.8997811 48.459071, 18.8997319 48.459042, 18.8996827 48.459022, 18.8996212 48.4590033, 18.8995563 48.4589933, 18.8994766 48.4589887, 18.8993952 48.4589985, 18.8993389 48.4590118, 18.8990741 48.4591204)",
22910303,,Dolná,tertiary,50,False,False,246.70599999999996,"LINESTRING (18.9025914 48.4559021, 18.9026193 48.4558291, 18.9026327 48.4557593, 18.9026494 48.4556646, 18.9026681 48.4555811, 18.902691 48.4555276, 18.902726 48.4554701, 18.9028994 48.4552044, 18.9029726 48.4550864, 18.9030504 48.4549509, 18.9030828 48.4548998, 18.9031444 48.4547856, 18.9032361 48.4546155, 18.9033257 48.454452, 18.9033641 48.4543783, 18.9034416 48.4542343, 18.9036705 48.4538093)",
