osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,junction
184020212,False,2,R3,secondary,False,177.303,"LINESTRING (-15.4498602 12.2230832, -15.4490448 12.222739, -15.4487701 12.2226239, -15.4486473 12.2225606, -15.4483701 12.2224349)",,
378608523,True,1,R3,secondary,False,61.095,"LINESTRING (-15.4498602 12.2230832, -15.4501512 12.2232498, -15.450224 12.2232967, -15.4503425 12.2233653)",,
220195201,False,,,residential,False,108.412,"LINESTRING (-15.4536306 12.2263661, -15.4527709 12.2268607)",Rua 1,
129996361,False,,R3,tertiary,True,145.43599999999998,"LINESTRING (-15.4536306 12.2263661, -15.4535826 12.2261417, -15.4535391 12.225998, -15.4534814 12.2258641, -15.4534088 12.2257713, -15.4532972 12.2256578, -15.4531998 12.2255676, -15.4531148 12.225489, -15.4530472 12.2253922, -15.4529675 12.225268)",,
"[220195201, 129996363]",False,,,residential,True,751.606,"LINESTRING (-15.4536306 12.2263661, -15.4550079 12.2256119, -15.4561819 12.2249243, -15.4531092 12.2224694)",Rua 1,
220195202,False,,,residential,False,69.878,"LINESTRING (-15.4526587 12.222021, -15.4531092 12.2224694)",,
220195263,False,,,residential,False,42.409,"LINESTRING (-15.4526587 12.222021, -15.4523699 12.2217645)",,
378624541,False,2,R1,secondary,True,218.139,"LINESTRING (-15.4526587 12.222021, -15.4511557 12.2233213)",,
220195199,False,,,residential,True,141.315,"LINESTRING (-15.4521338 12.2257528, -15.452287 12.2260192, -15.4527709 12.2268607)",,
220195239,False,,,residential,True,64.134,"LINESTRING (-15.4521909 12.2212149, -15.4523699 12.2217645)",,
378716735,False,,,residential,True,84.703,"LINESTRING (-15.4489646 12.2274646, -15.449648 12.2270983)",,
1153324657,False,,,residential,True,70.622,"LINESTRING (-15.4489646 12.2274646, -15.4492869 12.2280161)",Rua 4,
129996361,False,,R3,tertiary,False,145.436,"LINESTRING (-15.4529675 12.225268, -15.4530472 12.2253922, -15.4531148 12.225489, -15.4531998 12.2255676, -15.4532972 12.2256578, -15.4534088 12.2257713, -15.4534814 12.2258641, -15.4535391 12.225998, -15.4535826 12.2261417, -15.4536306 12.2263661)",,
129996361,False,,R3,tertiary,True,213.38599999999997,"LINESTRING (-15.4529675 12.225268, -15.4520845 12.2242922, -15.4517836 12.2239943, -15.4516436 12.2238515)",,
378618877,False,,,residential,True,388.978,"LINESTRING (-15.4529675 12.225268, -15.4540165 12.2246769, -15.4530134 12.22258)",,
129996365,False,,L12,tertiary,True,297.07700000000006,"LINESTRING (-15.4487113 12.2255087, -15.4494406 12.2245821, -15.4496239 12.2243277, -15.4497234 12.2241982, -15.4498137 12.2240725, -15.4499082 12.2239406, -15.4501731 12.2235929, -15.4503425 12.2233653)",,
378622083,False,,,residential,True,203.998,"LINESTRING (-15.4487113 12.2255087, -15.4487713 12.225603, -15.4488899 12.2257895, -15.449648 12.2270983)",Rua 1,
220195201,False,,,residential,True,108.412,"LINESTRING (-15.4527709 12.2268607, -15.4536306 12.2263661)",Rua 1,
