osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,name,access,bridge
96170342,35Н-121;С-010345,tertiary,60,False,False,36.714,"LINESTRING (34.3216527 45.0546374, 34.3221179 45.0546693)",,,
96170342,35Н-121;С-010345,tertiary,60,False,True,306.94,"LINESTRING (34.3216527 45.0546374, 34.3208637 45.0548264, 34.3205828 45.0548358, 34.3201035 45.054798, 34.3193258 45.0547366, 34.3179607 45.0546518, 34.317803 45.0546454)",,,
"[1082583313, 96170355]",,residential,,False,False,388.52099999999996,"LINESTRING (34.3216527 45.0546374, 34.3214781 45.0545113, 34.3211322 45.0543949, 34.3194275 45.0540284, 34.3192669 45.0539353, 34.3192381 45.0538306, 34.3192958 45.0536823, 34.319374 45.0534379, 34.3195593 45.0523151)","['Боковая улица', 'Больничная улица']",yes,
766011113,35Н-121;С-010345,tertiary,60,False,True,53.363,"LINESTRING (34.3264385 45.0553212, 34.3262686 45.0552257, 34.3260991 45.0551523, 34.3258661 45.0550655)",Шосейна вулиця,,
96170342,35Н-121;С-010345,tertiary,60,False,True,83.229,"LINESTRING (34.317803 45.0546454, 34.316744 45.0546215)",,,
96170342,35Н-121;С-010345,tertiary,60,False,False,306.94,"LINESTRING (34.317803 45.0546454, 34.3179607 45.0546518, 34.3193258 45.0547366, 34.3201035 45.054798, 34.3205828 45.0548358, 34.3208637 45.0548264, 34.3216527 45.0546374)",,,
96170342,35Н-121;С-010345,tertiary,60,False,False,54.985,"LINESTRING (34.3221179 45.0546693, 34.3228143 45.0547193)",,,
96170342,35Н-121;С-010345,tertiary,60,False,True,36.714,"LINESTRING (34.3221179 45.0546693, 34.3216527 45.0546374)",,,
96170354,,residential,,False,False,182.254,"LINESTRING (34.3221179 45.0546693, 34.3229272 45.0531332)",Советская улица,yes,
96170342,35Н-121;С-010345,tertiary,60,False,True,54.985,"LINESTRING (34.3228143 45.0547193, 34.3221179 45.0546693)",,,
"[766011112, 766011113, 96170342]",35Н-121;С-010345,tertiary,60,False,False,206.96499999999997,"LINESTRING (34.3228143 45.0547193, 34.323676 45.0547581, 34.3241282 45.0547946, 34.3245581 45.0548179, 34.324789 45.0548462, 34.3253368 45.0549303, 34.3254201 45.0549545)","['Шосейна вулиця', 'Шоссейная улица']",,yes
96170349,35Н-091С-010315,residential,,False,False,114.669,"LINESTRING (34.3254201 45.0549545, 34.325996 45.0540069)",Кооперативная улица,yes,
766011113,35Н-121;С-010345,tertiary,60,False,False,37.144,"LINESTRING (34.3254201 45.0549545, 34.3258661 45.0550655)",Шосейна вулиця,,
"[766011112, 766011113, 96170342]",35Н-121;С-010345,tertiary,60,False,True,206.96500000000003,"LINESTRING (34.3254201 45.0549545, 34.3253368 45.0549303, 34.324789 45.0548462, 34.3245581 45.0548179, 34.3241282 45.0547946, 34.323676 45.0547581, 34.3228143 45.0547193)","['Шосейна вулиця', 'Шоссейная улица']",,yes
766011113,35Н-121;С-010345,tertiary,60,False,True,37.144,"LINESTRING (34.3258661 45.0550655, 34.3254201 45.0549545)",Шосейна вулиця,,
96170347,,residential,,False,True,186.68400000000003,"LINESTRING (34.3258661 45.0550655, 34.3254691 45.0560731, 34.3251614 45.0566676)",улица Механизаторов,,
766011113,35Н-121;С-010345,tertiary,60,False,False,53.363,"LINESTRING (34.3258661 45.0550655, 34.3260991 45.0551523, 34.3262686 45.0552257, 34.3264385 45.0553212)",Шосейна вулиця,,
96170347,,residential,,False,False,47.562,"LINESTRING (34.324782 45.0573302, 34.3250102 45.056934)",улица Механизаторов,,
96170376,,residential,,False,False,227.85,"LINESTRING (34.324782 45.0573302, 34.3219669 45.0568359)",Заречная улица,,
96170347,,residential,,False,True,81.14500000000001,"LINESTRING (34.324782 45.0573302, 34.3247623 45.0573609, 34.3246761 45.0575186, 34.3246324 45.0575912, 34.324552 45.0580357)",улица Механизаторов,,
96170347,,residential,,False,False,81.14500000000001,"LINESTRING (34.324552 45.0580357, 34.3246324 45.0575912, 34.3246761 45.0575186, 34.3247623 45.0573609, 34.324782 45.0573302)",улица Механизаторов,,
96170347,,residential,,False,True,63.188,"LINESTRING (34.324552 45.0580357, 34.3243381 45.0581438, 34.3242019 45.0581795, 34.3240549 45.0581645, 34.3238155 45.0581197)",улица Механизаторов,,
267821848,,residential,,False,False,63.616,"LINESTRING (34.324552 45.0580357, 34.3245667 45.0582989, 34.3246482 45.0583671, 34.3247116 45.0584126, 34.3249032 45.0584894)",Подгорная улица,,
96170375,,residential,,False,False,171.825,"LINESTRING (34.3238155 45.0581197, 34.3217317 45.0576495)",Огородная улица,,
96170347,,residential,,False,False,63.188,"LINESTRING (34.3238155 45.0581197, 34.3240549 45.0581645, 34.3242019 45.0581795, 34.3243381 45.0581438, 34.324552 45.0580357)",улица Механизаторов,,
96170347,,residential,,False,True,98.213,"LINESTRING (34.3238155 45.0581197, 34.3236797 45.0584212, 34.3233921 45.0589504)",улица Механизаторов,,
267828045,,residential,,False,False,186.015,"LINESTRING (34.3233921 45.0589504, 34.3211132 45.0584953)",Береговая улица,,
267828045,,residential,,False,True,98.086,"LINESTRING (34.3233921 45.0589504, 34.3245857 45.0592097)",Береговая улица,,
96170347,,residential,,False,False,98.213,"LINESTRING (34.3233921 45.0589504, 34.3236797 45.0584212, 34.3238155 45.0581197)",улица Механизаторов,,
96170349,35Н-091С-010315,residential,,False,True,114.669,"LINESTRING (34.325996 45.0540069, 34.3254201 45.0549545)",Кооперативная улица,yes,
96170349,35Н-091С-010315,residential,,False,False,90.721,"LINESTRING (34.325996 45.0540069, 34.3262759 45.0535304, 34.3264147 45.0532469)",Кооперативная улица,yes,
96170359,,residential,,False,False,192.118,"LINESTRING (34.325996 45.0540069, 34.3250779 45.0538717, 34.3248867 45.0538365, 34.3249822 45.0535729, 34.3252118 45.0529398)",Тихая улица,yes,
96170354,,residential,,False,True,182.254,"LINESTRING (34.3229272 45.0531332, 34.3221179 45.0546693)",Советская улица,yes,
96170358,,residential,,False,False,140.715,"LINESTRING (34.3229272 45.0531332, 34.3212485 45.0526916)",,,
96170354,,residential,,False,False,202.552,"LINESTRING (34.3229272 45.0531332, 34.3232692 45.0523645, 34.3233763 45.0519835, 34.3236658 45.0513904)",Советская улица,yes,
96170355,,residential,,False,False,36.05,"LINESTRING (34.3195593 45.0523151, 34.3196216 45.0519939)",Больничная улица,yes,
96170358,,residential,,False,True,139.142,"LINESTRING (34.3195593 45.0523151, 34.3212485 45.0526916)",,,
"[1082583313, 96170355]",,residential,,False,True,388.52099999999996,"LINESTRING (34.3195593 45.0523151, 34.319374 45.0534379, 34.3192958 45.0536823, 34.3192381 45.0538306, 34.3192669 45.0539353, 34.3194275 45.0540284, 34.3211322 45.0543949, 34.3214781 45.0545113, 34.3216527 45.0546374)","['Боковая улица', 'Больничная улица']",yes,
96170355,,residential,,False,True,36.05,"LINESTRING (34.3196216 45.0519939, 34.3195593 45.0523151)",Больничная улица,yes,
96170370,,residential,,False,False,270.03,"LINESTRING (34.3196216 45.0519939, 34.3187887 45.0518289, 34.3187455 45.0518018, 34.3186835 45.0517628, 34.3183562 45.0516747, 34.3177561 45.0516142, 34.3173158 45.0515536, 34.3168208 45.0515367, 34.3167508 45.0515343, 34.3162927 45.0515705)",улица Ленина,,
96170370,,residential,,False,True,270.03,"LINESTRING (34.3162927 45.0515705, 34.3167508 45.0515343, 34.3168208 45.0515367, 34.3173158 45.0515536, 34.3177561 45.0516142, 34.3183562 45.0516747, 34.3186835 45.0517628, 34.3187455 45.0518018, 34.3187887 45.0518289, 34.3196216 45.0519939)",улица Ленина,,
96170358,,residential,,False,False,139.142,"LINESTRING (34.3212485 45.0526916, 34.3195593 45.0523151)",,,
96170358,,residential,,False,True,140.715,"LINESTRING (34.3212485 45.0526916, 34.3229272 45.0531332)",,,
809532983,,residential,,False,True,102.325,"LINESTRING (34.3212485 45.0526916, 34.320893 45.0535769)",переулок Советский,yes,
809532983,,residential,,False,False,102.325,"LINESTRING (34.320893 45.0535769, 34.3212485 45.0526916)",переулок Советский,yes,
1075201561,,residential,,False,True,100.473,"LINESTRING (34.3252118 45.0529398, 34.3264147 45.0532469)",Тихая улица,,
1082315252,,residential,,False,False,33.914,"LINESTRING (34.3252118 45.0529398, 34.3247971 45.052855)",,,
96170359,,residential,,False,False,301.501,"LINESTRING (34.3252118 45.0529398, 34.3253238 45.0526232, 34.3255815 45.0523502, 34.3258924 45.0518595, 34.3260184 45.0516122, 34.3262172 45.0509514, 34.3263853 45.0504785, 34.3264637 45.0504033)",Тихая улица,yes,
96170359,,residential,,False,True,192.118,"LINESTRING (34.3252118 45.0529398, 34.3249822 45.0535729, 34.3248867 45.0538365, 34.3250779 45.0538717, 34.325996 45.0540069)",Тихая улица,yes,
96170359,,residential,,False,True,301.501,"LINESTRING (34.3264637 45.0504033, 34.3263853 45.0504785, 34.3262172 45.0509514, 34.3260184 45.0516122, 34.3258924 45.0518595, 34.3255815 45.0523502, 34.3253238 45.0526232, 34.3252118 45.0529398)",Тихая улица,yes,
96170375,,residential,,False,True,171.825,"LINESTRING (34.3217317 45.0576495, 34.3238155 45.0581197)",Огородная улица,,
96170376,,residential,,False,True,227.85,"LINESTRING (34.3219669 45.0568359, 34.324782 45.0573302)",Заречная улица,,
96170377,,residential,,False,True,217.13800000000003,"LINESTRING (34.3224779 45.0562572, 34.3230701 45.0563546, 34.3232647 45.0563259, 34.3241739 45.056482, 34.3251614 45.0566676)",улица Механизаторов,,
267821848,,residential,,False,True,63.616,"LINESTRING (34.3249032 45.0584894, 34.3247116 45.0584126, 34.3246482 45.0583671, 34.3245667 45.0582989, 34.324552 45.0580357)",Подгорная улица,,
267828045,,residential,,False,False,98.086,"LINESTRING (34.3245857 45.0592097, 34.3233921 45.0589504)",Береговая улица,,
267828045,,residential,,False,True,186.015,"LINESTRING (34.3211132 45.0584953, 34.3233921 45.0589504)",Береговая улица,,
96170347,,residential,,False,False,31.915,"LINESTRING (34.3250102 45.056934, 34.3251614 45.0566676)",улица Механизаторов,,
96170347,,residential,,False,True,47.562,"LINESTRING (34.3250102 45.056934, 34.324782 45.0573302)",улица Механизаторов,,
807365392,,residential,,False,False,151.308,"LINESTRING (34.3250102 45.056934, 34.3261788 45.0572193, 34.3258907 45.0576621)",улица Механизаторов,,
807365392,,residential,,False,True,151.308,"LINESTRING (34.3258907 45.0576621, 34.3261788 45.0572193, 34.3250102 45.056934)",улица Механизаторов,,
96170342,35Н-121;С-010345,tertiary,60,False,False,83.229,"LINESTRING (34.316744 45.0546215, 34.317803 45.0546454)",,,
809546261,,residential,,False,False,103.329,"LINESTRING (34.316744 45.0546215, 34.3168337 45.0536944)",Шоссейная улица,yes,
809546261,,residential,,False,True,103.329,"LINESTRING (34.3168337 45.0536944, 34.316744 45.0546215)",Шоссейная улица,yes,
96170347,,residential,,False,True,31.915,"LINESTRING (34.3251614 45.0566676, 34.3250102 45.056934)",улица Механизаторов,,
96170347,,residential,,False,False,186.68400000000003,"LINESTRING (34.3251614 45.0566676, 34.3254691 45.0560731, 34.3258661 45.0550655)",улица Механизаторов,,
96170377,,residential,,False,False,217.138,"LINESTRING (34.3251614 45.0566676, 34.3241739 45.056482, 34.3232647 45.0563259, 34.3230701 45.0563546, 34.3224779 45.0562572)",улица Механизаторов,,
1075201561,,residential,,False,False,100.473,"LINESTRING (34.3264147 45.0532469, 34.3252118 45.0529398)",Тихая улица,,
96170349,35Н-091С-010315,residential,,False,True,90.721,"LINESTRING (34.3264147 45.0532469, 34.3262759 45.0535304, 34.325996 45.0540069)",Кооперативная улица,yes,
1082315252,,residential,,False,True,33.914,"LINESTRING (34.3247971 45.052855, 34.3252118 45.0529398)",,,
1082657101,,residential,,False,False,46.759,"LINESTRING (34.3236658 45.0513904, 34.3231117 45.0512368)",,,
96170354,,residential,,False,True,202.552,"LINESTRING (34.3236658 45.0513904, 34.3233763 45.0519835, 34.3232692 45.0523645, 34.3229272 45.0531332)",Советская улица,yes,
1082657101,,residential,,False,True,46.759,"LINESTRING (34.3231117 45.0512368, 34.3236658 45.0513904)",,,
