osmid,ref,name,highway,oneway,reversed,length,maxspeed,lanes,geometry,bridge
872813989,С141214,вулиця Данила Галицького,tertiary,False,True,63.92,,,"LINESTRING (23.8566616 49.647312, 23.8575438 49.6472475)",
"[731876478, 731876470, 730310807]",Т-14-16,"['вулиця Степана Бандери', 'площа Ринок', 'Княжа вулиця']",secondary,False,False,261.306,50,2,"LINESTRING (23.8566616 49.647312, 23.8566264 49.6471664, 23.8566098 49.6470485, 23.8566122 49.6469822, 23.8566196 49.6469228, 23.8566352 49.6468688, 23.8566606 49.6467956, 23.856732 49.6466981, 23.8571937 49.6461907, 23.857294 49.6460777, 23.8573608 49.645982, 23.8573796 49.6459262, 23.8574465 49.6455829, 23.8575375 49.6450934)",
730310807,Т-14-16,Княжа вулиця,secondary,False,True,167.021,50,,"LINESTRING (23.8566616 49.647312, 23.8567068 49.6474777, 23.8570611 49.6483326, 23.8570858 49.6484024, 23.8571015 49.6484847, 23.8570986 49.6485719, 23.8570838 49.6486251, 23.8570669 49.648673, 23.8570382 49.6487198, 23.8570001 49.6487671)",
731876478,Т-14-16,вулиця Степана Бандери,secondary,False,True,169.33499999999998,50,2,"LINESTRING (23.8572027 49.6422832, 23.8572011 49.6423381, 23.8571963 49.6424499, 23.8571901 49.642559, 23.857151 49.6432519, 23.8571358 49.6435493, 23.8571347 49.6437027, 23.8571417 49.6438052)",
730646572,,Золотогірська вулиця,residential,False,False,16.991,,,"LINESTRING (23.8615843 49.6463314, 23.861583 49.6464842)",
"[731876472, 237448689, 872813990]",С141214,вулиця Данила Галицького,tertiary,False,False,89.44800000000001,,,"LINESTRING (23.8615843 49.6463314, 23.8613282 49.6464629, 23.8610031 49.646591, 23.8609074 49.6466297, 23.8605495 49.6467746)",yes
214773386,,вулиця Петра Сагайдачного,residential,False,True,171.356,,,"LINESTRING (23.851279 49.6469034, 23.8515112 49.6472455, 23.8516326 49.6477288, 23.8517545 49.6484019)",
872112702,С141201,вулиця Загородки,tertiary,False,True,256.299,,,"LINESTRING (23.851279 49.6469034, 23.8522987 49.6467104, 23.8525766 49.6466288, 23.8532406 49.6463407, 23.85334 49.6462976, 23.8539557 49.6461609, 23.8543879 49.6460964, 23.8545647 49.6460787)",
214773386,,вулиця Петра Сагайдачного,residential,False,False,309.304,,,"LINESTRING (23.8537716 49.6508255, 23.8526551 49.6497219, 23.8521687 49.6492344, 23.8519922 49.6490098, 23.8518732 49.6488206, 23.8517545 49.6484019)",
223266046,,вулиця Євгена Коновальця,residential,False,False,254.115,,,"LINESTRING (23.8537716 49.6508255, 23.8519042 49.6512616, 23.8517173 49.6512767, 23.8515913 49.6512647, 23.8514745 49.6512284, 23.8513858 49.6511618, 23.8513111 49.6510742, 23.8510699 49.6505743)",
954191298,,вулиця Василя Тибінки,residential,False,False,84.901,,,"LINESTRING (23.8507602 49.6429577, 23.8507207 49.6437208)",
954191298,,вулиця Василя Тибінки,residential,False,True,84.901,,,"LINESTRING (23.8507207 49.6437208, 23.8507602 49.6429577)",
