osmid,name,highway,oneway,reversed,length,geometry,ref
287795087,,residential,False,True,109.16699999999999,"LINESTRING (25.9718985 49.4249845, 25.9718842 49.4248878, 25.9717887 49.4246666, 25.9716148 49.4244877, 25.9712404 49.4241174)",
287777156,вулиця Вишневецького,residential,False,True,362.423,"LINESTRING (25.9813144 49.4209462, 25.9811958 49.4209331, 25.9809169 49.4208759, 25.980745 49.4208324, 25.9806189 49.4208349, 25.9803591 49.4208274, 25.9801031 49.4207964, 25.9799636 49.4207603, 25.9797917 49.4206584, 25.97953 49.4205329, 25.9792301 49.4204521, 25.9791212 49.4204372, 25.9790103 49.4204564, 25.9789703 49.4204633, 25.9787089 49.4205355, 25.9783051 49.4206467, 25.9779539 49.4207516, 25.9775852 49.4209008, 25.9771542 49.4210583, 25.9767837 49.4211995)",
287777158,вулиця Вишневецького,residential,False,False,220.92299999999997,"LINESTRING (25.9813144 49.4209462, 25.9816772 49.4210176, 25.9819179 49.4211133, 25.9820842 49.4211915, 25.9823058 49.4212922, 25.9823519 49.4213312, 25.9824127 49.4214227, 25.982407 49.4215134, 25.9823707 49.4216625, 25.9822962 49.4217806, 25.9822121 49.4218999, 25.9821071 49.4219595, 25.9819313 49.4220254, 25.9817403 49.4221434, 25.981597 49.4222503, 25.9815144 49.4222814)",
287776871,вулиця Тараса Шевченка,residential,False,False,92.875,"LINESTRING (25.9815144 49.4222814, 25.981509 49.4224097, 25.9815009 49.4225292, 25.9814901 49.4226522, 25.9814468 49.4227963, 25.9813442 49.4229879, 25.9813117 49.4231003)",
287777158,вулиця Вишневецького,residential,False,True,220.92299999999997,"LINESTRING (25.9815144 49.4222814, 25.981597 49.4222503, 25.9817403 49.4221434, 25.9819313 49.4220254, 25.9821071 49.4219595, 25.9822121 49.4218999, 25.9822962 49.4217806, 25.9823707 49.4216625, 25.982407 49.4215134, 25.9824127 49.4214227, 25.9823519 49.4213312, 25.9823058 49.4212922, 25.9820842 49.4211915, 25.9819179 49.4211133, 25.9816772 49.4210176, 25.9813144 49.4209462)",
287777159,вулиця Тараса Шевченка,residential,False,True,197.89100000000002,"LINESTRING (25.9815144 49.4222814, 25.9814111 49.422232, 25.9812965 49.4221649, 25.9811685 49.4221077, 25.980987 49.4220568, 25.9808437 49.4219971, 25.980647 49.4219164, 25.9803317 49.4218766, 25.9802381 49.4218716, 25.9800815 49.4218952, 25.9799497 49.4219449, 25.9798274 49.422022, 25.9796956 49.4221003, 25.9795504 49.4221363, 25.9793212 49.422191, 25.979168 49.4222949)",
287776871,вулиця Тараса Шевченка,residential,False,False,71.673,"LINESTRING (25.9813117 49.4231003, 25.9812631 49.423204, 25.9812901 49.4233604, 25.981355 49.4235573, 25.9813879 49.4237334)",
287776871,вулиця Тараса Шевченка,residential,False,True,92.87500000000001,"LINESTRING (25.9813117 49.4231003, 25.9813442 49.4229879, 25.9814468 49.4227963, 25.9814901 49.4226522, 25.9815009 49.4225292, 25.981509 49.4224097, 25.9815144 49.4222814)",
172317727,вулиця Незалежності,tertiary,False,True,70.507,"LINESTRING (25.9843037 49.4234468, 25.9840157 49.4234753, 25.983339 49.4235379)",О201215
287776875,вулиця Коновальця,residential,False,False,153.123,"LINESTRING (25.9843037 49.4234468, 25.984374 49.4236759, 25.9843664 49.4238138, 25.9843282 49.4239294, 25.9842174 49.4240524, 25.9841085 49.4241903, 25.9840455 49.4243196, 25.9839767 49.4246613, 25.9839404 49.4247681)",
172317727,вулиця Незалежності,tertiary,False,False,142.791,"LINESTRING (25.9813879 49.4237334, 25.9825303 49.4236128, 25.983339 49.4235379)",О201215
172317727,вулиця Незалежності,tertiary,False,True,92.588,"LINESTRING (25.9813879 49.4237334, 25.9810875 49.4237651, 25.9801235 49.4238635)",О201215
287776871,вулиця Тараса Шевченка,residential,False,True,71.673,"LINESTRING (25.9813879 49.4237334, 25.981355 49.4235573, 25.9812901 49.4233604, 25.9812631 49.423204, 25.9813117 49.4231003)",
287776870,вулиця Винниченка,residential,False,False,166.54100000000003,"LINESTRING (25.9816529 49.4246795, 25.9815615 49.4248393, 25.9814481 49.4251276, 25.9812535 49.4256935, 25.9812023 49.4260011, 25.9811845 49.426141)",
287795045,вулиця Чорновола,residential,False,True,222.138,"LINESTRING (25.9816529 49.4246795, 25.9817992 49.4246589, 25.9822596 49.4246402, 25.9825535 49.4246163, 25.9827885 49.4245902, 25.9830273 49.4245455, 25.9831705 49.4244809, 25.9832622 49.4243889, 25.9833406 49.4242286, 25.9833979 49.4241056, 25.9834151 49.4239267, 25.9833845 49.423749, 25.983339 49.4235379)",
287795046,вулиця Чорновола,residential,False,True,322.94100000000003,"LINESTRING (25.9816529 49.4246795, 25.9815661 49.4246328, 25.9813961 49.4246067, 25.9811191 49.4246241, 25.979906 49.4247173, 25.9789012 49.4248005, 25.9784312 49.4248279, 25.9783184 49.4248427, 25.9774847 49.4249734, 25.9772965 49.4250481)",
287776875,вулиця Коновальця,residential,False,True,153.123,"LINESTRING (25.9839404 49.4247681, 25.9839767 49.4246613, 25.9840455 49.4243196, 25.9841085 49.4241903, 25.9842174 49.4240524, 25.9843282 49.4239294, 25.9843664 49.4238138, 25.984374 49.4236759, 25.9843037 49.4234468)",
287795035,вулиця Коновальця,residential,False,False,243.262,"LINESTRING (25.9839404 49.4247681, 25.9837627 49.4248414, 25.9836519 49.4249135, 25.9835316 49.424993, 25.98348 49.4250763, 25.9834131 49.4252453, 25.9832546 49.4257597, 25.9830712 49.4263586, 25.9829718 49.4266991, 25.9829241 49.4267848)",
287776865,вулиця Стецька,residential,False,True,193.554,"LINESTRING (25.9771228 49.4253022, 25.9771908 49.4253425, 25.9772264 49.4253637, 25.9777492 49.425992, 25.9781356 49.4264524, 25.9783463 49.4267599, 25.9783937 49.426827)",
287834556,вулиця Михайла Грушевського,secondary,False,False,30.957,"LINESTRING (25.9771228 49.4253022, 25.9772228 49.4251723, 25.9772965 49.4250481)",Т-20-02
287834556,вулиця Михайла Грушевського,secondary,False,True,95.981,"LINESTRING (25.9771228 49.4253022, 25.9769448 49.4253955, 25.9768387 49.4254465, 25.9759601 49.4257085)",Т-20-02
287776870,вулиця Винниченка,residential,False,False,94.608,"LINESTRING (25.9811845 49.426141, 25.9811912 49.4263472, 25.9812292 49.4265753, 25.981332 49.4268163, 25.9814557 49.4269604)",
287776870,вулиця Винниченка,residential,False,True,166.541,"LINESTRING (25.9811845 49.426141, 25.9812023 49.4260011, 25.9812535 49.4256935, 25.9814481 49.4251276, 25.9815615 49.4248393, 25.9816529 49.4246795)",
287776872,вулиця Кривоноса,residential,False,True,145.467,"LINESTRING (25.9811845 49.426141, 25.9810169 49.4261782, 25.9808153 49.4261534, 25.9806087 49.4261854, 25.9802818 49.4262838, 25.9795862 49.4265027, 25.9793736 49.4266249)",
287795035,вулиця Коновальця,residential,False,False,68.888,"LINESTRING (25.9829241 49.4267848, 25.9828687 49.4268544, 25.9827846 49.4269128, 25.9826471 49.4269923, 25.9823968 49.4271215, 25.9822019 49.4271638)",
287795035,вулиця Коновальця,residential,False,True,243.26199999999997,"LINESTRING (25.9829241 49.4267848, 25.9829718 49.4266991, 25.9830712 49.4263586, 25.9832546 49.4257597, 25.9834131 49.4252453, 25.98348 49.4250763, 25.9835316 49.424993, 25.9836519 49.4249135, 25.9837627 49.4248414, 25.9839404 49.4247681)",
287776865,вулиця Стецька,residential,False,False,193.554,"LINESTRING (25.9783937 49.426827, 25.9783463 49.4267599, 25.9781356 49.4264524, 25.9777492 49.425992, 25.9772264 49.4253637, 25.9771908 49.4253425, 25.9771228 49.4253022)",
287776872,вулиця Кривоноса,residential,False,False,74.831,"LINESTRING (25.9783937 49.426827, 25.9785433 49.4267802, 25.9787959 49.4267433, 25.9790768 49.4267011, 25.9791944 49.4266818, 25.9793335 49.4266431, 25.9793736 49.4266249)",
287776872,вулиця Кривоноса,residential,False,True,38.604,"LINESTRING (25.9783937 49.426827, 25.9782717 49.4268883, 25.978034 49.4270808)",
287776870,вулиця Винниченка,residential,False,True,94.608,"LINESTRING (25.9814557 49.4269604, 25.981332 49.4268163, 25.9812292 49.4265753, 25.9811912 49.4263472, 25.9811845 49.426141)",
287776876,,residential,False,False,59.931,"LINESTRING (25.9814557 49.4269604, 25.9815505 49.4269898, 25.9818791 49.4270296, 25.9820778 49.4270855, 25.9822019 49.4271638)",
287776878,вулиця Винниченка,residential,False,True,147.668,"LINESTRING (25.9814557 49.4269604, 25.9813597 49.4269886, 25.9812278 49.4271178, 25.9808744 49.4274657, 25.980431 49.4279017, 25.9803967 49.4279551, 25.9803567 49.4280587)",
