osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref
100061495,2,Магдалинівська вулиця,tertiary,50,False,False,16.65,"LINESTRING (35.0838057 48.5272275, 35.0836302 48.5273219)",
56083640,4,,primary,50,True,False,308.37399999999997,"LINESTRING (35.0838057 48.5272275, 35.0838471 48.5273224, 35.0839699 48.5276088, 35.0842415 48.5282331, 35.084695 48.5292719, 35.0849452 48.5298559, 35.0849612 48.5298931)",
100061495,2,Магдалинівська вулиця,tertiary,50,False,True,48.286,"LINESTRING (35.0838057 48.5272275, 35.0838701 48.5271929, 35.0843527 48.5269886)",
100061495,2,Магдалинівська вулиця,tertiary,50,False,True,16.65,"LINESTRING (35.0836302 48.5273219, 35.0838057 48.5272275)",
30413540,2,вулиця Василя Сухомлинського,secondary,50,False,False,546.743,"LINESTRING (35.0836302 48.5273219, 35.083475 48.5273721, 35.0824651 48.5276986, 35.0785239 48.5289339, 35.0783656 48.5289802, 35.07798 48.529093, 35.0773249 48.5292847, 35.0772582 48.5293042, 35.0769069 48.529407)",Т-04-05
56083642,4,Слобожанський проспект,primary,,True,False,46.126,"LINESTRING (35.0836302 48.5273219, 35.0836095 48.5272668, 35.0834793 48.5269193)",
720851109,2,Магдалинівська вулиця,tertiary,50,False,False,22.533,"LINESTRING (35.0846985 48.5268371, 35.0844444 48.52695)",
60515026,2,Магдалинівська вулиця,tertiary,50,False,True,123.50300000000001,"LINESTRING (35.0846985 48.5268371, 35.0847954 48.5268064, 35.0849115 48.5267792, 35.0850103 48.5267711, 35.0851027 48.5267727, 35.0852508 48.5267886, 35.0856034 48.5268404, 35.0863291 48.526947)",
186548273,2,вулиця Героїв України,residential,50,False,False,15.334,"LINESTRING (35.0847755 48.5299555, 35.0849612 48.5298931)",
186548273,2,вулиця Героїв України,residential,50,False,True,32.436,"LINESTRING (35.0847755 48.5299555, 35.0843837 48.5300888)",
713299985,4,,primary,50,True,False,304.75300000000004,"LINESTRING (35.0847755 48.5299555, 35.0847638 48.5299288, 35.0846777 48.5297318, 35.084653 48.5296751, 35.084567 48.5294785, 35.0844075 48.5291133, 35.0840667 48.5283337, 35.0840418 48.5282767, 35.0839002 48.5279526, 35.0838444 48.5278249, 35.0836637 48.5274114, 35.0836302 48.5273219)",
285539895,,вулиця Братів Бачинських,residential,50,False,False,16.462,"LINESTRING (35.0834793 48.5269193, 35.0836932 48.5268763)",
85275463,,Слобожанська вулиця,residential,,False,True,15.65,"LINESTRING (35.0863876 48.533722, 35.0865916 48.5336825)",
278491163,4,,primary,50,True,False,89.419,"LINESTRING (35.0863876 48.533722, 35.0860544 48.5329487)",
"[991993934, 85275463]",2,"['вулиця Слобожанська', 'Слобожанська вулиця']",residential,,False,"[False, True]",955.4060000000003,"LINESTRING (35.0863876 48.533722, 35.0862385 48.5337655, 35.0860027 48.533829, 35.0857494 48.533889, 35.0853539 48.5339775, 35.0852606 48.5339837, 35.0851669 48.5339647, 35.0849979 48.5338937, 35.0848545 48.5338562, 35.0847574 48.5338391, 35.0846691 48.5338291, 35.0844891 48.5338569, 35.084172 48.5339346, 35.0837374 48.5340411, 35.0833197 48.5341434, 35.08228 48.5343981, 35.0806605 48.5347951, 35.0801547 48.534919, 35.0792077 48.5351549, 35.0790562 48.5351827, 35.0790205 48.5351893, 35.0787257 48.5352072, 35.0785989 48.5352345, 35.0781937 48.5353217, 35.0780273 48.5353526, 35.0779667 48.5353638, 35.0777943 48.5353888, 35.077596 48.5353529, 35.0775197 48.5352309, 35.0775086 48.5351653, 35.0774861 48.5350332, 35.0773464 48.5343223, 35.0772968 48.5340701, 35.0772897 48.5340337, 35.0772187 48.5336596, 35.0771651 48.5335133, 35.0768285 48.5330101)",
186548276,2,вулиця Героїв України,residential,20,False,False,189.23399999999998,"LINESTRING (35.0768285 48.5330101, 35.0771366 48.5328718, 35.0772277 48.5328327, 35.0772662 48.532814, 35.0774179 48.5327393, 35.0775284 48.5326899, 35.077897 48.5325304, 35.0784204 48.5323286, 35.0789943 48.5320957)",
"[991993934, 85275463]",2,"['вулиця Слобожанська', 'Слобожанська вулиця']",residential,,False,"[False, True]",955.4060000000002,"LINESTRING (35.0768285 48.5330101, 35.0771651 48.5335133, 35.0772187 48.5336596, 35.0772897 48.5340337, 35.0772968 48.5340701, 35.0773464 48.5343223, 35.0774861 48.5350332, 35.0775086 48.5351653, 35.0775197 48.5352309, 35.077596 48.5353529, 35.0777943 48.5353888, 35.0779667 48.5353638, 35.0780273 48.5353526, 35.0781937 48.5353217, 35.0785989 48.5352345, 35.0787257 48.5352072, 35.0790205 48.5351893, 35.0790562 48.5351827, 35.0792077 48.5351549, 35.0801547 48.534919, 35.0806605 48.5347951, 35.08228 48.5343981, 35.0833197 48.5341434, 35.0837374 48.5340411, 35.084172 48.5339346, 35.0844891 48.5338569, 35.0846691 48.5338291, 35.0847574 48.5338391, 35.0848545 48.5338562, 35.0849979 48.5338937, 35.0851669 48.5339647, 35.0852606 48.5339837, 35.0853539 48.5339775, 35.0857494 48.533889, 35.0860027 48.533829, 35.0862385 48.5337655, 35.0863876 48.533722)",
"[186548273, 186548276]",2,вулиця Героїв України,residential,"['20', '50']",False,False,455.69899999999996,"LINESTRING (35.0789943 48.5320957, 35.0796722 48.5318109, 35.0797089 48.5317954, 35.0797351 48.5317843, 35.0798266 48.5317444, 35.0800584 48.5316481, 35.0803131 48.5315423, 35.0807474 48.5313697, 35.0812313 48.5311739, 35.0812928 48.5311514, 35.0818547 48.5309462, 35.082158 48.530832, 35.0824152 48.5307446, 35.0828795 48.5305869, 35.0833593 48.5304373, 35.0834602 48.530403, 35.083638 48.5303425, 35.0839745 48.530228, 35.0843837 48.5300888)",
186548276,2,вулиця Героїв України,residential,20,False,True,189.23399999999998,"LINESTRING (35.0789943 48.5320957, 35.0784204 48.5323286, 35.077897 48.5325304, 35.0775284 48.5326899, 35.0774179 48.5327393, 35.0772662 48.532814, 35.0772277 48.5328327, 35.0771366 48.5328718, 35.0768285 48.5330101)",
1267054210,,вулиця Героїв України,residential,,False,False,177.804,"LINESTRING (35.0789943 48.5320957, 35.0790907 48.5322354, 35.0796146 48.5330967, 35.0799492 48.5335637)",
"[85798923, 1264405052]",1,"['Паркова вулиця', 'вулиця Паркова']",residential,"['40', '50']",False,"[False, True]",711.67,"LINESTRING (35.0799492 48.5335637, 35.0821002 48.5328813, 35.0842946 48.5321635, 35.0799492 48.5335637)",
"[85798923, 1264405052]",1,"['Паркова вулиця', 'вулиця Паркова']",residential,"['40', '50']",False,"[False, True]",711.67,"LINESTRING (35.0799492 48.5335637, 35.0842946 48.5321635, 35.0821002 48.5328813, 35.0799492 48.5335637)",
1267054210,,вулиця Героїв України,residential,,False,True,177.804,"LINESTRING (35.0799492 48.5335637, 35.0796146 48.5330967, 35.0790907 48.5322354, 35.0789943 48.5320957)",
85798934,,,residential,,False,False,30.2,"LINESTRING (35.0860544 48.5329487, 35.0856451 48.5329662)",
713299984,,,residential,,False,False,15.695,"LINESTRING (35.0860544 48.5329487, 35.0862669 48.5329377)",
713299985,4,,primary,50,True,False,311.88399999999996,"LINESTRING (35.0860544 48.5329487, 35.085927 48.5326605, 35.0857682 48.5322765, 35.0854836 48.5316305, 35.0852647 48.5311128, 35.085002 48.5304913, 35.0849 48.5302501)",
85798934,,,residential,,False,True,30.2,"LINESTRING (35.0856451 48.5329662, 35.0860544 48.5329487)",
285539895,,вулиця Братів Бачинських,residential,50,False,True,16.462,"LINESTRING (35.0836932 48.5268763, 35.0834793 48.5269193)",
720851110,4,Слобожанський проспект,primary,50,True,False,39.921,"LINESTRING (35.0836932 48.5268763, 35.0838057 48.5272275)",
676670771,1,,primary_link,,True,False,53.791000000000004,"LINESTRING (35.0836932 48.5268763, 35.0837641 48.5269254, 35.083839 48.5269661, 35.0839398 48.5269964, 35.0840344 48.5270132, 35.0841476 48.5270155, 35.0843527 48.5269886)",
109650608,,вулиця Туристів,residential,,False,False,282.71,"LINESTRING (35.0873199 48.5293914, 35.0872201 48.5292025, 35.0872059 48.5291035, 35.0872158 48.5289995, 35.0871806 48.5287969, 35.0870589 48.5285888, 35.0866771 48.5277674, 35.0863291 48.526947)",
132638175,,,residential,,False,False,120.506,"LINESTRING (35.0873199 48.5293914, 35.087649 48.529424, 35.0878899 48.5293728, 35.0883204 48.5292929, 35.0885779 48.5291996, 35.088866 48.5291236)",
"[338035037, 132638175]",,,"['residential', 'unclassified']",,False,True,125.39000000000001,"LINESTRING (35.0873199 48.5293914, 35.086742 48.5294806, 35.0861714 48.5296723, 35.0858411 48.5297367, 35.08572 48.5297579)",
60515026,2,Магдалинівська вулиця,tertiary,50,False,False,123.503,"LINESTRING (35.0863291 48.526947, 35.0856034 48.5268404, 35.0852508 48.5267886, 35.0851027 48.5267727, 35.0850103 48.5267711, 35.0849115 48.5267792, 35.0847954 48.5268064, 35.0846985 48.5268371)",
60515026,2,Магдалинівська вулиця,tertiary,50,False,True,83.311,"LINESTRING (35.0863291 48.526947, 35.0867872 48.5270177, 35.0874309 48.527117)",
109650608,,вулиця Туристів,residential,,False,True,282.71,"LINESTRING (35.0863291 48.526947, 35.0866771 48.5277674, 35.0870589 48.5285888, 35.0871806 48.5287969, 35.0872158 48.5289995, 35.0872059 48.5291035, 35.0872201 48.5292025, 35.0873199 48.5293914)",
109650619,,Ракетна вулиця,residential,,False,False,221.015,"LINESTRING (35.088866 48.5291236, 35.0880449 48.5272118)",
132638175,,,residential,,False,True,120.506,"LINESTRING (35.088866 48.5291236, 35.0885779 48.5291996, 35.0883204 48.5292929, 35.0878899 48.5293728, 35.087649 48.529424, 35.0873199 48.5293914)",
720851109,2,Магдалинівська вулиця,tertiary,50,False,False,8.001,"LINESTRING (35.0844444 48.52695, 35.0843527 48.5269886)",
720851109,2,Магдалинівська вулиця,tertiary,50,False,True,22.533,"LINESTRING (35.0844444 48.52695, 35.0846985 48.5268371)",
