osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,tunnel,ref,junction
30961995,вулиця Качали,residential,50,False,True,97.019,"LINESTRING (25.5983556 49.5567372, 25.5982358 49.556726, 25.5982146 49.5567214, 25.5970777 49.556469)",,,,
145356753,вулиця Богдана Хмельницького,primary,50,False,True,231.11599999999999,"LINESTRING (25.5983556 49.5567372, 25.5983037 49.5572068, 25.5982746 49.5574701, 25.5982717 49.5574961, 25.5982599 49.5576029, 25.5982223 49.5579436, 25.5981869 49.558252, 25.5981457 49.5583906, 25.5981234 49.5584656, 25.5981094 49.5585123, 25.5980941 49.5585635, 25.5980302 49.5588024)",2,,,
"[31055169, 927292021]",вулиця Вʼячеслава Чорновола,residential,50,True,False,211.574,"LINESTRING (25.597534 49.5536186, 25.5973883 49.5536193, 25.5967615 49.5535981, 25.5952941 49.5535404, 25.5952226 49.5535389, 25.5952176 49.5539398)",,,,
392869485,вулиця Коперника,residential,50,False,False,65.542,"LINESTRING (25.597534 49.5536186, 25.5975409 49.5535471, 25.5976014 49.5530308)",,,,
171453140,Замкова вулиця,primary,50,False,False,107.832,"LINESTRING (25.588852 49.5529578, 25.5888963 49.5524815, 25.5889041 49.552432, 25.5889588 49.5519906)",2,,,
171453140,Замкова вулиця,primary,50,False,True,269.777,"LINESTRING (25.588852 49.5529578, 25.5888282 49.5530435, 25.5887995 49.5533156, 25.5887938 49.5533703, 25.588807 49.5534236, 25.5888222 49.5534692, 25.588874 49.5535266, 25.5888878 49.5535401, 25.5889555 49.5535955, 25.5895171 49.5539271, 25.5900218 49.5542495, 25.5901505 49.5543351, 25.5907001 49.5546823, 25.5908685 49.5548069, 25.5908913 49.5548237)",2,,,
31054758,Камінна вулиця,residential,50,False,True,25.776,"LINESTRING (25.5954999 49.555833, 25.5951552 49.5557719)",,,,
225171899,бульвар Тараса Шевченка,residential,50,False,True,80.493,"LINESTRING (25.5954999 49.555833, 25.595244 49.5551284)",,,,
30961995,вулиця Качали,residential,50,False,False,103.23500000000001,"LINESTRING (25.5954999 49.555833, 25.5955561 49.555956, 25.5956278 49.5560588, 25.5957686 49.5561612, 25.5959024 49.5562175, 25.5960691 49.556266, 25.5962221 49.5563092, 25.5963701 49.5563371, 25.5965476 49.5563705)",,,,
30961995,вулиця Качали,residential,50,False,False,39.775,"LINESTRING (25.5965476 49.5563705, 25.5970777 49.556469)",,,,
30961995,вулиця Качали,residential,50,False,True,103.235,"LINESTRING (25.5965476 49.5563705, 25.5963701 49.5563371, 25.5962221 49.5563092, 25.5960691 49.556266, 25.5959024 49.5562175, 25.5957686 49.5561612, 25.5956278 49.5560588, 25.5955561 49.555956, 25.5954999 49.555833)",,,,
30961998,вулиця Родини Барвінських,residential,50,True,False,316.413,"LINESTRING (25.5965476 49.5563705, 25.5965418 49.5564147, 25.5964895 49.5568143, 25.5964105 49.5574172, 25.5963929 49.5575518, 25.5965077 49.5577628, 25.5977815 49.5586662, 25.5978435 49.5587113, 25.5980302 49.5588024)",,,,
