osmid,name,highway,oneway,reversed,length,lanes,geometry,bridge,maxspeed,width
168459359,вулиця Буського Братства,residential,False,False,74.09,,"LINESTRING (24.612484 49.9687859, 24.6133557 49.9684259)",,,
193347137,Київська вулиця,primary,False,False,130.368,2,"LINESTRING (24.612484 49.9687859, 24.6125258 49.9683916, 24.6125427 49.9683346, 24.6125792 49.9682543, 24.6126097 49.9681914, 24.6126496 49.9681417, 24.612673 49.9681125, 24.6130916 49.9677141)",,,
193347137,Київська вулиця,primary,False,True,95.827,2,"LINESTRING (24.612484 49.9687859, 24.6124751 49.9689861, 24.6124211 49.9696467)",,,
643768338,площа Ринок,primary,False,True,94.633,2,"LINESTRING (24.613793 49.9669949, 24.6137524 49.9670683, 24.6137003 49.9671221, 24.6134397 49.9673756, 24.6130916 49.9677141)",,,
643768341,площа Ринок,primary,False,False,48.449,2,"LINESTRING (24.613793 49.9669949, 24.613806 49.9669147, 24.6137842 49.9665599)",,,
643768347,площа Ринок,residential,False,False,70.211,,"LINESTRING (24.613793 49.9669949, 24.613949 49.9670631, 24.6146048 49.9673499)",,,
482307918,,primary,True,False,85.544,1,"LINESTRING (24.6137362 49.9660941, 24.613283 49.9659158, 24.6129423 49.9657674, 24.6128458 49.9657156, 24.6128348 49.9657043, 24.6127782 49.965646)",,,
643768341,площа Ринок,primary,False,True,28.338,2,"LINESTRING (24.6137362 49.9660941, 24.6137649 49.9662604, 24.6137724 49.9663478)",,,
800270502,,primary,False,True,29.569000000000003,,"LINESTRING (24.6137362 49.9660941, 24.613794 49.9659943, 24.6138289 49.9659296, 24.613873 49.9658432)",,,
168459319,,primary,True,False,82.92099999999999,1,"LINESTRING (24.6127782 49.965646, 24.6128833 49.9656328, 24.6130201 49.9656363, 24.6131085 49.9656413, 24.6135042 49.9657398, 24.613873 49.9658432)",,,
"[645933772, 645933773, 482307919]",вулиця Євгена Петрушевича,primary,False,False,162.41199999999998,2,"LINESTRING (24.6127782 49.965646, 24.6123147 49.965481, 24.6122284 49.9654384, 24.6120036 49.9653033, 24.6119356 49.9652584, 24.6118426 49.9651782, 24.6115396 49.9648676, 24.6115267 49.9648523, 24.6112993 49.9645845)",yes,50,
