osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,access,junction,bridge
35711678,2,Н-22,вулиця Шевченка,primary,50,5,False,False,4.821,"LINESTRING (25.3236122 50.7477861, 25.323544 50.7477903)",,,
58945075,4,Н-22,проспект Волі,primary,50,,False,False,165.613,"LINESTRING (25.3236122 50.7477861, 25.3239202 50.7477902, 25.3240907 50.7477858, 25.3241515 50.7477848, 25.3243849 50.7477467, 25.3245713 50.7476839, 25.3249569 50.7474992, 25.3252418 50.7473647, 25.3256578 50.7471641)",,,
"[78242257, 78242259]",,,"['вулиця Словацького', 'вулиця Богдана Хмельницького']",secondary,50,8,True,False,150.015,"LINESTRING (25.3236122 50.7477861, 25.3234813 50.7476199, 25.3232458 50.747347, 25.3231694 50.7472645, 25.3230656 50.7471466, 25.3229694 50.7470913, 25.3227773 50.7470658, 25.3225587 50.7470426, 25.3222336 50.7470168, 25.3221271 50.7470084)",,,
699829738,,,Ковельська вулиця,secondary,,,False,True,33.32,"LINESTRING (25.3176724 50.7412663, 25.3180434 50.7410801)",yes,,
160420163,,,Ковельська вулиця,secondary,,,False,False,46.459,"LINESTRING (25.3176724 50.7412663, 25.3174101 50.7413951, 25.3171404 50.7415135)",yes,,
766661291,2,,вулиця Данила Галицького,secondary,,,False,False,39.631,"LINESTRING (25.3176724 50.7412663, 25.3175379 50.7411297, 25.3175145 50.7409348)",,,
35711678,2,Н-22,вулиця Шевченка,primary,50,5,False,False,37.375,"LINESTRING (25.3196422 50.748227, 25.3194904 50.7482233, 25.3191122 50.7482417)",,,
35711678,2,Н-22,вулиця Шевченка,primary,50,5,False,True,81.50399999999999,"LINESTRING (25.3196422 50.748227, 25.3202117 50.7482424, 25.3204561 50.7482479, 25.3207986 50.7482285)",,,
51894423,,,Заповітна вулиця,residential,,6,True,False,191.769,"LINESTRING (25.3196422 50.748227, 25.3196862 50.7481263, 25.3199625 50.7474552, 25.3202063 50.7469332, 25.3202285 50.7468823, 25.3202976 50.7466938, 25.3203667 50.746565)",,,
51894426,1,Н-22,вулиця Шевченка,primary,50,,True,False,37.812,"LINESTRING (25.3183925 50.7482937, 25.3179962 50.7485234)",,,
816836189,2,Н-22,вулиця Шевченка,primary,50,5,False,True,50.975,"LINESTRING (25.3183925 50.7482937, 25.3184649 50.7482857, 25.3191122 50.7482417)",,,
750593629,1,Н-22,,primary,50,,True,False,14.085,"LINESTRING (25.3179962 50.7485234, 25.3179238 50.7486415)",,roundabout,
415108105,1,Н-22,вулиця Шевченка,primary,50,,True,False,35.284,"LINESTRING (25.3178959 50.748338, 25.3183925 50.7482937)",,,
754645978,1,,,primary,50,,True,False,22.299,"LINESTRING (25.3178959 50.748338, 25.3179779 50.7484238, 25.3179962 50.7485234)",,roundabout,
750593637,1,Н-22,,primary,50,,True,False,25.966,"LINESTRING (25.3177037 50.7487309, 25.3175193 50.7487265, 25.3173608 50.7486667)",,roundabout,
51894428,,,Мистецька вулиця,residential,,,True,False,232.136,"LINESTRING (25.3196788 50.7451879, 25.319609 50.7451962, 25.3183873 50.7453132, 25.3178239 50.7453667, 25.3165606 50.7454946, 25.3165276 50.745499, 25.3165065 50.7455053, 25.3164902 50.7455137, 25.316442 50.7455417)",,,
78242259,,,вулиця Богдана Хмельницького,secondary,50,,True,False,162.04500000000002,"LINESTRING (25.3196788 50.7451879, 25.3195902 50.7449524, 25.3195212 50.7446764, 25.319509 50.7446274, 25.3194421 50.7443653, 25.3193647 50.7441169, 25.319337 50.7440272, 25.3192386 50.7437582)",,,
40641260,,Н-22,Набережна вулиця,primary,50,,True,False,33.754,"LINESTRING (25.3173445 50.7483448, 25.317173 50.7480613)",,,
750593631,1,,,primary,50,,True,False,13.956,"LINESTRING (25.3173445 50.7483448, 25.3175102 50.7482758)",,roundabout,
232053621,1,Н-22,,primary,50,,True,False,29.152,"LINESTRING (25.3175102 50.7482758, 25.3177173 50.7482716, 25.3178959 50.748338)",,roundabout,
