osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge
285791536,Набережна вулиця,residential,50,False,False,229.015,"LINESTRING (23.4832937 49.655428, 23.4837157 49.6555137, 23.48394 49.6555692, 23.4841305 49.6556322, 23.4844212 49.655745, 23.4846402 49.6558247, 23.4847615 49.6558774, 23.4848502 49.6559586, 23.4850452 49.6563523, 23.4851823 49.6565519, 23.4853467 49.6568015)",,
218211465,вулиця Тараса Шевченка,tertiary,50,False,True,27.765,"LINESTRING (23.4833492 49.6556751, 23.4832937 49.655428)",,
363687097,вулиця Миколи Лисенка,residential,50,False,True,127.909,"LINESTRING (23.4833492 49.6556751, 23.4816077 49.6559035)",,
218211465,вулиця Тараса Шевченка,tertiary,50,False,False,164.619,"LINESTRING (23.4833492 49.6556751, 23.4834541 49.6567704, 23.4834827 49.657153)",,
363604690,вулиця Лесі Українки,residential,50,False,False,116.515,"LINESTRING (23.4876845 49.6557588, 23.4882926 49.6556578, 23.4889446 49.6555033, 23.4892372 49.6554723)",,
"[365812824, 221596266, 363687095]","['Банкова вулиця', 'вулиця Степана Онишкевича', 'площа Відродження']",residential,50,False,"[False, True]",366.336,"LINESTRING (23.4876845 49.6557588, 23.4875545 49.6554346, 23.4874665 49.6552302, 23.4874171 49.655202, 23.487331 49.6552164, 23.4871403 49.65525, 23.4868942 49.6552934, 23.4863607 49.6554105, 23.4857867 49.655205, 23.4852502 49.6550129, 23.4847435 49.6548498, 23.4844443 49.6547573, 23.4842584 49.6546197, 23.4840293 49.6542438)",,
"[365812824, 221596250]","['Банкова вулиця', 'Молочарська вулиця']",residential,50,False,True,221.28900000000002,"LINESTRING (23.4876845 49.6557588, 23.4878833 49.6561503, 23.488083 49.6561693, 23.4882998 49.6564273, 23.4892935 49.6562263, 23.4899944 49.6560708)",,
363687097,вулиця Миколи Лисенка,residential,50,False,False,127.909,"LINESTRING (23.4816077 49.6559035, 23.4833492 49.6556751)",,
487135797,вулиця Січових Стрільців,residential,50,False,True,131.35999999999999,"LINESTRING (23.4816077 49.6559035, 23.4816525 49.6564966, 23.481671 49.6566527, 23.4810073 49.6566863)",,
"[365812824, 221596250]","['Банкова вулиця', 'Молочарська вулиця']",residential,50,False,False,221.28900000000004,"LINESTRING (23.4899944 49.6560708, 23.4892935 49.6562263, 23.4882998 49.6564273, 23.488083 49.6561693, 23.4878833 49.6561503, 23.4876845 49.6557588)",,
362705576,вулиця Вʼячеслава Чорновола,primary,40,False,False,86.023,"LINESTRING (23.4899944 49.6560708, 23.4898344 49.6559451, 23.489617 49.6557742, 23.4892372 49.6554723)",Н-13,
"[362705576, 362705577, 362617991]",вулиця Вʼячеслава Чорновола,primary,40,False,True,282.248,"LINESTRING (23.4899944 49.6560708, 23.4901866 49.6562255, 23.4903378 49.6563418, 23.4907072 49.6566207, 23.4914114 49.6571558, 23.4923674 49.6578959, 23.492518 49.6580134)",Н-13,yes
221596277,вулиця Січових Стрільців,residential,50,False,False,96.341,"LINESTRING (23.4810073 49.6566863, 23.481105 49.6575504)",,
487135797,вулиця Січових Стрільців,residential,50,False,False,131.35999999999999,"LINESTRING (23.4810073 49.6566863, 23.481671 49.6566527, 23.4816525 49.6564966, 23.4816077 49.6559035)",,
285791536,Набережна вулиця,residential,50,False,False,80.817,"LINESTRING (23.4853467 49.6568015, 23.4858245 49.6574592)",,
221596269,вулиця Дмитра Данилишина,residential,50,False,True,207.80099999999996,"LINESTRING (23.4853467 49.6568015, 23.4859843 49.6565968, 23.486116 49.6565402, 23.486229 49.6565433, 23.486594 49.6570343, 23.4865882 49.6571118, 23.4858676 49.6574106, 23.4858245 49.6574592)",,
