osmid,oneway,ref,highway,reversed,length,geometry,name,maxspeed,junction
203155786,True,Т-04-01,secondary,False,40.784,"LINESTRING (36.0316263 48.2060896, 36.0318199 48.2061353, 36.0321461 48.2062101)",,,
277291844,False,,residential,True,443.357,"LINESTRING (36.0299695 48.2101375, 36.0244068 48.2086693)",Різдвяна вулиця,50,
180890972,False,Т-04-01,secondary,False,288.838,"LINESTRING (36.0299695 48.2101375, 36.0305362 48.2094059, 36.0311218 48.2086128, 36.0313325 48.2083186, 36.0314068 48.2081723, 36.0314422 48.2080568, 36.0314599 48.2079247, 36.0315333 48.207773)",вулиця Лесі Українки,,
180890972,False,Т-04-01,secondary,True,195.485,"LINESTRING (36.0299695 48.2101375, 36.0296691 48.2104955, 36.0291205 48.2110946, 36.0285962 48.211638)",вулиця Лесі Українки,,
236643161,False,Т-04-01,secondary,True,66.071,"LINESTRING (36.0285962 48.211638, 36.0281201 48.2121404)",вулиця Лесі Українки,,
180890972,False,Т-04-01,secondary,False,195.48499999999999,"LINESTRING (36.0285962 48.211638, 36.0291205 48.2110946, 36.0296691 48.2104955, 36.0299695 48.2101375)",вулиця Лесі Українки,,
203155788,True,Т-04-01,secondary,False,10.984,"LINESTRING (36.0321461 48.2062101, 36.032217 48.2062245, 36.0322754 48.2062549)",,,roundabout
203155827,True,О-040201,tertiary,False,36.999,"LINESTRING (36.0322754 48.2062549, 36.0327634 48.2063252)",,,
203155788,True,Т-04-01,secondary,False,20.088,"LINESTRING (36.0322754 48.2062549, 36.0323187 48.2063077, 36.0323234 48.2063679, 36.0322884 48.2064234)",,,roundabout
915561851,False,О-040201,tertiary,False,90.317,"LINESTRING (36.0327634 48.2063252, 36.0339534 48.2065006)",вулиця Будівельників,50,
203155845,True,О-040201,tertiary,False,36.858000000000004,"LINESTRING (36.0327634 48.2063252, 36.0325055 48.2063763, 36.0322884 48.2064234)",,,
203155788,True,Т-04-01,secondary,False,25.898,"LINESTRING (36.0319205 48.2063515, 36.0319349 48.2062941, 36.0319842 48.206246, 36.0320592 48.2062161, 36.0321461 48.2062101)",,,roundabout
203155790,True,Т-04-01,secondary,False,36.497,"LINESTRING (36.0319205 48.2063515, 36.031874 48.2062972, 36.031782 48.2062076, 36.0316263 48.2060896)",,,
203155788,True,Т-04-01,secondary,False,4.795,"LINESTRING (36.0322884 48.2064234, 36.0322428 48.206454)",,,roundabout
203155788,True,Т-04-01,secondary,False,8.51,"LINESTRING (36.0319586 48.2064237, 36.0319205 48.2063515)",,,roundabout
203155788,True,Т-04-01,secondary,False,23.554,"LINESTRING (36.0322428 48.206454, 36.0321707 48.2064762, 36.0320913 48.2064782, 36.0320168 48.2064598, 36.0319586 48.2064237)",,,roundabout
203155791,True,Т-04-01,secondary,False,54.434,"LINESTRING (36.0322428 48.206454, 36.0321704 48.206576, 36.0320842 48.2066863, 36.0319507 48.2069027)",,,
915561851,False,О-040201,tertiary,True,90.317,"LINESTRING (36.0339534 48.2065006, 36.0327634 48.2063252)",вулиця Будівельників,50,
180890972,False,Т-04-01,secondary,True,101.666,"LINESTRING (36.0319507 48.2069027, 36.0317431 48.2073468, 36.0315693 48.207668, 36.0315333 48.207773)",вулиця Лесі Українки,,
203155789,True,Т-04-01,secondary,False,53.493,"LINESTRING (36.0319507 48.2069027, 36.0319873 48.2066864, 36.0319766 48.2065732, 36.0319586 48.2064237)",,,
236643161,False,Т-04-01,secondary,False,66.071,"LINESTRING (36.0281201 48.2121404, 36.0285962 48.211638)",вулиця Лесі Українки,,
236643161,False,Т-04-01,secondary,True,73.346,"LINESTRING (36.0281201 48.2121404, 36.0276041 48.2127033)",вулиця Лесі Українки,,
277291796,False,,residential,True,577.069,"LINESTRING (36.0281201 48.2121404, 36.028533 48.2123201, 36.0294218 48.2125503, 36.029881 48.2126373, 36.0305255 48.2127047, 36.0316629 48.2127973, 36.0329898 48.212932, 36.0339166 48.2130499, 36.0356269 48.2133784)",Степова вулиця,50,
236643161,False,Т-04-01,secondary,False,73.346,"LINESTRING (36.0276041 48.2127033, 36.0281201 48.2121404)",вулиця Лесі Українки,,
236643161,False,Т-04-01,secondary,True,98.682,"LINESTRING (36.0276041 48.2127033, 36.0272292 48.2131187, 36.0270144 48.2132984, 36.0268416 48.2134275)",вулиця Лесі Українки,,
236643161,False,Т-04-01,secondary,False,98.68199999999999,"LINESTRING (36.0268416 48.2134275, 36.0270144 48.2132984, 36.0272292 48.2131187, 36.0276041 48.2127033)",вулиця Лесі Українки,,
236643161,False,Т-04-01,secondary,True,169.238,"LINESTRING (36.0268416 48.2134275, 36.025645 48.2143067, 36.0253134 48.2145586)",вулиця Лесі Українки,,
429160110,False,,residential,False,333.421,"LINESTRING (36.0270481 48.2079815, 36.0273703 48.2079857, 36.0281707 48.2079506, 36.028771 48.2079352, 36.0297104 48.2079043, 36.0309194 48.2078243, 36.0312774 48.207792, 36.0315333 48.207773)",Польова вулиця,50,
429160110,False,,residential,True,177.96200000000002,"LINESTRING (36.0270481 48.2079815, 36.0263762 48.2080391, 36.0253673 48.2080545, 36.0250682 48.2080419, 36.0249144 48.2079899, 36.024689 48.2079298)",Польова вулиця,50,
429160110,False,,residential,False,177.962,"LINESTRING (36.024689 48.2079298, 36.0249144 48.2079899, 36.0250682 48.2080419, 36.0253673 48.2080545, 36.0263762 48.2080391, 36.0270481 48.2079815)",Польова вулиця,50,
277291844,False,,residential,False,443.357,"LINESTRING (36.0244068 48.2086693, 36.0299695 48.2101375)",Різдвяна вулиця,50,
