osmid,name,highway,width,oneway,reversed,length,lanes,maxspeed,geometry,ref
206844051,Центральна вулиця,unclassified,6,False,False,14.02,,,"LINESTRING (36.1304354 47.8297264, 36.1302477 47.8297221)",
1208294080,Садова вулиця,tertiary,,False,True,219.40099999999998,2,50,"LINESTRING (36.1304354 47.8297264, 36.1304444 47.8308469, 36.1304176 47.8314861, 36.1304122 47.8316103, 36.130368 47.8316941)",
206844102,Українська вулиця,unclassified,4,False,True,166.415,,,"LINESTRING (36.130368 47.8316941, 36.1312598 47.8317454, 36.1325901 47.8318148)",
1208294080,Садова вулиця,tertiary,,False,False,219.401,2,50,"LINESTRING (36.130368 47.8316941, 36.1304122 47.8316103, 36.1304176 47.8314861, 36.1304444 47.8308469, 36.1304354 47.8297264)",
206844015,Миру вулиця,unclassified,4,False,False,318.589,,,"LINESTRING (36.1264799 47.8248286, 36.1266813 47.8248955, 36.1270108 47.8249359, 36.1306772 47.8253068)",
"[1193996793, 206844091]",Південна вулиця,unclassified,4,False,True,358.937,,,"LINESTRING (36.1264799 47.8248286, 36.1264157 47.8251368, 36.1263746 47.8254439, 36.126354 47.8256752, 36.1263451 47.8258668, 36.1267707 47.8259122, 36.1295694 47.8261634)",
206843999,,unclassified,5,False,False,22.805,,,"LINESTRING (36.1306772 47.8253068, 36.1304976 47.8254727)",С081228
206844015,Миру вулиця,unclassified,4,False,True,318.58899999999994,,,"LINESTRING (36.1306772 47.8253068, 36.1270108 47.8249359, 36.1266813 47.8248955, 36.1264799 47.8248286)",
206843999,,unclassified,5,False,False,103.443,,,"LINESTRING (36.1304976 47.8254727, 36.1295694 47.8261634)",С081228
206843999,,unclassified,5,False,True,22.805,,,"LINESTRING (36.1304976 47.8254727, 36.1306772 47.8253068)",С081228
206844039,Садова вулиця,unclassified,5,False,True,80.326,,,"LINESTRING (36.1304976 47.8254727, 36.130482 47.8258589, 36.1304626 47.8261947)",
206843999,,unclassified,5,False,True,103.443,,,"LINESTRING (36.1295694 47.8261634, 36.1304976 47.8254727)",С081228
206843999,,unclassified,5,False,False,109.074,,,"LINESTRING (36.1295694 47.8261634, 36.12903 47.8266437, 36.1286795 47.8269413)",С081228
"[1193996793, 206844091]",Південна вулиця,unclassified,4,False,False,358.93699999999995,,,"LINESTRING (36.1295694 47.8261634, 36.1267707 47.8259122, 36.1263451 47.8258668, 36.126354 47.8256752, 36.1263746 47.8254439, 36.1264157 47.8251368, 36.1264799 47.8248286)",
206844039,Садова вулиця,unclassified,5,False,True,392.557,,,"LINESTRING (36.1304626 47.8261947, 36.1302477 47.8297221)",
206844039,Садова вулиця,unclassified,5,False,False,80.326,,,"LINESTRING (36.1304626 47.8261947, 36.130482 47.8258589, 36.1304976 47.8254727)",
206844048,Соборна вулиця,unclassified,4,False,True,308.203,,,"LINESTRING (36.1286795 47.8269413, 36.1286994 47.829713)",
206843999,,unclassified,5,False,True,109.074,,,"LINESTRING (36.1286795 47.8269413, 36.12903 47.8266437, 36.1295694 47.8261634)",С081228
1193908413,Плаксі вулиця,unclassified,5,False,False,343.029,2,,"LINESTRING (36.1286795 47.8269413, 36.1277729 47.8276597, 36.1273813 47.8279478, 36.1272794 47.8280486, 36.1272404 47.8281894, 36.1271836 47.8296772)",С081228
206844051,Центральна вулиця,unclassified,6,False,True,113.223,,,"LINESTRING (36.1271836 47.8296772, 36.1286994 47.829713)",
1193908413,Плаксі вулиця,unclassified,5,False,True,343.029,2,,"LINESTRING (36.1271836 47.8296772, 36.1272404 47.8281894, 36.1272794 47.8280486, 36.1273813 47.8279478, 36.1277729 47.8276597, 36.1286795 47.8269413)",С081228
206844048,Соборна вулиця,unclassified,4,False,False,308.203,,,"LINESTRING (36.1286994 47.829713, 36.1286795 47.8269413)",
206844051,Центральна вулиця,unclassified,6,False,False,113.223,,,"LINESTRING (36.1286994 47.829713, 36.1271836 47.8296772)",
206844051,Центральна вулиця,unclassified,6,False,True,115.584,,,"LINESTRING (36.1286994 47.829713, 36.1302477 47.8297221)",
206844039,Садова вулиця,unclassified,5,False,False,392.557,,,"LINESTRING (36.1302477 47.8297221, 36.1304626 47.8261947)",
206844051,Центральна вулиця,unclassified,6,False,False,115.584,,,"LINESTRING (36.1302477 47.8297221, 36.1286994 47.829713)",
206844051,Центральна вулиця,unclassified,6,False,True,14.02,,,"LINESTRING (36.1302477 47.8297221, 36.1304354 47.8297264)",
206844102,Українська вулиця,unclassified,4,False,False,166.415,,,"LINESTRING (36.1325901 47.8318148, 36.1312598 47.8317454, 36.130368 47.8316941)",
