osmid,name,highway,width,oneway,reversed,length,lanes,ref,maxspeed,geometry
203891985,Центральна вулиця,tertiary,6,False,False,149.334,,,,"LINESTRING (36.2293819 47.9848371, 36.2305664 47.9837531)"
837268640,вулиця Горького,primary,,False,True,7.54,2,Н-15,50,"LINESTRING (36.2293819 47.9848371, 36.2294666 47.9848743)"
"[820265340, 820270476]","['вулиця Горького', 'вулиця Падалки']",primary,,False,False,49.061,2,Н-15,50,"LINESTRING (36.2293819 47.9848371, 36.2292146 47.9847701, 36.2291143 47.9847274, 36.2289103 47.9846507, 36.2288092 47.9846194)"
365316750,вулиця Михайла Грушевського,residential,,False,False,53.157,,,,"LINESTRING (36.2267515 47.9805625, 36.2272095 47.9801957)"
365316750,вулиця Михайла Грушевського,residential,,False,True,7.47,,,,"LINESTRING (36.2267515 47.9805625, 36.2266887 47.9806149)"
365316750,вулиця Михайла Грушевського,residential,,False,False,191.387,,,,"LINESTRING (36.2280335 47.979536, 36.229663 47.9782046)"
365316750,вулиця Михайла Грушевського,residential,,False,True,95.618,,,,"LINESTRING (36.2280335 47.979536, 36.2272095 47.9801957)"
250103462,вулиця Дмитра Яворницького,residential,,True,False,182.052,,,,"LINESTRING (36.2277579 47.9771779, 36.229663 47.9782046)"
365316751,провулок Олександра Островського,residential,,False,False,94.859,,,,"LINESTRING (36.2277579 47.9771779, 36.2269721 47.9778495)"
250103462,вулиця Дмитра Яворницького,residential,,True,False,189.417,,,,"LINESTRING (36.229663 47.9782046, 36.2315462 47.9793503)"
365316750,вулиця Михайла Грушевського,residential,,False,False,97.01,,,,"LINESTRING (36.229663 47.9782046, 36.2305348 47.9775561)"
365316750,вулиця Михайла Грушевського,residential,,False,True,191.387,,,,"LINESTRING (36.229663 47.9782046, 36.2280335 47.979536)"
203891985,Центральна вулиця,tertiary,6,False,True,151.344,,,,"LINESTRING (36.2325493 47.9820385, 36.2312905 47.9831074)"
203891985,Центральна вулиця,tertiary,6,False,False,175.194,,,,"LINESTRING (36.2325493 47.9820385, 36.2337998 47.9811308, 36.234169 47.9808961)"
365316746,Соборна вулиця,residential,,True,False,242.017,,,,"LINESTRING (36.2325493 47.9820385, 36.2312429 47.9812965, 36.2300423 47.9806528)"
250103688,вулиця Ярослава Мудрого,residential,,False,False,73.935,,,,"LINESTRING (36.2371737 47.9847615, 36.2378046 47.9842479)"
365316746,Соборна вулиця,residential,,True,False,458.44699999999995,,,,"LINESTRING (36.2371737 47.9847615, 36.2359138 47.9840135, 36.2337462 47.9827477, 36.2333061 47.9824708, 36.2325493 47.9820385)"
250103688,вулиця Ярослава Мудрого,residential,,False,False,146.357,,,,"LINESTRING (36.2388114 47.9834034, 36.2400682 47.9823911)"
250103688,вулиця Ярослава Мудрого,residential,,False,True,120.138,,,,"LINESTRING (36.2388114 47.9834034, 36.2378046 47.9842479)"
250103688,вулиця Ярослава Мудрого,residential,,False,True,146.357,,,,"LINESTRING (36.2400682 47.9823911, 36.2388114 47.9834034)"
