osmid,oneway,highway,junction,reversed,length,geometry,name,ref,maxspeed
260620826,True,unclassified,roundabout,False,22.54,"LINESTRING (34.7383877 45.4431566, 34.738335 45.4431401, 34.7382914 45.4431134, 34.7382607 45.4430791, 34.7382457 45.4430399, 34.7382475 45.4429994)",,,
272930483,False,unclassified,,True,296.145,"LINESTRING (34.7383877 45.4431566, 34.7377621 45.4443992, 34.7375017 45.4448186, 34.7369821 45.4456283)",улица Победы,,
260620821,False,unclassified,,True,18.197,"LINESTRING (34.7402089 45.4437562, 34.7400095 45.4436713)",Придорожная улица,,
260620823,False,unclassified,,False,190.679,"LINESTRING (34.7387439 45.4420425, 34.7389633 45.4413153, 34.7390772 45.4407256, 34.7391101 45.4403499)",улица Победы,35Н-383;С-010927,60
260620823,False,unclassified,,True,96.363,"LINESTRING (34.7387439 45.4420425, 34.7385649 45.4426356, 34.7384853 45.4428899)",улица Победы,35Н-383;С-010927,60
380233589,False,residential,,True,239.682,"LINESTRING (34.7387439 45.4420425, 34.7383087 45.4419748, 34.7379451 45.4419182, 34.7382268 45.4408627, 34.7382118 45.4408059, 34.7375745 45.440757)",,,
181580335,False,unclassified,,True,205.668,"LINESTRING (34.7382475 45.4429994, 34.7381163 45.4429892, 34.7378748 45.4429903, 34.7376889 45.4430169, 34.7376155 45.4430274, 34.7367621 45.443268, 34.7357413 45.4435119)",Молодёжная улица,35К-014,40
260620826,True,unclassified,roundabout,False,24.709,"LINESTRING (34.7382475 45.4429994, 34.7382688 45.4429575, 34.7383079 45.4429226, 34.7383608 45.4428982, 34.7384221 45.4428869, 34.7384853 45.4428899)",,,
260620821,False,unclassified,,False,126.679,"LINESTRING (34.7386116 45.4430918, 34.7388591 45.4431992, 34.7400095 45.4436713)",Придорожная улица,,
260620826,True,unclassified,roundabout,False,20.269,"LINESTRING (34.7386116 45.4430918, 34.7385707 45.4431272, 34.7385156 45.4431513, 34.7384523 45.4431615, 34.7383877 45.4431566)",,,
