osmid,oneway,ref,highway,reversed,length,lanes,name,maxspeed,geometry,bridge,width
678750553,True,Т-06-05,secondary,False,38.564,,,,"LINESTRING (27.8024563 50.8714707, 27.80212 50.871745)",,
1021131316,False,О-060509,secondary,True,44.033,2,вулиця Наума Тихого,50,"LINESTRING (27.8024563 50.8714707, 27.802514 50.8714258, 27.8025502 50.8713945, 27.802573 50.8713717, 27.8026079 50.8713234, 27.8027111 50.8711139)",,
1084668640,False,О-060509,secondary,False,100.008,2,вулиця 1 Травня,50,"LINESTRING (27.8078384 50.8702989, 27.8072734 50.8711246)",,
203051407,False,,secondary,False,76.656,2,вулиця Касьянова,,"LINESTRING (27.8078384 50.8702989, 27.8079608 50.8703384, 27.8082039 50.8704028, 27.8087676 50.8706553)",,
149568148,False,,secondary,False,183.715,2,вулиця Горького,,"LINESTRING (27.8101038 50.8714323, 27.8099244 50.8715193, 27.8094879 50.8717062, 27.8090687 50.8718857, 27.8086171 50.872079, 27.8085656 50.8721011, 27.8084905 50.8721334, 27.8079597 50.8723798)",,
203051407,False,,secondary,True,128.223,2,вулиця Касьянова,,"LINESTRING (27.8101038 50.8714323, 27.8098469 50.8712316, 27.8097619 50.8711767, 27.8095285 50.8710261, 27.8094378 50.8709681, 27.8093763 50.8709342, 27.8087676 50.8706553)",,
534216869,False,,unclassified,False,69.021,,,,"LINESTRING (27.8101038 50.8714323, 27.8102704 50.8715225, 27.8104314 50.8716512, 27.8105165 50.8717262, 27.8105909 50.8717927, 27.8107583 50.8718914)",,
135732068,False,,residential,False,122.185,,провулок Наума Тихого,,"LINESTRING (27.8042712 50.8706987, 27.8040107 50.871066, 27.8036267 50.8717189)",,
534201713,False,,residential,False,83.00800000000001,1,провулок Наума Тихого,,"LINESTRING (27.8042712 50.8706987, 27.8045437 50.8703796, 27.8048578 50.8700507)",,
1021131316,False,О-060509,secondary,False,95.24699999999999,2,вулиця Наума Тихого,50,"LINESTRING (27.8042712 50.8706987, 27.804177 50.8706888, 27.8040881 50.8706795, 27.8035056 50.8706183, 27.803247 50.8706206, 27.8030743 50.8706452, 27.8029515 50.8706945)",,
1021131316,False,О-060509,secondary,True,133.798,2,вулиця Наума Тихого,50,"LINESTRING (27.8042712 50.8706987, 27.8043412 50.8707128, 27.8044501 50.8707347, 27.8045464 50.8707541, 27.8051667 50.8709439, 27.8057097 50.8711089, 27.8060022 50.8711995)",,
"[135732056, 1084227663]",False,Т-06-05,secondary,True,233.828,2,вулиця Миру,50,"LINESTRING (27.8016976 50.8720964, 27.801471 50.8723041, 27.8011237 50.8726225, 27.8007391 50.8729443, 27.8004749 50.8731312, 27.8004507 50.8731483, 27.800206 50.8732908, 27.7995333 50.8736825)",yes,
677962567,True,Т-06-05,secondary,False,8.139,,,,"LINESTRING (27.8016976 50.8720964, 27.8017214 50.8720629, 27.8017354 50.8720275)",,
135732068,False,,residential,True,122.185,,провулок Наума Тихого,,"LINESTRING (27.8036267 50.8717189, 27.8040107 50.871066, 27.8042712 50.8706987)",,
149568148,False,,secondary,True,183.715,2,вулиця Горького,,"LINESTRING (27.8079597 50.8723798, 27.8084905 50.8721334, 27.8085656 50.8721011, 27.8086171 50.872079, 27.8090687 50.8718857, 27.8094879 50.8717062, 27.8099244 50.8715193, 27.8101038 50.8714323)",,
358864864,False,Т-06-05,secondary,False,144.61,2,Соборна вулиця,,"LINESTRING (27.8079597 50.8723798, 27.8090728 50.8724751, 27.8095264 50.8725258, 27.8098093 50.8725574, 27.809996 50.8725783)",,
"[182694417, 1021131317]",False,"['Т-06-05', 'О-061620']",tertiary,"[False, True]",160.392,2,"['вулиця Шевченка', 'Соборна вулиця']",50,"LINESTRING (27.8079597 50.8723798, 27.8074544 50.8723474, 27.8074179 50.8724935, 27.8073619 50.8727674, 27.8072773 50.8731472, 27.8072467 50.8732785, 27.8072073 50.8734584)",,
203051407,False,,secondary,False,128.22299999999998,2,вулиця Касьянова,,"LINESTRING (27.8087676 50.8706553, 27.8093763 50.8709342, 27.8094378 50.8709681, 27.8095285 50.8710261, 27.8097619 50.8711767, 27.8098469 50.8712316, 27.8101038 50.8714323)",,
