osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction,maxspeed
66862265,True,2,вулиця Григорія Ковбасюка,tertiary,False,200.94099999999997,"LINESTRING (30.122191 49.8000378, 30.1220007 49.8000807, 30.120926 49.8003236, 30.1195446 49.8006276)",,,
154671312,False,2,вулиця Ярослава Мудрого,primary,False,257.38000000000005,"LINESTRING (30.122191 49.8000378, 30.1221526 49.7999693, 30.1221263 49.7999224, 30.121787 49.7993175, 30.1215995 49.7989755, 30.1215785 49.7989373, 30.1215354 49.798854, 30.1215087 49.7988023, 30.1213832 49.7985599, 30.1213149 49.7984263, 30.121257 49.7983374, 30.121174 49.7982626, 30.1211156 49.7982242, 30.1210059 49.7981521, 30.1208212 49.7980335, 30.1207132 49.7979686)",Н-02;Р-04,,
307358525,False,,вулиця Ярослава Мудрого,primary,False,50.268,"LINESTRING (30.1201247 49.7976155, 30.1196216 49.797301)",Н-02;Р-04,,
141778202,False,,Мʼясна вулиця,residential,True,232.26200000000003,"LINESTRING (30.1201247 49.7976155, 30.1200438 49.7976713, 30.1192229 49.7982378, 30.1189268 49.7984383, 30.1185534 49.7986913, 30.1181622 49.7989228, 30.1178808 49.7991194)",,,
307358525,False,,вулиця Ярослава Мудрого,primary,True,57.669,"LINESTRING (30.1201247 49.7976155, 30.1205733 49.7978842, 30.1207132 49.7979686)",Н-02;Р-04,,
143057943,True,2,Соборна площа,primary,False,11.211,"LINESTRING (30.1117364 49.7927779, 30.1117375 49.7927284, 30.1117392 49.7926771)",Н-02;Р-04,roundabout,
143057943,True,2,Соборна площа,primary,False,31.519,"LINESTRING (30.1117392 49.7926771, 30.1117807 49.7926196, 30.1118344 49.7925745, 30.1119286 49.7925211, 30.1120444 49.7924869)",Н-02;Р-04,roundabout,
143057943,True,2,Соборна площа,primary,False,13.588000000000001,"LINESTRING (30.1120444 49.7924869, 30.1121405 49.7924769, 30.1122313 49.7924863)",Н-02;Р-04,roundabout,
526913832,True,2,Соборна площа,primary,False,42.581,"LINESTRING (30.1122313 49.7924863, 30.1123478 49.7925061, 30.1124325 49.7925425, 30.1124951 49.792581, 30.1125433 49.7926389, 30.1125661 49.7926952, 30.1125725 49.7927548)",,roundabout,
48903462,True,,вулиця Ярослава Мудрого,primary,False,35.226,"LINESTRING (30.1125649 49.7928194, 30.112619 49.7929388, 30.1126752 49.7930073, 30.1127764 49.7931018)",Н-02;Р-04,,
526913833,True,2,Соборна площа,primary,False,33.876,"LINESTRING (30.1125649 49.7928194, 30.1125208 49.7928775, 30.1124733 49.7929294, 30.1124031 49.7929688, 30.1123233 49.7929992, 30.1122348 49.7930169)",,roundabout,
526913841,True,2,Соборна площа,primary,False,7.204,"LINESTRING (30.1125725 49.7927548, 30.1125649 49.7928194)",Н-02;Р-04,roundabout,
48903457,False,4,вулиця Героїв 72-ї Бригади,secondary,False,184.149,"LINESTRING (30.1101974 49.794671, 30.1103534 49.7944434, 30.1106066 49.7941369, 30.1109277 49.793788, 30.1114659 49.7932339)",,,50
48903457,False,4,вулиця Героїв 72-ї Бригади,secondary,True,50.626000000000005,"LINESTRING (30.1101974 49.794671, 30.1101782 49.7947035, 30.1100575 49.7949079, 30.1099967 49.7951058)",,,50
66862295,False,,вулиця Леся Курбаса,tertiary,True,207.686,"LINESTRING (30.1101974 49.794671, 30.1104197 49.79468, 30.1113523 49.79472, 30.111785 49.7947413, 30.1119488 49.7947655, 30.1122138 49.7948816, 30.1128565 49.7952038)",,,
48903457,False,4,вулиця Героїв 72-ї Бригади,secondary,False,50.626000000000005,"LINESTRING (30.1099967 49.7951058, 30.1100575 49.7949079, 30.1101782 49.7947035, 30.1101974 49.794671)",,,50
48903457,False,4,вулиця Героїв 72-ї Бригади,secondary,True,158.49600000000004,"LINESTRING (30.1099967 49.7951058, 30.1099669 49.7952185, 30.1099546 49.7954929, 30.1099522 49.7955457, 30.10995 49.795636, 30.109941 49.7960107, 30.1099244 49.7964412, 30.1099211 49.7965292)",,,50
