osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes
178483934,Р-82,вулиця Горького,primary,False,False,74.618,"LINESTRING (32.9591842 51.5693045, 32.9590313 51.5693312, 32.9588221 51.5693745, 32.958173 51.5695379)",,
295313737,Т-25-17,вулиця Шевченка,secondary,False,False,201.132,"LINESTRING (32.9522971 51.5667258, 32.9494224 51.5664452)",50,
978174964,О-250805,Вознесенська вулиця,tertiary,False,False,84.193,"LINESTRING (32.9522971 51.5667258, 32.9520638 51.5663829, 32.9518228 51.5660284)",,
978174965,Т-25-17,Вознесенська вулиця,secondary,False,True,49.185,"LINESTRING (32.9522971 51.5667258, 32.952528 51.5670105, 32.9525881 51.5670692, 32.9526266 51.5670998, 32.952645 51.5671096)",50,
179827541,,вулиця Незалежності,primary,True,False,156.637,"LINESTRING (32.9570337 51.5660283, 32.9578913 51.5673322)",,2
364576097,Р-82,Київська вулиця,primary,False,True,127.612,"LINESTRING (32.9570337 51.5660283, 32.9587346 51.565582)",50,
364576097,Р-82,Київська вулиця,primary,False,False,160.152,"LINESTRING (32.9570337 51.5660283, 32.9569517 51.566048, 32.9561503 51.5662678, 32.9549164 51.5666131)",50,
"[978314210, 978314212]",,вулиця 8 Березня,residential,False,"[False, True]",176.627,"LINESTRING (32.9570337 51.5660283, 32.9568572 51.5658237, 32.956832 51.5657917, 32.9568209 51.5657568, 32.9568244 51.5657212, 32.9568425 51.5656874, 32.9568739 51.5656576, 32.9570264 51.5655599, 32.9571082 51.5655049, 32.9571363 51.5654548, 32.9571578 51.5654155, 32.9572812 51.5653631, 32.9574501 51.5653098, 32.9576111 51.5652414, 32.9580429 51.564973, 32.9582318 51.5648627)",,
965880616,Р-82,Київська вулиця,secondary,False,False,23.195,"LINESTRING (32.9549164 51.5666131, 32.9546049 51.5666907)",50,
364576097,Р-82,Київська вулиця,primary,False,True,160.15200000000002,"LINESTRING (32.9549164 51.5666131, 32.9561503 51.5662678, 32.9569517 51.566048, 32.9570337 51.5660283)",50,
178483934,Р-82,вулиця Горького,primary,False,True,83.967,"LINESTRING (32.9570411 51.5698122, 32.958173 51.5695379)",,
800401318,,Успенська вулиця,primary,True,False,150.643,"LINESTRING (32.9570411 51.5698122, 32.9567454 51.569353, 32.9562579 51.568548)",,
