osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,lanes
236002626,вулиця Степана Бандери,residential,False,False,68.101,,"LINESTRING (23.0033165 49.4468991, 23.0023831 49.4469817)",,
236002567,вулиця Лева Галицького,primary,False,False,343.87,Н-13,"LINESTRING (23.0033165 49.4468991, 23.0029002 49.4454674, 23.0026634 49.4446529, 23.0025414 49.4442222, 23.0024415 49.4438594)",,
236002567,вулиця Лева Галицького,primary,False,True,178.901,Н-13,"LINESTRING (23.0033165 49.4468991, 23.0036505 49.4481015, 23.00368 49.4482532, 23.0036773 49.4483953, 23.0036534 49.448486)",,
236002612,вулиця Лева Галицького,residential,False,False,104.658,,"LINESTRING (23.0017152 49.4414649, 23.0002874 49.4416197)",,
236002567,вулиця Лева Галицького,primary,False,False,125.116,Н-13,"LINESTRING (23.0017152 49.4414649, 23.0016214 49.4412679, 23.0010876 49.440417)",,
236002567,вулиця Лева Галицького,primary,False,True,265.07,Н-13,"LINESTRING (23.0017152 49.4414649, 23.0018396 49.4418199, 23.0019469 49.4421303, 23.0021245 49.4427195, 23.0021636 49.4428728, 23.002424 49.4438033)",,
95031727,вулиця Дмитра Вітовського,tertiary,False,False,115.063,,"LINESTRING (23.0010876 49.440417, 23.0011587 49.4403558, 23.0013679 49.44032, 23.0026084 49.4401876)",,
236002567,вулиця Лева Галицького,primary,False,True,125.116,Н-13,"LINESTRING (23.0010876 49.440417, 23.0016214 49.4412679, 23.0017152 49.4414649)",,
696261529,вулиця Лева Галицького,primary,False,False,53.862,Н-13,"LINESTRING (23.0010876 49.440417, 23.0010283 49.4403182, 23.0009206 49.4401389, 23.0008166 49.4399658)",,
95031727,вулиця Дмитра Вітовського,tertiary,False,True,274.536,,"LINESTRING (23.0049741 49.4415925, 23.004897 49.4414165, 23.004799 49.4411926, 23.004722 49.4410169, 23.0045074 49.4408905, 23.0041856 49.4407065, 23.0040648 49.4405705, 23.0037564 49.4401623, 23.0036854 49.4401013, 23.0036116 49.4400811, 23.0035391 49.4400778, 23.0032341 49.4401291, 23.002995 49.4401515, 23.002949 49.4401558, 23.0026084 49.4401876)",,
236002590,вулиця Дмитра Вітовського,residential,False,False,546.679,,"LINESTRING (23.0049741 49.4415925, 23.00506 49.4418035, 23.00509 49.4418637, 23.005473 49.4426324, 23.0059186 49.4432531, 23.006536 49.4441375, 23.0069037 49.4446912, 23.0071962 49.4453075, 23.0072328 49.4453846, 23.0075042 49.4459877, 23.0075421 49.4461997)",,
"[236002563, 841514110, 386265847]","['вулиця Дмитра Вітовського', 'Дністрова вулиця']",tertiary,False,False,134.178,,"LINESTRING (23.0049741 49.4415925, 23.0051914 49.4416047, 23.006694 49.4415544, 23.0068213 49.4415291)",yes,1
236002567,вулиця Лева Галицького,primary,False,True,6.365,Н-13,"LINESTRING (23.002424 49.4438033, 23.0024415 49.4438594)",,
236002567,вулиця Лева Галицького,primary,False,False,265.07,Н-13,"LINESTRING (23.002424 49.4438033, 23.0021636 49.4428728, 23.0021245 49.4427195, 23.0019469 49.4421303, 23.0018396 49.4418199, 23.0017152 49.4414649)",,
95031932,вулиця Тараса Шевченка,residential,False,False,79.6,,"LINESTRING (23.0008166 49.4399658, 23.0007404 49.439985, 22.9998667 49.440205, 22.9997887 49.440222)",,
696261529,вулиця Лева Галицького,primary,False,True,53.862,Н-13,"LINESTRING (23.0008166 49.4399658, 23.0009206 49.4401389, 23.0010283 49.4403182, 23.0010876 49.440417)",,
95031932,вулиця Тараса Шевченка,residential,False,False,182.29700000000003,,"LINESTRING (22.9997887 49.440222, 22.9980748 49.440364, 22.9975152 49.4404103, 22.9974105 49.4404083, 22.9972872 49.4403963)",,
95031932,вулиця Тараса Шевченка,residential,False,True,79.60000000000001,,"LINESTRING (22.9997887 49.440222, 22.9998667 49.440205, 23.0007404 49.439985, 23.0008166 49.4399658)",,
95031727,вулиця Дмитра Вітовського,tertiary,False,False,274.536,,"LINESTRING (23.0026084 49.4401876, 23.002949 49.4401558, 23.002995 49.4401515, 23.0032341 49.4401291, 23.0035391 49.4400778, 23.0036116 49.4400811, 23.0036854 49.4401013, 23.0037564 49.4401623, 23.0040648 49.4405705, 23.0041856 49.4407065, 23.0045074 49.4408905, 23.004722 49.4410169, 23.004799 49.4411926, 23.004897 49.4414165, 23.0049741 49.4415925)",,
95031727,вулиця Дмитра Вітовського,tertiary,False,True,115.063,,"LINESTRING (23.0026084 49.4401876, 23.0013679 49.44032, 23.0011587 49.4403558, 23.0010876 49.440417)",,
236002662,вулиця Героя України Богдана Сольчаника,residential,False,True,125.86,,"LINESTRING (22.9993735 49.441076, 23.0001532 49.4410058, 23.0001575 49.4410241, 23.0002344 49.4413748, 23.0002874 49.4416197)",,
236002612,вулиця Лева Галицького,residential,False,True,104.658,,"LINESTRING (23.0002874 49.4416197, 23.0017152 49.4414649)",,
236002662,вулиця Героя України Богдана Сольчаника,residential,False,False,125.86000000000001,,"LINESTRING (23.0002874 49.4416197, 23.0002344 49.4413748, 23.0001575 49.4410241, 23.0001532 49.4410058, 22.9993735 49.441076)",,
236002662,вулиця Героя України Богдана Сольчаника,residential,False,True,172.236,,"LINESTRING (23.0002874 49.4416197, 23.0003449 49.4418699, 23.0005717 49.4428545, 23.0006468 49.4431509)",,
236002662,вулиця Героя України Богдана Сольчаника,residential,False,False,172.236,,"LINESTRING (23.0006468 49.4431509, 23.0005717 49.4428545, 23.0003449 49.4418699, 23.0002874 49.4416197)",,
236002626,вулиця Степана Бандери,residential,False,True,68.101,,"LINESTRING (23.0023831 49.4469817, 23.0033165 49.4468991)",,
236002626,вулиця Степана Бандери,residential,False,False,21.067,,"LINESTRING (23.0023831 49.4469817, 23.002344 49.4470034, 23.0022631 49.4470944, 23.0022318 49.4471411)",,
382591592,вулиця Степана Бандери,residential,False,False,134.54999999999998,,"LINESTRING (23.0023831 49.4469817, 23.0022998 49.4467233, 23.0021751 49.4463165, 23.0020022 49.446171, 23.0018917 49.4461502, 23.0016146 49.4461099, 23.0014818 49.4461266)",,
236002626,вулиця Степана Бандери,residential,False,True,26.172,,"LINESTRING (23.0019386 49.4472669, 23.0019889 49.4472177, 23.002057 49.4471878, 23.0022318 49.4471411)",,
382591593,вулиця Степана Бандери,residential,False,False,43.913,,"LINESTRING (23.0019386 49.4472669, 23.0019041 49.447185, 23.0017497 49.4468917)",,
236002590,вулиця Дмитра Вітовського,residential,False,False,160.41200000000003,,"LINESTRING (23.0057841 49.4481587, 23.0056637 49.4481772, 23.0052792 49.4482182, 23.0050237 49.4482593, 23.0047609 49.4483534, 23.0045879 49.448418, 23.0043614 49.4484536, 23.0042766 49.4484589, 23.0042323 49.4484617, 23.004169 49.4484644, 23.0036534 49.448486)",,
236002590,вулиця Дмитра Вітовського,residential,False,True,255.276,,"LINESTRING (23.0057841 49.4481587, 23.0059057 49.4481025, 23.0059757 49.4480362, 23.0061796 49.4478327, 23.0073585 49.4466478, 23.0074738 49.4464072, 23.0075187 49.4462836, 23.0075421 49.4461997)",,
236002567,вулиця Лева Галицького,primary,False,False,178.901,Н-13,"LINESTRING (23.0036534 49.448486, 23.0036773 49.4483953, 23.00368 49.4482532, 23.0036505 49.4481015, 23.0033165 49.4468991)",,
236002590,вулиця Дмитра Вітовського,residential,False,True,160.41199999999998,,"LINESTRING (23.0036534 49.448486, 23.004169 49.4484644, 23.0042323 49.4484617, 23.0042766 49.4484589, 23.0043614 49.4484536, 23.0045879 49.448418, 23.0047609 49.4483534, 23.0050237 49.4482593, 23.0052792 49.4482182, 23.0056637 49.4481772, 23.0057841 49.4481587)",,
841514110,Дністрова вулиця,tertiary,False,False,239.075,,"LINESTRING (23.0068213 49.4415291, 23.0089762 49.4431599)",,
