osmid,oneway,lanes,name,highway,width,reversed,length,geometry,ref
187287741,True,2,Трифонова вулиця,residential,6,False,46.548,"LINESTRING (37.2494727 47.7789806, 37.2497764 47.7786151)",
973589897,True,1,30-річчя Перемоги вулиця,residential,6,False,27.999,"LINESTRING (37.2494727 47.7789806, 37.2498457 47.7789566)",
"[987506611, 196898431]",True,1,30-річчя Перемоги вулиця,residential,6,False,395.39500000000004,"LINESTRING (37.2442091 47.7793456, 37.2450635 47.7792864, 37.2450815 47.7792851, 37.2458531 47.7792316, 37.246405 47.7791933, 37.2464662 47.7791891, 37.2474433 47.7791214, 37.2475215 47.7791159, 37.2477867 47.7790975, 37.2481065 47.7790753, 37.2486753 47.7790359, 37.2491744 47.7790013, 37.2494727 47.7789806)",
1025244912,False,2,,residential,6,False,103.38,"LINESTRING (37.2442091 47.7793456, 37.2442207 47.7794062, 37.2443858 47.7802677)",
1025244912,False,2,,residential,6,True,78.285,"LINESTRING (37.2442091 47.7793456, 37.2441945 47.7792699, 37.2441607 47.7790942, 37.244112 47.7788379, 37.2440758 47.7786473)",
330345897,False,2,Магістральна вулиця,secondary,8,True,12.644,"LINESTRING (37.2515078 47.7766265, 37.2516559 47.7766815)",Т-05-24
199224141,False,,,residential,,True,12.69,"LINESTRING (37.2513748 47.7770002, 37.2512282 47.7769426)",
259202706,True,2,Трифонова вулиця,residential,6,False,78.006,"LINESTRING (37.2513748 47.7770002, 37.2512775 47.7771104, 37.2508423 47.7776036)",
259202706,True,2,Трифонова вулиця,residential,6,False,41.195,"LINESTRING (37.2516559 47.7766815, 37.2513748 47.7770002)",
330345897,False,2,Магістральна вулиця,secondary,8,False,12.644,"LINESTRING (37.2516559 47.7766815, 37.2515078 47.7766265)",Т-05-24
973589900,False,2,Трифонова вулиця,residential,6,False,18.792,"LINESTRING (37.249812 47.7787824, 37.2497764 47.7786151)",
973589900,False,2,Трифонова вулиця,residential,6,True,19.533,"LINESTRING (37.249812 47.7787824, 37.2498457 47.7789566)",
"[199311720, 187287757]",False,2,Трифонова вулиця,unclassified,6,False,920.004,"LINESTRING (37.2400579 47.7854369, 37.2412237 47.7854048, 37.2428851 47.7853547, 37.2429871 47.7853517, 37.2455339 47.7852774, 37.2469743 47.7852485, 37.2481874 47.7852139, 37.2497412 47.7851706, 37.2509385 47.7851373, 37.250984 47.7851094, 37.25102 47.7850652, 37.251044 47.7850129, 37.2510438 47.7849813, 37.2510151 47.7848289, 37.2509857 47.7846726, 37.2509555 47.7845123, 37.2509274 47.7843632, 37.250924 47.7843451, 37.2508983 47.7842088)",
187287741,True,2,Трифонова вулиця,residential,6,False,40.89,"LINESTRING (37.2512282 47.7769426, 37.2515078 47.7766265)",
199224141,False,,,residential,,False,12.69,"LINESTRING (37.2512282 47.7769426, 37.2513748 47.7770002)",
984887789,False,2,13 Десантників вулиця,residential,6,True,170.559,"LINESTRING (37.2450944 47.7833759, 37.2451999 47.7833673, 37.245794 47.7833206, 37.2473617 47.7831976)",
1025244912,False,2,,residential,6,True,103.38,"LINESTRING (37.2443858 47.7802677, 37.2442207 47.7794062, 37.2442091 47.7793456)",
199250408,False,,,residential,,True,298.6909999999999,"LINESTRING (37.2448853 47.7822156, 37.2452362 47.7821845, 37.2459304 47.782123, 37.246992 47.7820266, 37.2470708 47.7820297, 37.2471379 47.7820567, 37.247162 47.7820937, 37.2471734 47.7821609, 37.247187 47.7822408, 37.2473414 47.7830699, 37.2473477 47.7831094, 37.2473617 47.7831976)",
199250408,False,,,residential,,False,298.691,"LINESTRING (37.2473617 47.7831976, 37.2473477 47.7831094, 37.2473414 47.7830699, 37.247187 47.7822408, 37.2471734 47.7821609, 37.247162 47.7820937, 37.2471379 47.7820567, 37.2470708 47.7820297, 37.246992 47.7820266, 37.2459304 47.782123, 37.2452362 47.7821845, 37.2448853 47.7822156)",
984887789,False,2,13 Десантників вулиця,residential,6,False,170.559,"LINESTRING (37.2473617 47.7831976, 37.245794 47.7833206, 37.2451999 47.7833673, 37.2450944 47.7833759)",
984887789,False,2,13 Десантників вулиця,residential,6,True,215.361,"LINESTRING (37.2473617 47.7831976, 37.247477 47.7831886, 37.24825 47.7831302, 37.2488031 47.7830884, 37.249825 47.7830112, 37.2499336 47.7830037, 37.2502264 47.7829836)",
187287757,False,2,Трифонова вулиця,unclassified,6,False,122.99,"LINESTRING (37.2508983 47.7842088, 37.2508734 47.7840791, 37.250796 47.7836853, 37.2506834 47.7831122)",
"[199311720, 187287757]",False,2,Трифонова вулиця,unclassified,6,True,920.0040000000001,"LINESTRING (37.2508983 47.7842088, 37.250924 47.7843451, 37.2509274 47.7843632, 37.2509555 47.7845123, 37.2509857 47.7846726, 37.2510151 47.7848289, 37.2510438 47.7849813, 37.251044 47.7850129, 37.25102 47.7850652, 37.250984 47.7851094, 37.2509385 47.7851373, 37.2497412 47.7851706, 37.2481874 47.7852139, 37.2469743 47.7852485, 37.2455339 47.7852774, 37.2429871 47.7853517, 37.2428851 47.7853547, 37.2412237 47.7854048, 37.2400579 47.7854369)",
1028391282,False,,,unclassified,,True,178.091,"LINESTRING (37.2508983 47.7842088, 37.2501464 47.7842587, 37.2485262 47.7843661)",
1028391282,False,,,unclassified,,False,178.091,"LINESTRING (37.2485262 47.7843661, 37.2501464 47.7842587, 37.2508983 47.7842088)",
1025244912,False,2,,residential,6,False,78.285,"LINESTRING (37.2440758 47.7786473, 37.244112 47.7788379, 37.2441607 47.7790942, 37.2441945 47.7792699, 37.2442091 47.7793456)",
199250370,True,1,30-річчя Перемоги вулиця,residential,6,False,423.34000000000003,"LINESTRING (37.2499982 47.7797471, 37.2481004 47.7799232, 37.2479354 47.7799385, 37.2478687 47.7799447, 37.2458317 47.7801336, 37.2453019 47.7801827, 37.2443858 47.7802677)",
973589898,False,2,Трифонова вулиця,residential,6,False,339.709,"LINESTRING (37.2499982 47.7797471, 37.2500312 47.779908, 37.2500923 47.7802063, 37.2502941 47.781191, 37.2503221 47.7813277, 37.25036 47.7815123, 37.2503681 47.7815519, 37.2504428 47.7819162, 37.2506153 47.7827739)",
973589898,False,2,Трифонова вулиця,residential,6,True,88.635,"LINESTRING (37.2499982 47.7797471, 37.249933 47.7794089, 37.2499236 47.7793603, 37.2499129 47.7793046, 37.249886 47.7791652, 37.2498457 47.7789566)",
196898424,False,2,Трифонова вулиця,residential,6,False,12.778,"LINESTRING (37.2508423 47.7776036, 37.2506945 47.7775458)",
