osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,bridge
170700530,вулиця Івана Сірка,residential,False,False,18.149,,"LINESTRING (25.7786654 49.6568539, 25.7784896 49.6567369)",,
"[498306953, 504903555]",вулиця Вʼячеслава Чорновола,secondary,False,False,479.62,50,"LINESTRING (25.7786654 49.6568539, 25.7785338 49.6570372, 25.7783923 49.6572749, 25.7777164 49.6586715, 25.7775296 49.6589391, 25.7772177 49.6592666, 25.7767931 49.659659, 25.7765607 49.6598834, 25.776372 49.6600827, 25.776208 49.6603369, 25.776003 49.6607732)",,
504903555,вулиця Вʼячеслава Чорновола,secondary,False,True,85.535,50,"LINESTRING (25.7786654 49.6568539, 25.7788074 49.6566899, 25.7790723 49.6564649, 25.7792715 49.6563253, 25.7793864 49.6562466)",,
170640429,вулиця Ярослава Мудрого,residential,False,False,270.951,,"LINESTRING (25.7813768 49.6590856, 25.7809861 49.6593569, 25.7807461 49.6594548, 25.7800729 49.6595663, 25.7793893 49.6596643, 25.7789405 49.6597419, 25.7780114 49.6600558)",,
170640429,вулиця Ярослава Мудрого,residential,False,True,65.30799999999999,,"LINESTRING (25.7813768 49.6590856, 25.7814834 49.6587528, 25.7815363 49.6586742, 25.7816683 49.6585369)",,
171547287,вулиця Руслана Тимофея,residential,False,False,138.54,,"LINESTRING (25.7813768 49.6590856, 25.7816286 49.6592048, 25.7817452 49.6592456, 25.7818775 49.6592423, 25.7820139 49.6592239, 25.7825689 49.6591131, 25.7828402 49.6590701, 25.7829951 49.6590239, 25.7831412 49.6589583)",,
170640429,вулиця Ярослава Мудрого,residential,False,True,270.951,,"LINESTRING (25.7780114 49.6600558, 25.7789405 49.6597419, 25.7793893 49.6596643, 25.7800729 49.6595663, 25.7807461 49.6594548, 25.7809861 49.6593569, 25.7813768 49.6590856)",,
171553431,вулиця Лесі Українки,residential,False,True,138.27,,"LINESTRING (25.7739568 49.6608714, 25.7758368 49.661127)",С200621,
170700532,вулиця Гвардійців-Кантемирівців,residential,False,True,216.68300000000002,,"LINESTRING (25.7739568 49.6608714, 25.7739794 49.6605063, 25.773974 49.6604317, 25.7739472 49.6603466, 25.7739016 49.6602441, 25.7735771 49.6595462, 25.7733411 49.6589802)",,
171553431,вулиця Лесі Українки,residential,False,False,229.447,,"LINESTRING (25.7739568 49.6608714, 25.7734403 49.660897, 25.7725902 49.6609461, 25.7721743 49.6609734, 25.7718777 49.6610151, 25.7716459 49.6610619, 25.7712665 49.6611437, 25.7708374 49.6612357)",С200621,
171553431,вулиця Лесі Українки,residential,False,False,138.27,,"LINESTRING (25.7758368 49.661127, 25.7739568 49.6608714)",С200621,
"[171553432, 174679029, 171095022]",вулиця Січових Стрільців,secondary,False,"[False, True]",453.108,50,"LINESTRING (25.7758368 49.661127, 25.7757642 49.6612926, 25.7757488 49.6613251, 25.7753916 49.6620776, 25.7753058 49.662299, 25.7752146 49.6625463, 25.7751676 49.6627252, 25.7751167 49.6629769, 25.7750443 49.6637842, 25.7750094 49.6644197, 25.7749877 49.6648243, 25.7749829 49.6651386)",,yes
498306953,вулиця Вʼячеслава Чорновола,secondary,False,True,41.12,50,"LINESTRING (25.7758368 49.661127, 25.7759473 49.6608918, 25.776003 49.6607732)",,
