osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,lanes,width
144308365,Т-03-02;Т-18-06,Бічна Козацька вулиця,secondary,False,False,114.298,"LINESTRING (25.1236369 50.3542957, 25.1241834 50.3545828, 25.1248938 50.3549386)",,,
"[240144682, 223207132, 223207133]",Т-03-02;Т-18-06,"['вулиця Будьонного', 'вулиця Незалежності']",secondary,False,"[False, True]",369.191,"LINESTRING (25.1236369 50.3542957, 25.1229102 50.354749, 25.1227203 50.3548758, 25.1225762 50.3550131, 25.1224544 50.3552505, 25.1223952 50.355529, 25.1223124 50.3559992, 25.1222665 50.3562601, 25.1221893 50.3565655, 25.122044 50.3567453, 25.1215344 50.3571926)",yes,,
144326242,О-030214,вулиця Тараса Шевченка,tertiary,False,False,119.571,"LINESTRING (25.1211258 50.3581798, 25.1223542 50.3589161)",,2,7
223207132,Т-03-02;Т-18-06,вулиця Незалежності,secondary,False,True,72.892,"LINESTRING (25.1211258 50.3581798, 25.120476 50.3586876)",,,
223207132,Т-03-02;Т-18-06,вулиця Незалежності,secondary,False,False,121.164,"LINESTRING (25.1211258 50.3581798, 25.1212972 50.3580077, 25.1213805 50.3579112, 25.121392 50.3578255, 25.1213256 50.3576733, 25.1212897 50.3575735, 25.1212883 50.3575532, 25.1212834 50.3574852, 25.1213028 50.3574132, 25.1213533 50.3573364, 25.1215344 50.3571926)",,,
240144681,,вулиця Богдана Хмельницького,unclassified,False,False,157.222,"LINESTRING (25.1215344 50.3571926, 25.1232886 50.3580567)",,,
"[240198682, 240198683, 199735078]",,Паркова вулиця,residential,False,False,359.09599999999995,"LINESTRING (25.1215344 50.3571926, 25.121122 50.3570537, 25.1201287 50.3569199, 25.1198774 50.3568825, 25.1196398 50.3568698, 25.119294 50.3569693, 25.1190018 50.3570774, 25.1182208 50.3573859, 25.1178466 50.3575301, 25.1170166 50.3578983)",yes,,
"[240144682, 223207132, 223207133]",Т-03-02;Т-18-06,"['вулиця Будьонного', 'вулиця Незалежності']",secondary,False,"[False, True]",369.19100000000003,"LINESTRING (25.1215344 50.3571926, 25.122044 50.3567453, 25.1221893 50.3565655, 25.1222665 50.3562601, 25.1223124 50.3559992, 25.1223952 50.355529, 25.1224544 50.3552505, 25.1225762 50.3550131, 25.1227203 50.3548758, 25.1229102 50.354749, 25.1236369 50.3542957)",yes,,
223207132,Т-03-02;Т-18-06,вулиця Незалежності,secondary,False,True,121.16399999999999,"LINESTRING (25.1215344 50.3571926, 25.1213533 50.3573364, 25.1213028 50.3574132, 25.1212834 50.3574852, 25.1212883 50.3575532, 25.1212897 50.3575735, 25.1213256 50.3576733, 25.121392 50.3578255, 25.1213805 50.3579112, 25.1212972 50.3580077, 25.1211258 50.3581798)",,,
240144684,О-030212,вулиця Лесі Українки,tertiary,False,True,230.276,"LINESTRING (25.1155776 50.3585632, 25.1173676 50.3602908)",,,
