osmid,ref,highway,oneway,reversed,length,bridge,maxspeed,geometry,name
"[887289689, 788678785, 613228215]",Т-21-06,secondary,False,True,258.992,yes,50,"LINESTRING (35.771289 49.9788261, 35.7715396 49.9784193, 35.7718485 49.9780569, 35.7722438 49.9775585, 35.7726502 49.9771185, 35.7729771 49.9767699)",
887289690,,residential,False,False,601.8870000000001,,,"LINESTRING (35.771289 49.9788261, 35.7711466 49.9788027, 35.7640996 49.9786567, 35.7636856 49.9786507, 35.7628803 49.978639)",Центральна вулиця
146939598,,residential,False,True,31.305,,,"LINESTRING (35.7749278 49.9752314, 35.7745056 49.9753058)",Довжанська вулиця
1179973392,,residential,False,True,25.443,,,"LINESTRING (35.7749278 49.9752314, 35.774832 49.9752777, 35.7747542 49.975338, 35.7746981 49.9754019)",
613228215,Т-21-06,secondary,False,True,19.969,,50,"LINESTRING (35.7739833 49.9754849, 35.7741051 49.9753233)",
146939626,,residential,False,False,762.7539999999999,,,"LINESTRING (35.7739833 49.9754849, 35.7738298 49.9754365, 35.7736727 49.9753986, 35.771484 49.9751364, 35.7665273 49.974957, 35.7633921 49.9748994)",Миру вулиця
613228215,Т-21-06,secondary,False,False,160.15099999999998,,50,"LINESTRING (35.7739833 49.9754849, 35.7736475 49.9759735, 35.7732125 49.9765187, 35.7729771 49.9767699)",
613228215,Т-21-06,secondary,False,False,172.31,,50,"LINESTRING (35.7751562 49.9739289, 35.7741051 49.9753233)",
146939626,,residential,False,True,762.754,,,"LINESTRING (35.7633921 49.9748994, 35.7665273 49.974957, 35.771484 49.9751364, 35.7736727 49.9753986, 35.7738298 49.9754365, 35.7739833 49.9754849)",Миру вулиця
"[188884763, 188884771, 188884772]",,residential,False,False,418.711,yes,,"LINESTRING (35.7633921 49.9748994, 35.7631726 49.975455, 35.7630471 49.9760254, 35.7630526 49.976207, 35.762978 49.9770726, 35.7628803 49.978639)",Дружби вулиця
188884762,,residential,False,True,196.619,,,"LINESTRING (35.7622503 49.9786285, 35.7621768 49.9803961)",Дружби вулиця
887289690,,residential,False,True,45.064,,,"LINESTRING (35.7622503 49.9786285, 35.7628803 49.978639)",Центральна вулиця
887289690,,residential,False,False,45.064,,,"LINESTRING (35.7628803 49.978639, 35.7622503 49.9786285)",Центральна вулиця
"[188884771, 188884763, 188884772]",,residential,False,True,418.711,yes,,"LINESTRING (35.7628803 49.978639, 35.762978 49.9770726, 35.7630526 49.976207, 35.7630471 49.9760254, 35.7631726 49.975455, 35.7633921 49.9748994)",Дружби вулиця
887289690,,residential,False,True,601.887,,,"LINESTRING (35.7628803 49.978639, 35.7636856 49.9786507, 35.7640996 49.9786567, 35.7711466 49.9788027, 35.771289 49.9788261)",Центральна вулиця
188884770,,residential,False,True,116.198,,,"LINESTRING (35.7637991 49.9803352, 35.7621768 49.9803961)",
188884762,,residential,False,False,196.619,,,"LINESTRING (35.7621768 49.9803961, 35.7622503 49.9786285)",Дружби вулиця
188884770,,residential,False,False,116.198,,,"LINESTRING (35.7621768 49.9803961, 35.7637991 49.9803352)",
613228215,Т-21-06,secondary,False,False,19.969,,50,"LINESTRING (35.7741051 49.9753233, 35.7739833 49.9754849)",
613228215,Т-21-06,secondary,False,True,172.31,,50,"LINESTRING (35.7741051 49.9753233, 35.7751562 49.9739289)",
146939598,,residential,False,False,30.52,,,"LINESTRING (35.7741051 49.9753233, 35.774206 49.9753597, 35.7745056 49.9753058)",Довжанська вулиця
"[887289689, 788678785, 613228215]",Т-21-06,secondary,False,False,258.992,yes,50,"LINESTRING (35.7729771 49.9767699, 35.7726502 49.9771185, 35.7722438 49.9775585, 35.7718485 49.9780569, 35.7715396 49.9784193, 35.771289 49.9788261)",
613228215,Т-21-06,secondary,False,True,160.151,,50,"LINESTRING (35.7729771 49.9767699, 35.7732125 49.9765187, 35.7736475 49.9759735, 35.7739833 49.9754849)",
1179973392,,residential,False,False,200.339,,,"LINESTRING (35.7729771 49.9767699, 35.773295 49.9766835, 35.7736974 49.9764523, 35.7742124 49.9759555, 35.7746981 49.9754019)",
146939598,,residential,False,False,31.305,,,"LINESTRING (35.7745056 49.9753058, 35.7749278 49.9752314)",Довжанська вулиця
146939598,,residential,False,True,30.52,,,"LINESTRING (35.7745056 49.9753058, 35.774206 49.9753597, 35.7741051 49.9753233)",Довжанська вулиця
1179973395,,residential,False,False,18.668,,,"LINESTRING (35.7745056 49.9753058, 35.7745921 49.9753221, 35.7746568 49.9753459, 35.7746981 49.9754019)",
1179973392,,residential,False,False,25.442999999999998,,,"LINESTRING (35.7746981 49.9754019, 35.7747542 49.975338, 35.774832 49.9752777, 35.7749278 49.9752314)",
1179973392,,residential,False,True,200.339,,,"LINESTRING (35.7746981 49.9754019, 35.7742124 49.9759555, 35.7736974 49.9764523, 35.773295 49.9766835, 35.7729771 49.9767699)",
1179973395,,residential,False,True,18.668,,,"LINESTRING (35.7746981 49.9754019, 35.7746568 49.9753459, 35.7745921 49.9753221, 35.7745056 49.9753058)",
