osmid,highway,oneway,reversed,length,ref,geometry,name,maxspeed
"[193521818, 193521812]","['unclassified', 'residential']",False,"[False, True]",181.297,,"LINESTRING (37.1355377 48.2226502, 37.1354681 48.2227838, 37.1354574 48.2233199, 37.135444 48.2236273, 37.1354547 48.2236952, 37.1355393 48.2237385, 37.1362708 48.2238746)",Весела вулиця,
335991574,secondary,False,False,137.037,Т-05-15,"LINESTRING (37.1355377 48.2226502, 37.1354767 48.2225466, 37.1354888 48.2224288, 37.1358675 48.221458)",,
120494893,residential,False,False,224.087,,"LINESTRING (37.146336 48.2232464, 37.1463364 48.2231395, 37.1464032 48.2230153, 37.147146 48.2213092)",,
335991571,secondary,False,False,94.09,,"LINESTRING (37.146336 48.2232464, 37.1462088 48.2232408, 37.1451896 48.2232926, 37.1450707 48.2233054)",Калініна вулиця,
335991571,secondary,False,True,123.68,,"LINESTRING (37.146336 48.2232464, 37.1465291 48.2232909, 37.1478518 48.2237108)",Калініна вулиця,
130055207,tertiary,False,False,64.947,,"LINESTRING (37.1450707 48.2233054, 37.1449157 48.2233211, 37.1442967 48.2232022, 37.1442363 48.2231718)",,
130541428,secondary,False,False,71.85000000000001,,"LINESTRING (37.1450707 48.2233054, 37.1450051 48.2233535, 37.1447927 48.2237129, 37.1446753 48.2238194, 37.144601 48.223858)",Комарова вулиця,
335991571,secondary,False,True,94.09,,"LINESTRING (37.1450707 48.2233054, 37.1451896 48.2232926, 37.1462088 48.2232408, 37.146336 48.2232464)",Калініна вулиця,
335991571,secondary,False,False,123.68,,"LINESTRING (37.1478518 48.2237108, 37.1465291 48.2232909, 37.146336 48.2232464)",Калініна вулиця,
130541422,secondary,False,False,77.608,Т-05-15,"LINESTRING (37.1410036 48.2237405, 37.1399971 48.2235469)",Комарова вулиця,
130541428,secondary,False,True,157.365,,"LINESTRING (37.1410036 48.2237405, 37.1430436 48.2241351)",Комарова вулиця,
245843356,secondary,False,False,110.596,Т-05-15,"LINESTRING (37.1410036 48.2237405, 37.1405922 48.2246966)",Тарана вулиця,50
335991578,residential,False,True,127.62,,"LINESTRING (37.1410036 48.2237405, 37.1410176 48.2236291, 37.1414393 48.222632)",Тарана вулиця,
130059246,tertiary,False,True,6.639,,"LINESTRING (37.139588 48.2195127, 37.1396677 48.21954)",Центральна вулиця,
130059246,tertiary,False,False,72.108,,"LINESTRING (37.139588 48.2195127, 37.1393171 48.2194403, 37.1387042 48.2192419)",Центральна вулиця,
130059246,tertiary,False,False,85.979,,"LINESTRING (37.1414778 48.2198984, 37.1403617 48.2196865)",Центральна вулиця,
