osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,maxspeed
161024960,Свято-Миколаївська вулиця,residential,False,False,59.843,"LINESTRING (29.5863446 45.4002235, 29.585935 45.3998878, 29.5858542 45.3998102)",,,
354382764,Різдвяна вулиця,secondary,False,False,111.09,"LINESTRING (29.5863446 45.4002235, 29.5868241 45.3998685, 29.5870343 45.3996615, 29.5872836 45.3994753)",Т-16-28,,
"[354382764, 354382765, 354369294]",Різдвяна вулиця,secondary,False,True,185.49200000000002,"LINESTRING (29.5863446 45.4002235, 29.585871 45.4005554, 29.5854979 45.4007971, 29.5853813 45.4008816, 29.5850822 45.4010982, 29.5846745 45.401409)",Т-16-28,yes,
228466514,вулиця Конституції,residential,False,False,81.474,"LINESTRING (29.5808096 45.404517, 29.5816101 45.4049871)",,,
228466514,вулиця Конституції,residential,False,True,55.981,"LINESTRING (29.5808096 45.404517, 29.5802474 45.4042045)",,,
354369299,Різдвяна вулиця,secondary,False,False,202.433,"LINESTRING (29.5808096 45.404517, 29.5825245 45.4031515)",Т-16-28,,
354369299,Різдвяна вулиця,secondary,False,True,137.255,"LINESTRING (29.5808096 45.404517, 29.5796886 45.4054679)",Т-16-28,,
235212843,вулиця Свободи,residential,False,False,61.67700000000001,"LINESTRING (29.5845294 45.3991182, 29.5847147 45.3989878, 29.5850958 45.3987316)",,,40
235212843,вулиця Свободи,residential,False,True,242.97900000000004,"LINESTRING (29.5845294 45.3991182, 29.584146 45.3994157, 29.5833666 45.4001043, 29.5832363 45.4002471, 29.5829711 45.4005809, 29.5827586 45.4009003)",,,40
354369302,Свято-Миколаївська вулиця,residential,False,True,56.872,"LINESTRING (29.5845294 45.3991182, 29.5849351 45.3993605, 29.58509 45.3994446)",,,
354369302,Свято-Миколаївська вулиця,residential,False,False,56.872,"LINESTRING (29.58509 45.3994446, 29.5849351 45.3993605, 29.5845294 45.3991182)",,,
"[161024960, 354369301, 354369302]",Свято-Миколаївська вулиця,residential,False,True,72.77199999999999,"LINESTRING (29.58509 45.3994446, 29.585188 45.3994856, 29.5854749 45.3995944, 29.5856934 45.3996914, 29.5858542 45.3998102)",,yes,
754939299,Бессарабська вулиця,residential,False,False,235.10500000000002,"LINESTRING (29.58509 45.3994446, 29.5850103 45.3995342, 29.584725 45.3997377, 29.5842513 45.400201, 29.5841566 45.4002819, 29.583276 45.4011282)",,,
228466517,,unclassified,False,True,49.981,"LINESTRING (29.5821614 45.4007384, 29.5827586 45.4009003)",,,
228466517,,unclassified,False,False,49.981,"LINESTRING (29.5827586 45.4009003, 29.5821614 45.4007384)",,,
228466517,,unclassified,False,True,47.687,"LINESTRING (29.5827586 45.4009003, 29.583276 45.4011282)",,,
