osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access
41380546,True,2,площадь Революции,tertiary,False,89.388,"LINESTRING (33.599853 45.1324206, 33.6009925 45.1324184)",,
41234333,False,2,Советская улица,tertiary,False,183.647,"LINESTRING (33.599853 45.1324206, 33.5993413 45.1324211, 33.599269 45.1324216, 33.5992061 45.1324223, 33.5991466 45.1324234, 33.5987848 45.1324197, 33.5976053 45.1323769, 33.5975136 45.1323743)",,
41242024,False,,улица Кузнецова,residential,False,138.33499999999998,"LINESTRING (33.5952257 45.1321282, 33.5952202 45.1321762, 33.5952113 45.132227, 33.595148 45.1325866, 33.5951139 45.1327755, 33.5950098 45.1333048, 33.59498 45.1333584)",,
"[1185798099, 1185798100]",False,,Советская улица,tertiary,True,65.51599999999999,"LINESTRING (33.5952257 45.1321282, 33.5953058 45.132136, 33.5957511 45.132188, 33.59605 45.1322229)",60,
1185798101,False,,улица Кузнецова,residential,True,175.77399999999997,"LINESTRING (33.5952257 45.1321282, 33.5952273 45.1320789, 33.595227 45.132059, 33.5952242 45.1317981, 33.5952232 45.1317283, 33.5950497 45.1308103, 33.5950115 45.1306436, 33.5949976 45.1305583)",,
689838121,False,2,улица Старикова,residential,False,46.074999999999996,"LINESTRING (33.6011493 45.1361041, 33.6015554 45.1359318, 33.6016081 45.1359063, 33.6016516 45.1358895)",,
1158196156,False,,улица Дегтярёва,residential,False,21.842000000000002,"LINESTRING (33.6011493 45.1361041, 33.6010463 45.1361016, 33.6009105 45.1360982, 33.6008711 45.1361002)",20,
"[41234522, 212513606, 212513607]",False,,Симферопольская улица,residential,True,286.49,"LINESTRING (33.6001788 45.1335726, 33.6001978 45.1336463, 33.6003717 45.1343353, 33.6004654 45.1345133, 33.6006187 45.1347263, 33.6008692 45.1350219, 33.601185 45.1353946, 33.6016516 45.1358895)",,
212513609,False,,,unclassified,False,79.12800000000001,"LINESTRING (33.6001788 45.1335726, 33.6000647 45.1335852, 33.6000281 45.1335832, 33.5997571 45.1335681, 33.599733 45.1335668, 33.5995528 45.1335578, 33.5992905 45.1335473, 33.599202 45.1335454, 33.5991734 45.1335448)",,
271321173,True,2,Симферопольская улица,residential,False,130.75900000000001,"LINESTRING (33.6001788 45.1335726, 33.6000524 45.1331229, 33.5998622 45.1325299, 33.599853 45.1324206)",60,
