osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width,bridge
848619906,False,4,вулиця Миру,tertiary,False,213.43000000000004,"LINESTRING (22.7247242 48.4385189, 22.7246208 48.4385769, 22.7245016 48.4386488, 22.7243911 48.4387228, 22.7239382 48.4390522, 22.7237336 48.439201, 22.7232971 48.4395185, 22.7232212 48.4395738, 22.7228643 48.4398334, 22.7227456 48.4399178)",,,
156261521,False,3,вулиця Олександра Духновича,tertiary,False,65.279,"LINESTRING (22.7219672 48.4404776, 22.722082 48.4405494, 22.7221359 48.4405831, 22.7225091 48.4408109, 22.7226174 48.4408758)",,,
"[156261524, 171672717]",False,3,"['площа Кирила і Мефодія', 'вулиця Ярослава Мудрого']",tertiary,True,161.861,"LINESTRING (22.7219672 48.4404776, 22.7218398 48.4405429, 22.7217488 48.4405919, 22.7212841 48.44084, 22.7212175 48.4407734, 22.7211581 48.4407141, 22.7208538 48.4403829, 22.7206191 48.4401275, 22.7205898 48.4400957)",,,
848619905,False,3,вулиця Миру,tertiary,True,70.929,"LINESTRING (22.7219672 48.4404776, 22.7220178 48.440443, 22.7221006 48.4403862, 22.7221624 48.4403406, 22.7226198 48.4400092)",,,
171672717,False,,вулиця Ярослава Мудрого,tertiary,False,96.292,"LINESTRING (22.7199242 48.4393508, 22.7203236 48.4397978, 22.7203874 48.4398651, 22.7205898 48.4400957)",,,
865961060,False,,вулиця Івана Маргітича,residential,True,189.39100000000002,"LINESTRING (22.7199242 48.4393508, 22.7199737 48.4393094, 22.719995 48.439281, 22.7200178 48.4392507, 22.7200442 48.4391864, 22.7201846 48.4376711)",,,
864997390,False,2,вулиця Ілони Зріні,secondary,False,72.155,"LINESTRING (22.7149407 48.4398235, 22.714651 48.4397859, 22.7139808 48.4396988)",50,,
39016868,False,,Успенська вулиця,residential,True,68.466,"LINESTRING (22.7172419 48.4400023, 22.7173455 48.4399726, 22.717425 48.4399499, 22.717629 48.4399047, 22.717788 48.4398832, 22.7179239 48.4398768, 22.7180024 48.4398776, 22.718052 48.4398781, 22.7181381 48.4398865)",,,
334899382,True,2,вулиця Ілони Зріні,tertiary,False,171.706,"LINESTRING (22.7172419 48.4400023, 22.7171361 48.4400191, 22.7170207 48.4400267, 22.7169009 48.4400193, 22.7164315 48.4399789, 22.7155506 48.4398944, 22.7150537 48.4398366, 22.7149407 48.4398235)",,,
"[156261524, 171672717]",False,3,"['площа Кирила і Мефодія', 'вулиця Ярослава Мудрого']",tertiary,False,161.86100000000002,"LINESTRING (22.7205898 48.4400957, 22.7206191 48.4401275, 22.7208538 48.4403829, 22.7211581 48.4407141, 22.7212175 48.4407734, 22.7212841 48.44084, 22.7217488 48.4405919, 22.7218398 48.4405429, 22.7219672 48.4404776)",,,
