osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,width,junction
47356996,True,площа Корятовича,residential,False,66.44,"LINESTRING (22.2999098 48.6243238, 22.3000152 48.6243882, 22.3006187 48.624694)",,,,
47374134,True,вулиця Олександра Духновича,residential,False,176.82100000000003,"LINESTRING (22.2999098 48.6243238, 22.299962 48.6242733, 22.3001343 48.6241012, 22.3002398 48.6240101, 22.3003605 48.6239171, 22.300843 48.6236154, 22.3013123 48.6233122, 22.3015202 48.62315)",,,,
183785573,False,площа Василя Ґренджі-Донського,secondary,False,56.308,"LINESTRING (22.3037591 48.6260254, 22.3045229 48.6260649)",50,,,
170482310,False,Підгірна вулиця,secondary,True,50.08,"LINESTRING (22.3037591 48.6260254, 22.3033072 48.6259862, 22.3030835 48.6259668)",50,,,
923506164,False,площа Василя Ґренджі-Донського,residential,True,26.455,"LINESTRING (22.3037591 48.6260254, 22.3037696 48.6259488, 22.3037717 48.6257878)",,2,,
698056816,False,Шумна вулиця,secondary,True,51.161,"LINESTRING (22.3090223 48.6215675, 22.308947 48.6212557, 22.3089112 48.6211133)",50,3,,
47356997,False,вулиця Устима Кармелюка,residential,False,103.769,"LINESTRING (22.3057018 48.6261742, 22.3058036 48.6260714, 22.3059403 48.6260272, 22.3069051 48.6257156)",,,,
160491077,False,вулиця Другетів,secondary,False,78.447,"LINESTRING (22.3057018 48.6261742, 22.3058037 48.626208, 22.3058993 48.6262608, 22.3059934 48.6263309, 22.3060679 48.6264104, 22.3063091 48.6267338)",50,,,
160491077,False,вулиця Другетів,secondary,True,87.605,"LINESTRING (22.3057018 48.6261742, 22.3054919 48.6261393, 22.3045229 48.6260649)",50,,,
183785573,False,площа Василя Ґренджі-Донського,secondary,True,56.308,"LINESTRING (22.3045229 48.6260649, 22.3037591 48.6260254)",50,,,
160491073,False,площа Василя Ґренджі-Донського,residential,False,48.775,"LINESTRING (22.3045229 48.6260649, 22.3045312 48.6260009, 22.3045819 48.625628)",,,,
160491077,False,вулиця Другетів,secondary,False,87.605,"LINESTRING (22.3045229 48.6260649, 22.3054919 48.6261393, 22.3057018 48.6261742)",50,,,
145006100,False,вулиця Івана Ольбрахта,residential,True,30.686999999999998,"LINESTRING (22.3082288 48.6186763, 22.3081327 48.6186969, 22.3078412 48.6187783)",,,,
"[698056817, 698056818]",False,Підградська вулиця,secondary,False,275.79300000000006,"LINESTRING (22.3082288 48.6186763, 22.3084069 48.6192209, 22.308446 48.619336, 22.3085205 48.6195789, 22.3087165 48.6201804, 22.3087395 48.6202532, 22.3087606 48.6203451, 22.3087773 48.6204376, 22.3088118 48.6206211, 22.3088155 48.6206435, 22.3089112 48.6211133)",50,"['2', '3']",,
