osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,junction
150783495,Т-20-04,вулиця Гетьмана Мазепи,secondary,False,False,26.903,"LINESTRING (25.1404692 49.2701201, 25.140838 49.270095)",,,
150783495,Т-20-04,вулиця Гетьмана Мазепи,secondary,False,True,204.276,"LINESTRING (25.1404692 49.2701201, 25.1389771 49.2704281, 25.1379861 49.2706153, 25.1377823 49.2706673)",,,
320315710,,,residential,False,True,51.507999999999996,"LINESTRING (25.1404692 49.2701201, 25.1403354 49.269979, 25.1401925 49.2696967)",,,
174458754,,Галицька вулиця,residential,False,False,94.11500000000001,"LINESTRING (25.1365197 49.2683075, 25.1363504 49.267805, 25.1363226 49.2674736)",,,
320316752,Т-09-03,вулиця Тараса Шевченка,secondary,False,False,221.231,"LINESTRING (25.1365197 49.2683075, 25.1366744 49.2682727, 25.1368571 49.2682164, 25.1370751 49.2681784, 25.1380533 49.2682586, 25.1391072 49.2682185, 25.1395233 49.2682232)",,,
320316752,Т-09-03,вулиця Тараса Шевченка,secondary,False,True,242.183,"LINESTRING (25.1365197 49.2683075, 25.1348749 49.2685337, 25.1339675 49.2686688, 25.1332786 49.2688187)",,,
365475943,,майдан Незалежності,residential,False,True,63.514,"LINESTRING (25.1365197 49.2683075, 25.136563 49.2684703, 25.1365548 49.2687431, 25.1365274 49.268875)",,,
174458754,,Галицька вулиця,residential,False,False,334.88100000000003,"LINESTRING (25.1363226 49.2674736, 25.1363598 49.2673724, 25.136497 49.2671869, 25.1367402 49.2669399, 25.1369334 49.2665706, 25.1370753 49.2662526, 25.1371153 49.2661877, 25.1372833 49.2660617, 25.137687 49.265797, 25.1377371 49.2656292, 25.137692 49.2650106, 25.1377219 49.2648571, 25.1377699 49.2647297)",,,
174458754,,Галицька вулиця,residential,False,True,94.11500000000001,"LINESTRING (25.1363226 49.2674736, 25.1363504 49.267805, 25.1365197 49.2683075)",,,
320315651,,вулиця Шептицького,residential,False,True,226.63400000000001,"LINESTRING (25.1363226 49.2674736, 25.1374458 49.267372, 25.1376888 49.2673532, 25.1381647 49.2673408, 25.1383772 49.2673356, 25.1385268 49.2673588, 25.1386467 49.2674102, 25.138836 49.2675596, 25.1389749 49.2676794, 25.1391277 49.2677928)",,,
320315677,,вулиця Лесі Українки,residential,False,True,41.698,"LINESTRING (25.1363226 49.2674736, 25.1361347 49.2674875, 25.1357501 49.2675054)",,,
150783495,Т-20-04,вулиця Гетьмана Мазепи,secondary,False,True,81.824,"LINESTRING (25.1418552 49.2698128, 25.1416982 49.2699109, 25.1413 49.2700291, 25.140838 49.270095)",,,
1199459738,Т-20-04,вулиця Гетьмана Мазепи,secondary,True,False,16.526,"LINESTRING (25.1418552 49.2698128, 25.141874 49.2697389, 25.1418753 49.2696652)",1,,
150783495,Т-20-04,вулиця Гетьмана Мазепи,secondary,False,True,26.903,"LINESTRING (25.140838 49.270095, 25.1404692 49.2701201)",,,
150783495,Т-20-04,вулиця Гетьмана Мазепи,secondary,False,False,81.824,"LINESTRING (25.140838 49.270095, 25.1413 49.2700291, 25.1416982 49.2699109, 25.1418552 49.2698128)",,,
"[789981074, 789981075, 498799358]",С201320,Староміська вулиця,residential,False,False,199.538,"LINESTRING (25.140838 49.270095, 25.1408798 49.2705593, 25.1409291 49.2706342, 25.1412539 49.2711687, 25.1416615 49.2717868)",,yes,
320315675,,,residential,False,False,164.20600000000002,"LINESTRING (25.1319371 49.2635998, 25.1317642 49.2637146, 25.1316118 49.2639071, 25.1315466 49.2641008, 25.1315236 49.2642608, 25.1315496 49.2646625, 25.1315442 49.2650005)",,,
"[320315681, 320315695]",,Спасівська вулиця,residential,False,"[False, True]",574.3140000000001,"LINESTRING (25.1319371 49.2635998, 25.1322167 49.2636713, 25.1326175 49.2637459, 25.1330506 49.2637911, 25.1338043 49.2638707, 25.1343233 49.2639103, 25.1348741 49.263953, 25.1351124 49.2639894, 25.1352966 49.2640446, 25.1354467 49.2641061, 25.135539 49.2642241, 25.1355846 49.2644103, 25.1355981 49.2645856, 25.1355901 49.2648153, 25.135765 49.265599, 25.1358357 49.2662033, 25.1358361 49.2663703, 25.135827 49.2664159, 25.1357563 49.2665105, 25.1355788 49.2667684, 25.1355632 49.2668443)",,,
174458754,,Галицька вулиця,residential,False,True,334.88100000000003,"LINESTRING (25.1377699 49.2647297, 25.1377219 49.2648571, 25.137692 49.2650106, 25.1377371 49.2656292, 25.137687 49.265797, 25.1372833 49.2660617, 25.1371153 49.2661877, 25.1370753 49.2662526, 25.1369334 49.2665706, 25.1367402 49.2669399, 25.136497 49.2671869, 25.1363598 49.2673724, 25.1363226 49.2674736)",,,
320315688,,вулиця Василя Стуса,residential,False,False,389.14399999999995,"LINESTRING (25.1377699 49.2647297, 25.1378896 49.2647928, 25.1380036 49.2648738, 25.1381751 49.2649911, 25.1383707 49.2651256, 25.1386166 49.2652791, 25.1388584 49.2654513, 25.1391443 49.2657558, 25.1393328 49.2659721, 25.1394276 49.2661454, 25.139469 49.2663225, 25.139453 49.2665168, 25.1394529 49.2666734, 25.1394066 49.2668587, 25.1393546 49.2669619, 25.1392902 49.26712, 25.139163 49.267352, 25.1390987 49.2674624, 25.1390496 49.267556, 25.139073 49.2676482, 25.1391277 49.2677928)",,,
320315675,,,residential,False,False,87.046,"LINESTRING (25.1315442 49.2650005, 25.1315227 49.2651809, 25.1315085 49.2654457, 25.1314559 49.2656567, 25.1314014 49.2657746)",,,
320315675,,,residential,False,True,164.206,"LINESTRING (25.1315442 49.2650005, 25.1315496 49.2646625, 25.1315236 49.2642608, 25.1315466 49.2641008, 25.1316118 49.2639071, 25.1317642 49.2637146, 25.1319371 49.2635998)",,,
320315663,,вулиця Лесі Українки,residential,False,False,113.625,"LINESTRING (25.1314014 49.2657746, 25.1314486 49.2658956, 25.1315552 49.2660528, 25.1316617 49.2661722, 25.1317629 49.2662614, 25.1318642 49.2663077, 25.1320473 49.2663363, 25.1322986 49.2663509, 25.1324492 49.2663951)",,,
320315675,,,residential,False,True,87.046,"LINESTRING (25.1314014 49.2657746, 25.1314559 49.2656567, 25.1315085 49.2654457, 25.1315227 49.2651809, 25.1315442 49.2650005)",,,
320315663,,вулиця Лесі Українки,residential,False,False,90.959,"LINESTRING (25.1324492 49.2663951, 25.133059 49.2664481, 25.1334437 49.2664961, 25.1336732 49.2665552)",,,
320315663,,вулиця Лесі Українки,residential,False,True,113.62499999999999,"LINESTRING (25.1324492 49.2663951, 25.1322986 49.2663509, 25.1320473 49.2663363, 25.1318642 49.2663077, 25.1317629 49.2662614, 25.1316617 49.2661722, 25.1315552 49.2660528, 25.1314486 49.2658956, 25.1314014 49.2657746)",,,
