osmid,highway,oneway,reversed,length,ref,name,geometry,maxspeed,lanes,junction
127121193,unclassified,False,True,67.033,,,"LINESTRING (30.4592055 48.3796151, 30.4594957 48.3801863)",,,
127166384,secondary,False,False,184.664,Т-24-15,вулиця Степана Бандери,"LINESTRING (30.4592055 48.3796151, 30.4612441 48.3796833, 30.4617006 48.3797162)",,,
127166384,secondary,False,True,79.123,Т-24-15,вулиця Степана Бандери,"LINESTRING (30.4627412 48.3798854, 30.4617006 48.3797162)",,,
127166382,secondary,False,False,190.42899999999997,Т-24-15;О-120401,Соборна вулиця,"LINESTRING (30.4627412 48.3798854, 30.4629748 48.3800077, 30.4633181 48.3803368, 30.4635269 48.3806565, 30.4636153 48.3814204)",50,,
126734830,residential,False,False,358.28000000000003,,Набережна вулиця,"LINESTRING (30.4636153 48.3814204, 30.4627929 48.3819725, 30.4622054 48.3821672, 30.4617672 48.382443, 30.4613185 48.3827637, 30.4605117 48.3831252, 30.4600943 48.383453, 30.4600098 48.3835296)",,,
127166382,secondary,False,False,148.39600000000002,Т-24-15;О-120401,Соборна вулиця,"LINESTRING (30.4636153 48.3814204, 30.4636579 48.3815709, 30.4639288 48.3825273, 30.4640707 48.382713)",50,,
127166382,secondary,False,True,190.42899999999997,Т-24-15;О-120401,Соборна вулиця,"LINESTRING (30.4636153 48.3814204, 30.4635269 48.3806565, 30.4633181 48.3803368, 30.4629748 48.3800077, 30.4627412 48.3798854)",50,,
126735022,unclassified,False,False,192.799,,Соборна вулиця,"LINESTRING (30.4637228 48.3845207, 30.464015 48.3841974, 30.4641383 48.3840171, 30.4642505 48.3835685, 30.4642783 48.3828647)",,,
126735022,unclassified,False,True,122.85300000000001,,Соборна вулиця,"LINESTRING (30.4637228 48.3845207, 30.4635873 48.3845579, 30.4634612 48.3846277, 30.4624394 48.3852165)",,,
126762403,residential,False,False,231.37,,Паркова вулиця,"LINESTRING (30.4637228 48.3845207, 30.4636504 48.3846757, 30.4634846 48.3848944, 30.4630704 48.385355, 30.462156 48.3863164)",,,
162140876,secondary,False,True,270.209,Т-24-15,Соборна вулиця,"LINESTRING (30.4677138 48.3816727, 30.4644072 48.382713)",,,
859332959,tertiary,False,False,32.151,,Соборна вулиця,"LINESTRING (30.4677138 48.3816727, 30.4680564 48.3814943)",,,
1191721576,secondary,False,True,220.04500000000002,Т-24-15;О-120402,,"LINESTRING (30.4677138 48.3816727, 30.4678104 48.3817642, 30.4680477 48.3819889, 30.4683629 48.3823915, 30.4684011 48.3824753, 30.4688591 48.3834817)",,2,
1191721576,secondary,False,False,17.196,Т-24-15;О-120402,,"LINESTRING (30.4707953 48.3852136, 30.470636 48.3851008)",,2,
126998347,residential,False,True,194.541,,провулок Свободи,"LINESTRING (30.4707953 48.3852136, 30.4703955 48.3854114, 30.4697159 48.3856337, 30.4688841 48.3857482, 30.4683615 48.3858019)",,,
1191721576,secondary,False,True,132.89800000000002,Т-24-15;О-120402,,"LINESTRING (30.4707953 48.3852136, 30.4709928 48.3853174, 30.4718323 48.3857751, 30.4722011 48.3859595)",,2,
126734830,residential,False,True,358.28,,Набережна вулиця,"LINESTRING (30.4600098 48.3835296, 30.4600943 48.383453, 30.4605117 48.3831252, 30.4613185 48.3827637, 30.4617672 48.382443, 30.4622054 48.3821672, 30.4627929 48.3819725, 30.4636153 48.3814204)",,,
