osmid,ref,highway,oneway,reversed,length,geometry,maxspeed,junction
813271081,О-031592,tertiary,False,False,91.777,"LINESTRING (25.0133306 51.082223, 25.0136404 51.0830251)",,
813271081,О-031592,tertiary,False,True,22.636,"LINESTRING (25.0133306 51.082223, 25.0132823 51.0820217)",,
813271081,О-031592,tertiary,False,True,123.458,"LINESTRING (25.0140333 51.0841076, 25.0136404 51.0830251)",,
203534189,,unclassified,False,False,277.878,"LINESTRING (25.0140333 51.0841076, 25.0146153 51.0839711, 25.0177749 51.0832588)",,
813271081,О-031592,tertiary,False,False,201.705,"LINESTRING (25.0140333 51.0841076, 25.0143337 51.0851135, 25.014449 51.0854538, 25.0145215 51.0856105, 25.0146931 51.0858683)",,
203534159,,unclassified,False,False,171.265,"LINESTRING (25.0146931 51.0858683, 25.0168709 51.0851606)",,
203534159,,unclassified,False,True,470.78700000000003,"LINESTRING (25.0146931 51.0858683, 25.0129208 51.0865351, 25.0089179 51.0880514)",,
813271081,О-031592,tertiary,False,False,246.82100000000003,"LINESTRING (25.0146931 51.0858683, 25.0153824 51.0869112, 25.0155112 51.0870797, 25.0156426 51.0871656, 25.0158304 51.087233, 25.0160155 51.0872535, 25.0168562 51.0873046)",,
813271081,О-031592,tertiary,False,True,201.70499999999998,"LINESTRING (25.0146931 51.0858683, 25.0145215 51.0856105, 25.014449 51.0854538, 25.0143337 51.0851135, 25.0140333 51.0841076)",,
1103164634,М-19,trunk,False,True,48.155,"LINESTRING (25.0181508 51.0870388, 25.0186754 51.0867578)",50,
1103164634,М-19,trunk,False,False,47.669,"LINESTRING (25.0181508 51.0870388, 25.017944 51.0871495, 25.0176156 51.0873045)",50,
1062969778,,tertiary,True,False,28.926,"LINESTRING (25.0168562 51.0873046, 25.017269 51.0873255)",,
813271081,О-031592,tertiary,False,True,246.82100000000003,"LINESTRING (25.0168562 51.0873046, 25.0160155 51.0872535, 25.0158304 51.087233, 25.0156426 51.0871656, 25.0155112 51.0870797, 25.0153824 51.0869112, 25.0146931 51.0858683)",,
813271081,О-031592,tertiary,False,False,22.636,"LINESTRING (25.0132823 51.0820217, 25.0133306 51.082223)",,
