osmid,oneway,ref,highway,reversed,length,junction,geometry,lanes,name,maxspeed
82812692,True,Р-55,primary,False,81.918,,"LINESTRING (31.2359331 47.3553305, 31.2370024 47.3554646)",,,
283924177,True,Р-55,primary,False,22.036,roundabout,"LINESTRING (31.2359331 47.3553305, 31.2359838 47.3553662, 31.2360115 47.3554121, 31.2360121 47.3554616, 31.2359857 47.3555078)",,,
280290322,False,Р-55,primary,True,67.269,,"LINESTRING (31.2370024 47.3554646, 31.2378796 47.3555779)",1,Київська вулиця,50
201636398,True,Р-55,primary,False,77.32400000000001,,"LINESTRING (31.2370024 47.3554646, 31.2363937 47.3554484, 31.2361568 47.3554825, 31.2359857 47.3555078)",,,
283924173,True,Р-55,primary,False,6.462,roundabout,"LINESTRING (31.2359857 47.3555078, 31.2359316 47.3555529)",,,
82812682,True,Р-55,primary,False,29.214,,"LINESTRING (31.2354333 47.3552066, 31.2355818 47.3552646, 31.2356583 47.3552884, 31.2357872 47.3553084)",,,
201636399,False,Р-55,primary,False,173.403,,"LINESTRING (31.2354333 47.3552066, 31.2348502 47.3544698, 31.2343563 47.3538284)",1,Одеська вулиця,50
207424033,False,,tertiary,False,159.328,,"LINESTRING (31.2354333 47.3552066, 31.2337194 47.3556766, 31.2336772 47.3556883, 31.2336213 47.3557297, 31.2335285 47.3557986)",1,вулиця Мозолевського,50
283924175,True,Р-55,primary,False,11.484,roundabout,"LINESTRING (31.2357872 47.3553084, 31.2358634 47.3553096, 31.2359331 47.3553305)",,,
283924178,False,,tertiary,False,121.643,,"LINESTRING (31.2363779 47.3565109, 31.2371 47.3574894)",1,Одеська вулиця,50
283924178,False,,tertiary,True,89.871,,"LINESTRING (31.2363779 47.3565109, 31.2358612 47.3557824)",1,Одеська вулиця,50
235460210,False,,residential,False,175.299,,"LINESTRING (31.2363779 47.3565109, 31.2351261 47.3568222, 31.2342049 47.3570746)",1,вулиця Свободи,50
235460140,False,,residential,False,171.682,,"LINESTRING (31.2371 47.3574894, 31.2350098 47.358105)",1,Елеваторна вулиця,50
235460140,False,,residential,True,93.29,,"LINESTRING (31.2371 47.3574894, 31.2382496 47.3571773)",1,Елеваторна вулиця,50
283924178,False,,tertiary,True,121.643,,"LINESTRING (31.2371 47.3574894, 31.2363779 47.3565109)",1,Одеська вулиця,50
280290326,False,,residential,False,70.256,,"LINESTRING (31.2410349 47.3537501, 31.2408211 47.3543651)",1,Спортивний провулок,50
201636399,False,Р-55,primary,True,173.403,,"LINESTRING (31.2343563 47.3538284, 31.2348502 47.3544698, 31.2354333 47.3552066)",1,Одеська вулиця,50
