osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,access,junction
175853610,2,Bois de Rose Avenue,primary,80,False,True,18.242,"LINESTRING (55.4554004 -4.6275795, 55.4552991 -4.6274502)",,,,
101122155,,,residential,,False,False,69.883,"LINESTRING (55.4531663 -4.6251602, 55.4527122 -4.6254882, 55.4526425 -4.6254902)",,,,
147289824,2,Rue de la Possession,secondary,40,True,False,55.900999999999996,"LINESTRING (55.4531663 -4.6251602, 55.4529682 -4.624887, 55.4528626 -4.6247591)",,,,
147289846,,,secondary_link,,True,False,77.96700000000001,"LINESTRING (55.4528836 -4.6200813, 55.4527453 -4.6201213, 55.4526323 -4.6201559, 55.4525196 -4.6201903, 55.4524285 -4.6202229, 55.4523835 -4.6202388, 55.4523359 -4.6202632, 55.4522526 -4.6203565)",,,,
"[791048568, 149721914, 788173884]",2,Palm Street,secondary,40,False,False,226.058,"LINESTRING (55.4528836 -4.6200813, 55.4534567 -4.6200642, 55.4535768 -4.6200745, 55.4541559 -4.6200552, 55.4542067 -4.6200523, 55.4542281 -4.6200535, 55.4542814 -4.6200518, 55.4543924 -4.6200468, 55.4549214 -4.6200232)",,,,
147289823,,Olivier Maradan Street,secondary,,True,False,40.495,"LINESTRING (55.4517259 -4.6202348, 55.4518765 -4.6202021, 55.4520849 -4.6201677)",,,,
101120300,,Lodge Street,residential,,False,True,83.213,"LINESTRING (55.4505209 -4.6212044, 55.4497716 -4.6212515)",,,,
62062323,,Market Street,residential,,True,False,76.422,"LINESTRING (55.4505209 -4.6212044, 55.450625 -4.6212046, 55.4508533 -4.6211938, 55.4509103 -4.6211895, 55.4512097 -4.6211763)",,,,
"[101117683, 788279884]",,Olivier Maradan Street,secondary,40,True,False,114.50399999999999,"LINESTRING (55.4505209 -4.6212044, 55.4505164 -4.6211438, 55.4504898 -4.6206913, 55.4504684 -4.6202442, 55.4504782 -4.6201768)",,,,
788279891,2,Royal Street,primary,40,False,False,84.696,"LINESTRING (55.4505422 -4.6224153, 55.4497781 -4.6224257)",5,,,
101117686,,Quincy Street,secondary,40,True,False,134.67,"LINESTRING (55.4505422 -4.6224153, 55.4505277 -4.6214179, 55.4505229 -4.6212635, 55.4505209 -4.6212044)",,,,
37519106,2,Rue Royale,primary,40,False,False,79.643,"LINESTRING (55.4490221 -4.6224325, 55.4483037 -4.6224485)",6,,,
37519106,2,Rue Royale,primary,40,False,True,83.793,"LINESTRING (55.4490221 -4.6224325, 55.4497781 -4.6224257)",6,,,
149550966,2,Rue Royale,primary,40,True,False,74.028,"LINESTRING (55.4512101 -4.62241, 55.4505422 -4.6224153)",5,,,
62062326,1,Benezet Street,residential,,False,False,137.184,"LINESTRING (55.4512101 -4.62241, 55.451207 -4.6221011, 55.4512084 -4.6216297, 55.4512097 -4.6211763)",,,,
