osmid,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,name,junction
152678874,residential,False,False,37.255,"LINESTRING (-4.7388426 32.6783401, -4.739084 32.6786065)",,,,,
34781998,residential,False,False,104.845,"LINESTRING (-4.7388426 32.6783401, -4.7387033 32.6783888, -4.737808 32.6787016)",,,,,
34781998,residential,False,True,219.567,"LINESTRING (-4.7388426 32.6783401, -4.7400199 32.6779881, -4.740276 32.6779656, -4.7404785 32.6779757, -4.7407052 32.6780028, -4.7408142 32.6780233, -4.7410852 32.6781226)",,,,,
49031111,residential,False,False,63.656,"LINESTRING (-4.739084 32.6786065, -4.7390248 32.6791768)",,,,,
152678874,residential,False,False,92.617,"LINESTRING (-4.739084 32.6786065, -4.7400549 32.6787675)",,,,,
152678874,residential,False,True,37.255,"LINESTRING (-4.739084 32.6786065, -4.7388426 32.6783401)",,,,,
49031111,residential,False,True,63.656,"LINESTRING (-4.7390248 32.6791768, -4.739084 32.6786065)",,,,,
88119512,primary,False,False,88.525,"LINESTRING (-4.7390248 32.6791768, -4.7380967 32.6793303)",2,RN13,60,,
88119512,primary,False,True,92.668,"LINESTRING (-4.7390248 32.6791768, -4.7400103 32.6792571)",2,RN13,60,,
158859526,residential,False,False,117.52100000000002,"LINESTRING (-4.7390248 32.6791768, -4.7389966 32.679468, -4.7390261 32.6798834, -4.7390556 32.6802311)",,,,,
49031110,primary,True,False,38.327,"LINESTRING (-4.7404852 32.6794356, -4.7406916 32.6797333)",1,RN13,,,
88119512,primary,False,False,48.678,"LINESTRING (-4.7404852 32.6794356, -4.7400103 32.6792571)",2,RN13,60,,
88047460,primary,True,False,42.938,"LINESTRING (-4.7406591 32.6802807, -4.7409134 32.6799593)",1,RN13,,,
406592636,primary,False,True,318.709,"LINESTRING (-4.7406591 32.6802807, -4.7406677 32.6806055, -4.7407118 32.6809195, -4.7407874 32.6812154, -4.7408943 32.6815631, -4.7409978 32.6817961, -4.7410712 32.681942, -4.7413109 32.6823012, -4.7414853 32.6825212, -4.74174 32.6827816, -4.7418572 32.6828843)",2,RN13,60,,
234546379,tertiary,True,False,125.129,"LINESTRING (-4.7441364 32.68154, -4.7431097 32.6808192)",2,,60,,
152679732,residential,False,False,117.16399999999999,"LINESTRING (-4.7441364 32.68154, -4.7441632 32.6816466, -4.7441994 32.6817539, -4.7442169 32.6818447, -4.7442269 32.681974, -4.7442082 32.682158, -4.744109 32.6825767)",2,,60,زنقة الزرقطوني,
34781998,residential,False,False,132.858,"LINESTRING (-4.737808 32.6787016, -4.7364873 32.6791396)",,,,,
539663601,residential,False,False,74.949,"LINESTRING (-4.737808 32.6787016, -4.7380967 32.6793303)",,,,,
34781998,residential,False,True,104.845,"LINESTRING (-4.737808 32.6787016, -4.7387033 32.6783888, -4.7388426 32.6783401)",,,,,
152678874,residential,False,True,92.617,"LINESTRING (-4.7400549 32.6787675, -4.739084 32.6786065)",,,,,
152678876,residential,False,True,105.767,"LINESTRING (-4.7400549 32.6787675, -4.7409617 32.6781999)",,,,,
152678878,residential,False,False,15.914,"LINESTRING (-4.7400549 32.6787675, -4.7400391 32.67891)",,,,,
49031114,tertiary,True,False,95.654,"LINESTRING (-4.74315 32.6813148, -4.7441364 32.68154)",2,,,,
406592637,tertiary,False,False,15.338,"LINESTRING (-4.74315 32.6813148, -4.7431272 32.6811782)",2,,60,,
406592637,tertiary,False,True,43.735,"LINESTRING (-4.74315 32.6813148, -4.7431801 32.6817073)",2,,60,,
88119512,primary,False,False,92.668,"LINESTRING (-4.7400103 32.6792571, -4.7390248 32.6791768)",2,RN13,60,,
88119512,primary,False,True,48.678,"LINESTRING (-4.7400103 32.6792571, -4.7404852 32.6794356)",2,RN13,60,,
152678878,residential,False,True,38.69,"LINESTRING (-4.7400103 32.6792571, -4.7400391 32.67891)",,,,,
88047440,primary,True,False,19.361,"LINESTRING (-4.7409134 32.6799593, -4.7409735 32.6799321, -4.7410181 32.6798887, -4.7410416 32.6798328)",2,RN13,,Rond Point La Pomme,roundabout
88047440,primary,True,False,14.39,"LINESTRING (-4.7406916 32.6797333, -4.7406694 32.6797953, -4.7406786 32.6798595)",2,RN13,,Rond Point La Pomme,roundabout
88047464,primary,True,False,45.236,"LINESTRING (-4.7408929 32.6796541, -4.7404852 32.6794356)",1,RN13,,,
88047440,primary,True,False,22.094,"LINESTRING (-4.7408929 32.6796541, -4.7408142 32.6796551, -4.7407429 32.6796831, -4.7406916 32.6797333)",2,RN13,,Rond Point La Pomme,roundabout
88047442,primary,True,False,15.705,"LINESTRING (-4.7406786 32.6798595, -4.7406583 32.6799997)",1,RN13,,,
88047440,primary,True,False,27.111,"LINESTRING (-4.7406786 32.6798595, -4.7407146 32.6799124, -4.7407717 32.6799498, -4.7408415 32.6799663, -4.7409134 32.6799593)",2,RN13,,Rond Point La Pomme,roundabout
