osmid,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge
736537922,residential,False,False,309.62999999999994,"LINESTRING (-9.3282656 30.533671, -9.3280725 30.5335832, -9.3278217 30.5334353, -9.3276031 30.5332713, -9.3275785 30.5332459, -9.3274677 30.5331315, -9.3273228 30.532949, -9.3272263 30.5327619, -9.3271891 30.5326549, -9.3271592 30.532569, -9.3271294 30.5324392, -9.3271083 30.5323472, -9.3270788 30.5321369, -9.3270358 30.5317176, -9.3270117 30.5314034, -9.3270068 30.5313015)",,,,
"[96690632, 736537922]",residential,False,"[False, True]",390.834,"LINESTRING (-9.3302706 30.5311054, -9.3300158 30.5310857, -9.3295665 30.5310626, -9.3292084 30.5310384, -9.3288678 30.5310049, -9.3287673 30.5309934, -9.3286157 30.530976, -9.3284453 30.5309425, -9.3282455 30.530887, -9.327925 30.5307993, -9.3277507 30.530753, -9.3275777 30.5307219, -9.3273349 30.5306941, -9.3271562 30.5306734, -9.3269956 30.5306549, -9.3269943 30.5310395, -9.3270068 30.5313015)",,,,
"[736385058, 388672074, 316332906]",primary,False,False,505.54100000000005,"LINESTRING (-9.3302706 30.5311054, -9.3304905 30.5306999, -9.3306363 30.5304197, -9.3309157 30.5299075, -9.3310431 30.5296371, -9.3313153 30.5291716, -9.3314534 30.5289001, -9.331705 30.5284169, -9.3319082 30.5280456, -9.3325178 30.5269929)",2,RN11,80,yes
736385058,primary,False,True,141.99900000000002,"LINESTRING (-9.3302706 30.5311054, -9.3301583 30.5313152, -9.329716 30.5320788, -9.3296137 30.5322501)",2,RN11,80,
736385056,primary,True,False,251.53799999999998,"LINESTRING (-9.3296137 30.5322501, -9.3294968 30.5323622, -9.3294029 30.5325493, -9.3293171 30.5327665, -9.3292956 30.5330137, -9.3292916 30.5332724, -9.3293184 30.5334411, -9.3293922 30.5336525, -9.3295142 30.5338927, -9.3296912 30.5340857, -9.3299273 30.534267)",2,RN11,80,
736385058,primary,False,False,141.999,"LINESTRING (-9.3296137 30.5322501, -9.329716 30.5320788, -9.3301583 30.5313152, -9.3302706 30.5311054)",2,RN11,80,
736385057,primary,True,False,238.757,"LINESTRING (-9.3299273 30.534267, -9.3296142 30.533883, -9.3295067 30.5336291, -9.32946 30.5334255, -9.3294313 30.5332505, -9.3294246 30.5330276, -9.3294333 30.5328052, -9.3294834 30.5325756, -9.3296137 30.5322501)",2,RN11,80,
"[388672074, 736385058, 316332906]",primary,False,True,505.541,"LINESTRING (-9.3325178 30.5269929, -9.3319082 30.5280456, -9.331705 30.5284169, -9.3314534 30.5289001, -9.3313153 30.5291716, -9.3310431 30.5296371, -9.3309157 30.5299075, -9.3306363 30.5304197, -9.3304905 30.5306999, -9.3302706 30.5311054)",2,RN11,80,yes
"[96690632, 736537922]",residential,False,"[False, True]",390.834,"LINESTRING (-9.3270068 30.5313015, -9.3269943 30.5310395, -9.3269956 30.5306549, -9.3271562 30.5306734, -9.3273349 30.5306941, -9.3275777 30.5307219, -9.3277507 30.530753, -9.327925 30.5307993, -9.3282455 30.530887, -9.3284453 30.5309425, -9.3286157 30.530976, -9.3287673 30.5309934, -9.3288678 30.5310049, -9.3292084 30.5310384, -9.3295665 30.5310626, -9.3300158 30.5310857, -9.3302706 30.5311054)",,,,
736537922,residential,False,True,309.63,"LINESTRING (-9.3270068 30.5313015, -9.3270117 30.5314034, -9.3270358 30.5317176, -9.3270788 30.5321369, -9.3271083 30.5323472, -9.3271294 30.5324392, -9.3271592 30.532569, -9.3271891 30.5326549, -9.3272263 30.5327619, -9.3273228 30.532949, -9.3274677 30.5331315, -9.3275785 30.5332459, -9.3276031 30.5332713, -9.3278217 30.5334353, -9.3280725 30.5335832, -9.3282656 30.533671)",,,,
