osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,junction,tunnel
49038573,4,Avenue Allal El Fassi شارع علال الفاسي,secondary,False,False,159.955,"LINESTRING (-5.5344983 33.9001156, -5.5355697 33.8989849)",,,,
49038573,4,Avenue Allal El Fassi شارع علال الفاسي,secondary,False,True,102.862,"LINESTRING (-5.5344983 33.9001156, -5.5338136 33.9008455)",,,,
49038542,2,شارع الحسن الاول,secondary,False,True,95.901,"LINESTRING (-5.5344983 33.9001156, -5.5351534 33.9003928, -5.5354255 33.9005049)",,,,
584125535,,Rue Ibn Sina زنقة ابن سينا,residential,True,False,62.893,"LINESTRING (-5.5323332 33.8983318, -5.5322802 33.8977679)",,,,
584125536,3,Boulevard des F.A.R شارع الجيش الملكي,primary,True,False,40.28,"LINESTRING (-5.5323332 33.8983318, -5.5322975 33.8982883, -5.5322473 33.8982563, -5.5321875 33.8982388, -5.5321242 33.8982377, -5.5320636 33.8982531, -5.5320117 33.8982833, -5.5319779 33.8983206)",RR718,60,roundabout,
893912763,3,Boulevard des F.A.R شارع الجيش الملكي,primary,True,False,124.893,"LINESTRING (-5.5316075 33.898399, -5.5310959 33.898433, -5.5304469 33.8984836, -5.5302596 33.898498)",RR718,60,,
145604158,,Rue Ibn Sina زنقة ابن سينا,residential,True,False,55.206,"LINESTRING (-5.5316444 33.897327, -5.5317053 33.8978209)",,,,
264032845,2,,residential,False,False,53.911,"LINESTRING (-5.5316444 33.897327, -5.5322269 33.897291)",,,,
264032845,2,,residential,False,True,135.33,"LINESTRING (-5.5316444 33.897327, -5.5301829 33.897425)",,,,
145740064,,,residential,True,False,88.212,"LINESTRING (-5.5322802 33.8977679, -5.5332295 33.8976759)",,,,
584125535,,Rue Ibn Sina زنقة ابن سينا,residential,True,False,53.257,"LINESTRING (-5.5322802 33.8977679, -5.5322269 33.897291)",,,,
145604158,,Rue Ibn Sina زنقة ابن سينا,residential,True,False,32.922,"LINESTRING (-5.5317053 33.8978209, -5.5317383 33.8981157)",,,,
