nodeId,X,Y
0,129,96
1,131,96
2,135,97
3,135,97
4,135,97
5,140,97
6,121,98
7,120,99
8,128,99
9,129,99
10,135,99
11,115,100
12,127,100
13,129,100
14,131,100
15,133,100
16,135,100
17,166,100
18,106,101
19,111,101
20,113,101
21,121,101
22,127,101
23,134,101
24,140,101
25,100,102
26,109,102
27,114,102
28,122,102
29,127,102
30,139,102
31,115,103
32,119,103
33,133,103
34,133,103
35,142,103
36,144,103
37,146,103
38,147,103
39,147,103
40,108,104
41,121,104
42,141,104
43,148,104
44,164,104
45,100,105
46,101,105
47,111,105
48,121,105
49,126,105
50,130,105
51,132,105
52,150,105
53,107,106
54,128,106
55,133,106
56,140,106
57,141,106
58,151,106
59,111,107
60,111,107
61,121,107
62,130,107
63,133,107
64,134,107
65,152,107
66,153,107
67,111,108
68,112,108
69,132,108
70,135,108
71,136,108
72,136,108
73,111,109
74,114,109
75,121,109
76,135,109
77,136,109
78,137,109
79,137,109
80,137,109
81,145,109
82,110,110
83,115,110
84,121,110
85,125,110
86,137,110
87,158,110
88,109,111
89,110,111
90,111,111
91,115,111
92,125,111
93,125,111
94,126,111
95,127,111
96,128,111
97,139,111
98,140,111
99,140,111
100,141,111
101,108,112
102,108,112
103,115,112
104,116,112
105,119,112
106,121,112
107,121,112
108,122,112
109,126,112
110,127,112
111,127,112
112,127,112
113,135,112
114,142,112
115,142,112
116,143,112
117,143,112
118,108,113
119,108,113
120,117,113
121,117,113
122,120,113
123,121,113
124,121,113
125,142,113
126,143,113
127,161,113
128,109,114
129,118,114
130,118,114
131,119,114
132,120,114
133,122,114
134,124,114
135,125,114
136,127,114
137,127,114
138,131,114
139,141,114
140,162,114
141,110,115
142,120,115
143,120,115
144,120,115
145,120,115
146,126,115
147,127,115
148,127,115
149,127,115
150,129,115
151,129,115
152,129,115
153,129,115
154,130,115
155,139,115
156,140,115
157,147,115
158,148,115
159,163,115
160,151,126
161,171,126
162,124,127
163,125,127
164,125,127
165,128,127
166,123,128
167,130,128
168,145,128
169,169,128
170,95,129
171,108,129
172,111,129
173,132,129
174,148,129
175,105,130
176,106,130
177,108,130
178,134,130
179,154,130
180,95,131
181,105,131
182,123,131
183,135,131
184,135,131
185,136,131
186,150,131
187,150,131
188,151,131
189,151,131
190,151,131
191,152,131
192,152,131
193,152,131
194,153,131
195,153,131
196,153,131
197,103,132
198,123,132
199,141,132
200,150,132
201,150,132
202,150,132
203,151,132
204,151,132
205,151,132
206,152,132
207,152,132
208,95,133
209,98,133
210,137,133
211,138,133
212,95,134
213,124,134
214,126,134
215,137,134
216,138,134
217,152,135
218,157,135
219,126,136
220,95,137
221,118,137
222,127,137
223,152,137
224,152,137
225,158,137
226,160,137
227,163,137
228,164,137
229,167,137
230,152,138
231,158,138
232,121,139
233,152,139
234,152,139
235,158,139
236,152,140
237,97,141
238,158,141
239,158,141
240,145,142
241,152,142
242,152,142
243,158,142
244,112,143
245,145,143
246,158,143
247,158,143
248,159,143
249,161,143
250,145,144
251,98,145
252,130,145
253,146,145
254,162,145
255,99,146
256,130,146
257,99,147
258,113,147
259,130,147
260,147,147
261,113,148
262,113,148
263,114,148
264,114,148
265,114,148
266,114,148
267,146,148
268,147,148
269,147,148
270,100,149
271,100,149
272,112,149
273,112,149
274,130,149
275,130,149
276,148,149
277,101,150
278,130,150
279,101,151
280,102,151
281,112,151
282,125,152
283,147,152
284,148,152
285,103,153
286,120,153
287,148,153
288,160,153
289,161,153
290,103,154
291,112,154
292,149,154
293,158,154
294,103,155
295,112,155
296,151,155
297,151,155
298,152,155
299,152,155
300,153,155
301,153,155
302,154,155
303,154,155
304,156,155
305,157,155
306,157,155
307,104,156
