nodeId,X,Y
0,135,86
1,136,86
2,137,86
3,138,86
4,139,86
5,131,87
6,132,87
7,134,87
8,145,87
9,151,87
10,152,87
11,140,88
12,140,88
13,127,89
14,132,89
15,125,90
16,152,90
17,152,90
18,153,90
19,158,90
20,162,90
21,163,90
22,164,90
23,141,91
24,146,91
25,149,91
26,151,91
27,152,91
28,111,92
29,112,92
30,142,92
31,132,93
32,119,94
33,123,94
34,124,94
35,125,94
36,125,94
37,127,94
38,128,94
39,132,94
40,117,95
41,110,96
42,125,96
43,125,96
44,125,97
45,125,97
46,125,97
47,126,97
48,126,97
49,110,98
50,117,101
51,117,101
52,102,106
53,110,106
54,108,107
55,110,107
56,116,107
57,122,107
58,126,107
59,132,107
60,142,108
61,148,108
62,153,108
63,163,108
64,168,108
65,172,108
66,108,109
67,116,110
68,126,110
69,126,111
70,108,112
71,126,113
72,172,114
73,108,115
74,116,115
75,126,115
76,108,116
77,108,116
78,116,116
79,126,116
80,108,117
81,108,119
82,126,119
83,132,119
84,141,119
85,148,119
86,153,119
87,162,119
88,170,119
89,126,120
90,116,121
91,108,123
92,126,123
93,126,124
94,141,124
95,142,124
96,107,125
97,116,125
98,127,125
99,132,125
100,139,125
101,140,125
102,145,125
103,147,125
104,153,125
105,161,125
106,170,125
107,172,125
108,140,126
109,81,127
110,82,127
111,87,127
112,90,127
113,100,127
114,101,127
115,102,127
116,103,127
117,105,127
118,107,127
119,107,127
120,111,127
121,116,127
122,126,127
123,132,127
124,133,127
125,133,127
126,138,127
127,140,127
128,141,127
129,141,127
130,143,127
131,144,127
132,147,127
133,153,127
134,161,127
135,165,127
136,170,127
137,172,127
138,173,127
139,174,127
140,116,128
141,133,128
142,141,128
143,141,128
144,142,128
145,142,128
146,147,128
147,153,128
148,161,128
149,161,128
150,165,128
151,168,128
152,170,128
153,172,128
154,173,128
155,173,128
156,174,128
157,174,128
158,90,129
159,92,129
160,107,129
161,141,129
162,173,129
163,103,121
164,114,121
165,114,121
166,141,121
167,141,121
168,142,121
169,152,121
170,109,122
171,109,122
172,109,122
173,124,122
174,125,122
175,141,122
176,151,122
177,152,122
178,153,122
179,157,122
180,159,122
181,161,122
182,114,123
183,120,123
184,141,123
185,151,123
186,160,123
187,160,123
188,161,123
189,90,124
190,114,124
191,158,124
192,97,125
193,114,125
194,127,125
195,149,125
196,151,125
197,152,125
198,152,125
199,154,125
200,156,125
201,157,125
202,89,126
203,110,126
204,110,126
205,114,126
206,127,126
207,148,126
208,148,126
209,157,126
210,89,127
211,107,127
212,107,127
213,108,127
214,110,127
215,111,127
216,111,127
217,111,127
218,112,127
219,113,127
220,114,127
221,114,127
222,115,127
223,120,127
224,143,127
225,148,127
226,157,127
227,89,128
228,114,128
229,115,128
230,120,128
231,127,128
232,144,128
233,157,128
234,157,128
235,170,128
236,127,129
237,127,129
238,145,129
239,158,129
240,169,129
241,170,129
242,89,130
243,97,130
244,108,130
245,111,130
246,145,130
247,167,130
248,167,130
249,168,130
250,169,130
251,169,130
252,96,131
253,97,131
254,102,131
255,108,131
256,158,131
257,159,131
258,160,131
259,164,131
260,166,131
261,89,132
262,96,132
263,109,132
264,158,132
265,160,132
266,160,132
267,91,133
268,95,133
269,96,133
270,109,133
271,128,133
272,128,133
273,145,133
274,158,133
275,161,133
276,161,133
277,92,134
278,93,134
279,94,134
280,95,134
281,96,134
282,110,134
283,110,134
284,128,134
285,128,134
286,157,134
287,162,134
288,95,135
289,111,135
290,111,135
291,128,135
292,128,135
293,128,135
294,132,135
295,136,135
296,137,135
297,138,135
298,139,135
299,145,135
300,145,135
301,145,135
302,145,135
303,152,135
304,153,135
305,154,135
306,155,135
307,162,135
308,94,136
309,111,136
310,112,136
311,127,136
312,140,136
313,141,136
314,141,136
315,142,136
316,142,136
317,146,136
318,154,136
319,163,136
320,94,137
321,95,137
322,126,137
323,142,137
324,142,137
325,84,159
326,97,159
327,129,159
328,139,159
329,80,160
330,82,160
331,83,160
332,111,160
333,70,161
334,76,161
335,77,161
336,79,161
337,80,161
338,81,161
339,83,161
340,83,161
341,108,161
342,157,161
343,74,162
344,78,162
345,79,162
346,81,162
347,82,162
348,83,162
349,86,162
350,86,162
351,105,162
352,128,162
353,157,162
354,85,163
355,80,164
356,82,164
357,78,165
358,84,165
359,93,165
360,109,165
361,144,165
362,155,165
363,157,165
364,164,165
365,169,165
366,98,166
367,127,166
368,139,166
369,141,166
370,83,167
371,169,167
372,157,168
373,136,88
374,136,89
375,137,90
376,138,91
377,140,92
378,78,93
379,142,93
