osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,ref,bridge
133748430,2,নবাব বাড়ী সড়ক,secondary,False,False,140.382,"LINESTRING (89.373075 24.8480428, 89.3733963 24.848058, 89.3738611 24.8480888, 89.3744614 24.8481451)",,,
243650444,,বীর শ্রেষ্ঠ চত্বর (সাতমাথা),trunk,True,False,19.736,"LINESTRING (89.373075 24.8480428, 89.3730492 24.8480051, 89.373011 24.8479774, 89.3729648 24.8479629, 89.3729159 24.8479632)",roundabout,,
243705688,,,tertiary,False,False,19.303,"LINESTRING (89.3728943 24.8526688, 89.3730845 24.8526501)",,,
243663758,,Shantahar Road,primary,False,True,128.676,"LINESTRING (89.3728943 24.8526688, 89.3725704 24.852772, 89.3719497 24.8528161, 89.3716404 24.8528241)",,R545,
243663758,,Shantahar Road,primary,False,False,107.86599999999999,"LINESTRING (89.3706993 24.853217, 89.3707678 24.8531207, 89.3709479 24.8530146, 89.3709821 24.8529945, 89.3712803 24.8528902, 89.3714725 24.8528481, 89.3716404 24.8528241)",,R545,
243663758,,Shantahar Road,primary,False,True,95.743,"LINESTRING (89.3706993 24.853217, 89.3706434 24.8533888, 89.3705012 24.8535165, 89.3701284 24.8537255, 89.3700224 24.8537616)",,R545,
"[541402259, 541402261]",,,residential,False,"[False, True]",81.215,"LINESTRING (89.3706993 24.853217, 89.3705982 24.8529835, 89.3705419 24.8528277, 89.3701959 24.8528593)",,,
133748429,2,শেরপুর সড়ক,trunk,True,False,38.844,"LINESTRING (89.372773 24.8476544, 89.3728062 24.8478294, 89.3728406 24.8479983)",,N514,
243706135,,,primary_link,True,False,25.845000000000002,"LINESTRING (89.372773 24.8476544, 89.3727549 24.8477087, 89.3727341 24.8477358, 89.3727074 24.8477488, 89.3726765 24.8477523, 89.3725812 24.8477435)",,,
154879790,2,,secondary,False,False,17.026,"LINESTRING (89.3728946 24.8506453, 89.3730633 24.8506488)",,Z5032,
243690612,4,রংপুর সড়ক,trunk,True,False,182.67000000000002,"LINESTRING (89.3728946 24.8506453, 89.3728991 24.8509485, 89.3729041 24.8516581, 89.3728889 24.8522879)",,N514,
243721990,2,চকযাদু সড়ক,tertiary,False,False,62.769,"LINESTRING (89.3728946 24.8506453, 89.3726203 24.8506443, 89.3722765 24.8505966)",,,
243721989,2,,secondary,False,False,144.41000000000003,"LINESTRING (89.3769281 24.8509536, 89.377065 24.8510784, 89.3771872 24.851267, 89.3773303 24.8515556, 89.3774506 24.851876, 89.3775358 24.8519662, 89.3776598 24.8520315)",,Z5032,
243721989,2,,secondary,False,True,48.396,"LINESTRING (89.3769281 24.8509536, 89.3766653 24.8508205, 89.3764875 24.8508044)",,Z5032,
541402311,,,residential,False,False,160.593,"LINESTRING (89.3769281 24.8509536, 89.3766224 24.8513966, 89.3765934 24.8515198, 89.376593 24.8516402, 89.3765979 24.8517346, 89.3765082 24.8521527, 89.3764455 24.8522656, 89.3764293 24.8522898)",,,
