osmid,highway,oneway,reversed,length,name,geometry,ref,lanes,bridge,junction
35679378,tertiary,False,True,66.398,,"LINESTRING (89.210449 23.164068, 89.2106794 23.1646263)",,,,
268552875,tertiary,False,False,28.85,,"LINESTRING (89.210449 23.164068, 89.210332 23.1638319)",,,,
409836291,residential,False,True,74.661,Mike Potti,"LINESTRING (89.210449 23.164068, 89.211143 23.1638589)",,,,
35679378,tertiary,False,False,66.398,,"LINESTRING (89.2106794 23.1646263, 89.210449 23.164068)",,,,
35679379,residential,False,False,58.778,,"LINESTRING (89.2106794 23.1646263, 89.2112367 23.1644963)",,,,
35679378,tertiary,False,True,130.57,,"LINESTRING (89.2106794 23.1646263, 89.2108461 23.1653733, 89.2109386 23.1657761)",,,,
35679379,residential,False,True,58.778,,"LINESTRING (89.2112367 23.1644963, 89.2106794 23.1646263)",,,,
268565952,residential,False,False,72.289,,"LINESTRING (89.2112367 23.1644963, 89.2112818 23.1644326, 89.2113378 23.1643757, 89.2114193 23.1643385, 89.2115133 23.1643166, 89.2116231 23.1643027, 89.2117141 23.1643071, 89.2117712 23.1643341, 89.2118019 23.1643636, 89.2118304 23.1643925)",,,,
268565953,residential,False,False,71.533,Mike Potti,"LINESTRING (89.2112367 23.1644963, 89.2112316 23.1644351, 89.211143 23.1638589)",,,,
268565954,residential,False,False,123.85900000000001,,"LINESTRING (89.2112367 23.1644963, 89.2113127 23.16485, 89.2114118 23.1651331, 89.2114542 23.1652373, 89.2115782 23.1655626)",,,,
268558634,residential,False,False,14.231,,"LINESTRING (89.211143 23.1638589, 89.2112565 23.1637848)",,,,
409836291,residential,False,False,74.661,Mike Potti,"LINESTRING (89.211143 23.1638589, 89.210449 23.164068)",,,,
268565953,residential,False,True,71.533,Mike Potti,"LINESTRING (89.211143 23.1638589, 89.2112316 23.1644351, 89.2112367 23.1644963)",,,,
268854296,unclassified,False,True,38.439,,"LINESTRING (89.2050692 23.1691092, 89.2054445 23.1690878)",,,,
