osmid,highway,oneway,reversed,length,geometry,bridge,lanes,name,maxspeed
1095598252,unclassified,False,False,22.973,"LINESTRING (91.0578402 23.1638756, 91.0580345 23.1639794)",,,,
660865907,unclassified,False,True,133.816,"LINESTRING (91.0578402 23.1638756, 91.0578236 23.1636542, 91.0578183 23.1632932, 91.0578024 23.1631036, 91.0577794 23.1628238, 91.057773 23.1626742)",,,,
1095598252,unclassified,False,True,52.772999999999996,"LINESTRING (91.0578402 23.1638756, 91.057768 23.1638405, 91.0575902 23.1637726, 91.0575014 23.1637432, 91.0573633 23.1636952)",,,,
660865907,unclassified,False,False,133.816,"LINESTRING (91.057773 23.1626742, 91.0577794 23.1628238, 91.0578024 23.1631036, 91.0578183 23.1632932, 91.0578236 23.1636542, 91.0578402 23.1638756)",,,,
"[660865905, 660865906, 1095598253, 961929455]",unclassified,False,True,216.298,"LINESTRING (91.057773 23.1626742, 91.0577464 23.1626707, 91.0576432 23.1626644, 91.0575984 23.1626568, 91.0575437 23.1626489, 91.0574894 23.1625875, 91.0574637 23.1625139, 91.0574357 23.1624743, 91.0573594 23.1624568, 91.0573185 23.162459, 91.0572473 23.1624821, 91.0572 23.1625073, 91.0571515 23.1625339, 91.0564983 23.1625577, 91.0561501 23.1625584, 91.0557978 23.1625975)",yes,1,"Poamgaon - Monohorgonj Rd, Monohorganj",
1206889860,residential,False,False,48.204,"LINESTRING (91.057773 23.1626742, 91.0577817 23.1624493, 91.0577951 23.1622412)",,,,
1095598252,unclassified,False,False,52.772999999999996,"LINESTRING (91.0573633 23.1636952, 91.0575014 23.1637432, 91.0575902 23.1637726, 91.057768 23.1638405, 91.0578402 23.1638756)",,,,
"[660865901, 660865902, 660865911]",tertiary,False,False,331.833,"LINESTRING (91.0556352 23.1651078, 91.055674 23.1650968, 91.0558723 23.1650943, 91.0561198 23.1650934, 91.0564725 23.1650897, 91.0568842 23.1651057, 91.0574925 23.1651366, 91.0584683 23.165258, 91.0588689 23.1652701)",yes,1,"Poamgaon - Monohorganj Rd, Monohorganj",40
660865911,tertiary,False,True,140.539,"LINESTRING (91.0556352 23.1651078, 91.0556238 23.1652024, 91.0555691 23.1656662, 91.055547 23.1657551, 91.0554842 23.1658044, 91.0554208 23.1658148, 91.0549068 23.1657587)",,1,"Poamgaon - Monohorganj Rd, Monohorganj",40
1206872194,living_street,False,False,152.174,"LINESTRING (91.0556352 23.1651078, 91.0556413 23.1650038, 91.0556631 23.16475, 91.0556631 23.1645255, 91.0556611 23.1643265, 91.0556949 23.164049, 91.055679 23.1637423)",,,,
1043456764,tertiary,False,False,7.156,"LINESTRING (91.0611086 23.1598805, 91.0611785 23.1598838)",,1,Batabariya - Monohorgonj Road,40
1043456764,tertiary,False,True,257.22200000000004,"LINESTRING (91.0611086 23.1598805, 91.0602672 23.1598749, 91.0600239 23.1598779, 91.0598332 23.1598668, 91.0596468 23.1598446, 91.0594429 23.1598228, 91.0591954 23.1597842, 91.0590203 23.1597503, 91.0586126 23.1596699)",,1,Batabariya - Monohorgonj Road,40
660865913,tertiary,False,True,47.981,"LINESTRING (91.0586126 23.1596699, 91.0585572 23.1600642, 91.0585514 23.1600977)",,1,Monohorgonj College Road,40
1043456764,tertiary,False,False,257.22200000000004,"LINESTRING (91.0586126 23.1596699, 91.0590203 23.1597503, 91.0591954 23.1597842, 91.0594429 23.1598228, 91.0596468 23.1598446, 91.0598332 23.1598668, 91.0600239 23.1598779, 91.0602672 23.1598749, 91.0611086 23.1598805)",,1,Batabariya - Monohorgonj Road,40
