osmid,oneway,ref,highway,junction,reversed,length,geometry,lanes,name,bridge
532667637,True,N703,trunk,roundabout,False,12.939,"LINESTRING (89.1727032 23.5450099, 89.1727106 23.5449876, 89.1727115 23.5449644, 89.1727059 23.5449417, 89.172694 23.5449211, 89.1726768 23.544904)",,,
659897571,False,N703,trunk,,False,20.397,"LINESTRING (89.1727286 23.5453953, 89.1727756 23.5455736)",2,H.S.S Road,
757523921,True,N703,trunk,,False,42.933,"LINESTRING (89.1727286 23.5453953, 89.1727032 23.5450099)",1,H.S.S Road,
659897571,False,N703,trunk,,True,20.397,"LINESTRING (89.1727756 23.5455736, 89.1727286 23.5453953)",2,H.S.S Road,
659897571,False,N703,trunk,,False,22.254,"LINESTRING (89.1727756 23.5455736, 89.1728094 23.5456819, 89.1728316 23.5457142, 89.1728533 23.545729, 89.1728772 23.54574)",2,H.S.S Road,
659897593,False,,residential,,False,120.59199999999998,"LINESTRING (89.1727756 23.5455736, 89.1727316 23.5457705, 89.1727155 23.5463458, 89.1726941 23.5466532)",,,
532667275,False,N703,trunk,,False,76.815,"LINESTRING (89.1726235 23.5432685, 89.1725149 23.5425849)",2,Sher-E-Bangla Road,
532667275,False,N703,trunk,,True,64.845,"LINESTRING (89.1726235 23.5432685, 89.1726489 23.5438512)",2,Sher-E-Bangla Road,
659897603,False,,unclassified,,False,235.176,"LINESTRING (89.1726235 23.5432685, 89.1730468 23.5431775, 89.1735309 23.5430693, 89.1738367 23.5430263, 89.1740204 23.5429993, 89.1741183 23.5429882, 89.1742645 23.5429722, 89.174404 23.5429587, 89.1746588 23.5429464, 89.1748952 23.5429282)",,,
"[57046377, 550125314, 550125313]",False,N704,trunk,,False,195.689,"LINESTRING (89.1735572 23.5471075, 89.1735897 23.5472063, 89.1736004 23.5474791, 89.1736514 23.5484751, 89.1736785 23.5488609)",2,,yes
57046377,False,N704,trunk,,True,72.217,"LINESTRING (89.1735572 23.5471075, 89.1734529 23.5468792, 89.1732375 23.5465291)",2,,
275871336,False,,tertiary,,True,81.72999999999999,"LINESTRING (89.1735572 23.5471075, 89.1733611 23.5471421, 89.1730768 23.5471962, 89.1727686 23.547239)",,,
659897571,False,N703,trunk,,False,53.59,"LINESTRING (89.176045 23.5446875, 89.1765471 23.5445447)",2,H.S.S Road,
659897571,False,N703,trunk,,True,77.61,"LINESTRING (89.176045 23.5446875, 89.1753173 23.5448927)",2,H.S.S Road,
470731804,False,,residential,,True,120.693,"LINESTRING (89.176045 23.5446875, 89.1759415 23.5443032, 89.1758691 23.5440733, 89.1758181 23.5438827, 89.1757832 23.5437192, 89.1757748 23.5436321)",,,
532667637,True,N703,trunk,roundabout,False,12.294,"LINESTRING (89.1726768 23.544904, 89.1726565 23.544892, 89.1726337 23.544885, 89.1726096 23.5448833, 89.1725858 23.544887, 89.1725638 23.544896)",,,
757523923,True,N703,trunk,,False,42.812000000000005,"LINESTRING (89.1726768 23.544904, 89.1726758 23.5448331, 89.1726663 23.544637, 89.1726638 23.5445192)",1,Sher-E-Bangla Road,
"[550125313, 550125314, 57046377]",False,N704,trunk,,True,195.689,"LINESTRING (89.1736785 23.5488609, 89.1736514 23.5484751, 89.1736004 23.5474791, 89.1735897 23.5472063, 89.1735572 23.5471075)",2,,yes
659897599,False,,unclassified,,False,119.077,"LINESTRING (89.1684106 23.543582, 89.1684133 23.5434665, 89.1684052 23.5433829, 89.1684025 23.5433091, 89.1684025 23.543255, 89.168424 23.5431837, 89.1684683 23.5431001, 89.1684937 23.5430423, 89.1685393 23.5429833, 89.168589 23.5429169, 89.1686641 23.5428554, 89.1687579 23.5428038, 89.1688089 23.5427558, 89.1688505 23.5427214, 89.1688813 23.5426796)",,,
659897600,False,,unclassified,,True,33.9,"LINESTRING (89.1684106 23.543582, 89.1685554 23.5435304, 89.1686869 23.5434886, 89.1687219 23.543475)",,,
659897571,False,N703,trunk,,True,102.639,"LINESTRING (89.1775058 23.5442626, 89.1765471 23.5445447)",2,H.S.S Road,
659897568,False,,residential,,True,288.062,"LINESTRING (89.1775058 23.5442626, 89.1774443 23.544091, 89.1771921 23.5430804, 89.1769025 23.5431124, 89.1757539 23.5434502)",,,
470731804,False,,residential,,False,20.34,"LINESTRING (89.1757539 23.5434502, 89.1757671 23.5435532, 89.1757748 23.5436321)",,,
470731804,False,,residential,,True,78.87400000000001,"LINESTRING (89.1757539 23.5434502, 89.1757484 23.5434069, 89.1757216 23.5433147, 89.175676 23.5432078, 89.1756022 23.5430565, 89.175507 23.5428893, 89.1754596 23.5427979)",,,
659897568,False,,residential,,False,288.06199999999995,"LINESTRING (89.1757539 23.5434502, 89.1769025 23.5431124, 89.1771921 23.5430804, 89.1774443 23.544091, 89.1775058 23.5442626)",,,
275871336,False,,tertiary,,False,122.06200000000001,"LINESTRING (89.1695112 23.5480089, 89.1697402 23.547865, 89.1699977 23.5477077, 89.1702498 23.5476339, 89.1705858 23.5475592)",,,
659897565,False,,residential,,True,362.327,"LINESTRING (89.1770772 23.5465328, 89.1769373 23.5465893, 89.1768488 23.5465967, 89.1767442 23.5465967, 89.1766477 23.5466065, 89.1765323 23.5466262, 89.1764358 23.5466409, 89.1762748 23.5466581, 89.1761112 23.546668, 89.1760227 23.546668, 89.1759369 23.5466803, 89.1756901 23.5467761, 89.1755855 23.5465696, 89.1755828 23.5464565, 89.1756391 23.5463286, 89.1756231 23.5460188, 89.1753173 23.5448927)",,,
659897589,False,,unclassified,,True,229.18400000000003,"LINESTRING (89.1770772 23.5465328, 89.1770554 23.5463827, 89.1769561 23.5458393, 89.1768099 23.5452504, 89.1767952 23.5451902, 89.1767737 23.5450488, 89.1767295 23.5449086, 89.1766517 23.544814, 89.1765471 23.5445447)",,,
659897571,False,N703,trunk,,False,77.61,"LINESTRING (89.1753173 23.5448927, 89.176045 23.5446875)",2,H.S.S Road,
659897565,False,,residential,,False,362.3270000000001,"LINESTRING (89.1753173 23.5448927, 89.1756231 23.5460188, 89.1756391 23.5463286, 89.1755828 23.5464565, 89.1755855 23.5465696, 89.1756901 23.5467761, 89.1759369 23.5466803, 89.1760227 23.546668, 89.1761112 23.546668, 89.1762748 23.5466581, 89.1764358 23.5466409, 89.1765323 23.5466262, 89.1766477 23.5466065, 89.1767442 23.5465967, 89.1768488 23.5465967, 89.1769373 23.5465893, 89.1770772 23.5465328)",,,
659897571,False,N703,trunk,,True,139.052,"LINESTRING (89.1753173 23.5448927, 89.1746468 23.5450918, 89.1740338 23.5453143)",2,H.S.S Road,
532667275,False,N703,trunk,,True,74.054,"LINESTRING (89.1720259 23.5403072, 89.1720611 23.540464, 89.1721708 23.5409598)",2,Sher-E-Bangla Road,
532667275,False,N703,trunk,,False,64.845,"LINESTRING (89.1726489 23.5438512, 89.1726235 23.5432685)",2,Sher-E-Bangla Road,
532667275,False,N703,trunk,,True,70.669,"LINESTRING (89.1726489 23.5438512, 89.1726637 23.5444866)",2,Sher-E-Bangla Road,
659897579,False,,unclassified,,True,193.213,"LINESTRING (89.1726489 23.5438512, 89.1724379 23.5438857, 89.1723146 23.543909, 89.172112 23.5439558, 89.1718237 23.544032, 89.1716386 23.5440591, 89.1715059 23.544075, 89.171412 23.5440923, 89.1713047 23.5441144, 89.1712484 23.5441193, 89.1711934 23.5441107, 89.1711424 23.5440959, 89.17107 23.5440959, 89.1709895 23.5441168, 89.1709211 23.5441365, 89.1707964 23.54415)",,,
659897592,False,,residential,,True,66.495,"LINESTRING (89.1718696 23.5473703, 89.171825 23.5467737)",,,
275871336,False,,tertiary,,False,92.797,"LINESTRING (89.1718696 23.5473703, 89.1725458 23.54727, 89.1727686 23.547239)",,,
275871336,False,,tertiary,,True,133.088,"LINESTRING (89.1718696 23.5473703, 89.1718162 23.5473782, 89.1711188 23.5474274, 89.1706038 23.5475552, 89.1705858 23.5475592)",,,
659897592,False,,residential,,False,66.495,"LINESTRING (89.171825 23.5467737, 89.1718696 23.5473703)",,,
659897592,False,,residential,,True,64.735,"LINESTRING (89.171825 23.5467737, 89.1717473 23.5461959)",,,
659897590,False,,residential,,False,89.82200000000002,"LINESTRING (89.171825 23.5467737, 89.1719927 23.5467442, 89.1721094 23.5467282, 89.1722113 23.5467085, 89.1722877 23.5466913, 89.1723843 23.5466815, 89.1724661 23.5466643, 89.1725452 23.5466581, 89.1725895 23.5466544, 89.1726941 23.5466532)",,,
659897592,False,,residential,,False,64.735,"LINESTRING (89.1717473 23.5461959, 89.171825 23.5467737)",,,
659897591,False,,residential,,False,143.823,"LINESTRING (89.1717473 23.5461959, 89.1717285 23.5461233, 89.1717084 23.5460963, 89.1716386 23.5460631, 89.1715018 23.5460495, 89.171357 23.5460483, 89.1711827 23.5460471, 89.1710499 23.5460606, 89.1709936 23.5460668, 89.1706905 23.5461516, 89.1705886 23.5461836, 89.1705054 23.5462106, 89.1704625 23.5462426)",,,
659897592,False,,residential,,True,78.66799999999999,"LINESTRING (89.1717473 23.5461959, 89.1719377 23.5461221, 89.1721925 23.5460827, 89.1723132 23.5460508, 89.1724446 23.5460188, 89.1724876 23.5460065)",,,
659897592,False,,residential,,False,78.668,"LINESTRING (89.1724876 23.5460065, 89.1724446 23.5460188, 89.1723132 23.5460508, 89.1721925 23.5460827, 89.1719377 23.5461221, 89.1717473 23.5461959)",,,
659897593,False,,residential,,True,65.579,"LINESTRING (89.1727686 23.547239, 89.1726941 23.5466532)",,,
275871336,False,,tertiary,,False,81.72999999999999,"LINESTRING (89.1727686 23.547239, 89.1730768 23.5471962, 89.1733611 23.5471421, 89.1735572 23.5471075)",,,
275871336,False,,tertiary,,True,92.797,"LINESTRING (89.1727686 23.547239, 89.1725458 23.54727, 89.1718696 23.5473703)",,,
659897593,False,,residential,,False,65.579,"LINESTRING (89.1726941 23.5466532, 89.1727686 23.547239)",,,
