osmid,oneway,lanes,ref,name,highway,access,reversed,length,geometry,maxspeed,bridge
232553558,True,1,6,力石名古屋線,primary_link,yes,False,443.541,"LINESTRING (137.0711602 35.1723322, 137.0714349 35.1723629, 137.0716493 35.1723881, 137.0718684 35.17242, 137.0720712 35.1724509, 137.0722289 35.1724776, 137.0723982 35.1725125, 137.0725653 35.1725509, 137.0727435 35.1725995, 137.0730802 35.1727162, 137.0735328 35.1728973, 137.0738794 35.1730389, 137.0742068 35.1732121, 137.0744572 35.1733774, 137.0747942 35.1735978, 137.0753358 35.1739677, 137.0754393 35.1740606)",,
"[232553555, 749974935]",True,2,6,力石名古屋線,primary,,False,301.69500000000005,"LINESTRING (137.0711602 35.1723322, 137.0713824 35.1723374, 137.0715817 35.1723456, 137.0717714 35.1723572, 137.0719682 35.1723748, 137.0721466 35.1723966, 137.0723221 35.172424, 137.0724845 35.1724538, 137.0726428 35.1724879, 137.0727934 35.1725226, 137.0729421 35.1725629, 137.0731227 35.1726202, 137.0733072 35.172686, 137.0734886 35.1727537, 137.073658 35.1728228, 137.0738242 35.1729014, 137.0739994 35.1729906, 137.0742653 35.1731429)",60,
178604567,False,,,,residential,,False,78.03999999999999,"LINESTRING (137.064738 35.1722242, 137.0647392 35.1723199, 137.0647403 35.1725295, 137.0647927 35.1729237)",,
233399466,True,2,6,力石名古屋線,primary,,False,99.202,"LINESTRING (137.064738 35.1722242, 137.0653648 35.1722245, 137.0658294 35.1722275)",60,
65592659,False,1,215,田籾名古屋線,secondary,,False,331.012,"LINESTRING (137.0754393 35.1740606, 137.074783 35.1746446, 137.0744875 35.1748594, 137.0741361 35.1750822, 137.0736763 35.1753667, 137.0731608 35.1756834, 137.0728061 35.1759197, 137.0726791 35.1759886)",,
233399466,True,2,6,力石名古屋線,primary,,False,156.36,"LINESTRING (137.0688045 35.1723155, 137.0696336 35.1723203, 137.0705247 35.1723259)",60,
"[598268116, 233812245]",False,,,,residential,,True,263.09000000000003,"LINESTRING (137.0688045 35.1723155, 137.0687851 35.1724497, 137.0687714 35.172529, 137.0687667 35.1726344, 137.0687667 35.1727672, 137.068738 35.1728805, 137.0686902 35.1729742, 137.0686329 35.173064, 137.0685612 35.1731499, 137.0684848 35.1732163, 137.0684227 35.1732632, 137.0683224 35.1733218, 137.0682125 35.1733764, 137.0680548 35.1734194, 137.0679163 35.173435, 137.0677347 35.173435, 137.0675532 35.1734311, 137.0674098 35.1734467, 137.0672522 35.1734858, 137.0671041 35.17356, 137.0669429 35.1736855)",,
70368778,False,,,,residential,,True,29.187,"LINESTRING (137.0753124 35.1779464, 137.0752314 35.1778314, 137.0751259 35.1777344)",,
65592659,False,1,215,田籾名古屋線,secondary,,False,258.31,"LINESTRING (137.0726791 35.1759886, 137.0724386 35.176143, 137.0723487 35.1762011, 137.0721287 35.1763433, 137.0719319 35.1764738, 137.0714926 35.1767652, 137.0714022 35.1768227, 137.0711321 35.1769945, 137.0710033 35.1770765, 137.0707776 35.1772137, 137.0706059 35.1773181, 137.0704447 35.1774238)",,
65592659,False,1,215,田籾名古屋線,secondary,,True,331.012,"LINESTRING (137.0726791 35.1759886, 137.0728061 35.1759197, 137.0731608 35.1756834, 137.0736763 35.1753667, 137.0741361 35.1750822, 137.0744875 35.1748594, 137.074783 35.1746446, 137.0754393 35.1740606)",,
