osmid,highway,oneway,reversed,length,bridge,geometry,ref,name,lanes,maxspeed
"[134713928, 134713972, 1213990389, 134714037, 1213990390]",tertiary,False,False,138.326,yes,"LINESTRING (129.7047634 33.3379139, 129.7048781 33.3379484, 129.705543 33.3381116, 129.7056124 33.3381292, 129.7059438 33.3382144, 129.7061888 33.338273)",,,,
425356619,primary,False,True,309.667,,"LINESTRING (129.7047634 33.3379139, 129.7046596 33.3380971, 129.7044346 33.3384104, 129.7041432 33.3387985, 129.7039657 33.3391757, 129.7039066 33.3393432, 129.703885 33.3395601, 129.7038359 33.3397095, 129.7035897 33.3402854, 129.7035258 33.340435, 129.7035119 33.3404689)",40,佐世保吉井松浦線,,
"[134713665, 134711689, 134713596]",trunk,False,"[False, True]",129.35500000000002,yes,"LINESTRING (129.7034865 33.3429614, 129.703566 33.342928, 129.7041398 33.3426421, 129.70431 33.342565, 129.7044427 33.3425276, 129.7047442 33.3425168)",204;383,国道204号,2,
134714504,unclassified,False,False,109.712,,"LINESTRING (129.7100348 33.3369779, 129.711152 33.3372978)",,,,
375269918,primary,False,False,17.026,,"LINESTRING (129.7100348 33.3369779, 129.7099228 33.3370991)",11,県道11号 日野松浦線,,50
375269918,primary,False,True,17.026,,"LINESTRING (129.7099228 33.3370991, 129.7100348 33.3369779)",11,県道11号 日野松浦線,,50
375269918,primary,False,False,151.392,,"LINESTRING (129.7099228 33.3370991, 129.7096998 33.3372257, 129.7094495 33.3373309, 129.7092363 33.3373897, 129.7088446 33.337417, 129.7083835 33.3374446)",11,県道11号 日野松浦線,,50
"[1213988808, 134714457, 1213988807]",tertiary,False,True,230.106,yes,"LINESTRING (129.7099228 33.3370991, 129.7092858 33.3377791, 129.7091993 33.3379119, 129.7091727 33.3379641, 129.7090989 33.3380927, 129.7090227 33.3383096, 129.7088104 33.3389134)",,,,
134714504,unclassified,False,True,109.712,,"LINESTRING (129.711152 33.3372978, 129.7100348 33.3369779)",,,,
1213988809,unclassified,False,False,16.473,,"LINESTRING (129.711152 33.3372978, 129.7112339 33.3374292)",,,,
