osmid,lanes,ref,name,highway,oneway,reversed,length,maxspeed,width,geometry,bridge,tunnel
267388316,2,214,休息山梨線,secondary,False,False,70.477,,,"LINESTRING (138.6912109 35.6946843, 138.6905043 35.6949534)",,
267388316,2,214,休息山梨線,secondary,False,True,122.323,,,"LINESTRING (138.6912109 35.6946843, 138.6924483 35.6942368)",,
330996232,,216,万力小屋敷線,secondary,False,False,181.844,40,6,"LINESTRING (138.6912109 35.6946843, 138.6910298 35.6944544, 138.6908525 35.694218, 138.6906926 35.693995, 138.6906189 35.6938587, 138.6904724 35.6935223, 138.6903116 35.6932281)",,
330996232,,216,万力小屋敷線,secondary,False,True,101.87699999999998,40,6,"LINESTRING (138.6912109 35.6946843, 138.691406 35.6949565, 138.6914345 35.6950131, 138.691483 35.6951373, 138.691494 35.6952952, 138.6914759 35.6954316, 138.6914436 35.695543)",,
147442706,,,,tertiary,False,False,329.856,,,"LINESTRING (138.6852155 35.6970891, 138.684917 35.696859, 138.684586 35.696606, 138.6843761 35.6964536, 138.684287 35.6963889, 138.684221 35.696341, 138.6836029 35.6959737, 138.6825297 35.6953775, 138.6823376 35.6952735)",,
"[267388316, 147437530, 147443212]",2,"['214', '205']","['三日市場南線', '休息山梨線']",secondary,False,True,181.377,,,"LINESTRING (138.6852155 35.6970891, 138.685311 35.6970596, 138.6863329 35.6966228, 138.6863839 35.6966, 138.6870035 35.6963473)",yes,
147439061,,,,unclassified,False,True,100.365,,,"LINESTRING (138.6834707 35.6885512, 138.6824306 35.6888691)",,
330996232,,216,万力小屋敷線,secondary,False,False,24.306,40,6,"LINESTRING (138.6864844 35.6886724, 138.6863852 35.6884692)",,
330996232,,216,万力小屋敷線,secondary,False,True,29.683,40,6,"LINESTRING (138.6864844 35.6886724, 138.686618 35.6889163)",,
147442845,,,,residential,True,False,176.975,,,"LINESTRING (138.6864844 35.6886724, 138.6863034 35.6887001, 138.6861009 35.6887502, 138.6857804 35.6887938, 138.685413 35.6888836, 138.6852748 35.6889136, 138.6848484 35.689027, 138.6845981 35.6890935)",,
147439061,,,,unclassified,False,False,100.365,,,"LINESTRING (138.6824306 35.6888691, 138.6834707 35.6885512)",,
167623347,2,,,tertiary,False,False,265.788,,,"LINESTRING (138.6824306 35.6888691, 138.6826885 35.6892687, 138.6829026 35.6896179, 138.6830129 35.6898002, 138.6835433 35.6907228, 138.6837197 35.6910175)",,
167628313,2,,,tertiary,False,False,62.400999999999996,,,"LINESTRING (138.6845981 35.6890935, 138.6845122 35.6888995, 138.6844381 35.6887321, 138.6843623 35.688566)",,
167628313,2,,,tertiary,False,True,275.00800000000004,,,"LINESTRING (138.6845981 35.6890935, 138.6848313 35.6896448, 138.684958 35.6899365, 138.6851229 35.6903279, 138.6852333 35.6905658, 138.6856503 35.6914137)",,
330996232,,216,万力小屋敷線,secondary,False,False,29.683,40,6,"LINESTRING (138.686618 35.6889163, 138.6864844 35.6886724)",,
330996232,,216,万力小屋敷線,secondary,False,True,231.45800000000003,40,6,"LINESTRING (138.686618 35.6889163, 138.6867664 35.689116, 138.6868948 35.6892751, 138.6872146 35.6896377, 138.6874472 35.6898407, 138.6877681 35.6900342, 138.6883639 35.6904058)",,
301007850,,,,tertiary,False,False,40.343,,,"LINESTRING (138.6885897 35.6903109, 138.6889848 35.6901416)",,
301007850,,,,tertiary,False,True,22.961,,,"LINESTRING (138.6885897 35.6903109, 138.6883639 35.6904058)",,
147442666,,,,residential,False,False,93.44200000000001,,,"LINESTRING (138.6885897 35.6903109, 138.6884935 35.6897918, 138.688866 35.6897027)",,
147439273,2,,,tertiary,False,True,93.029,,,"LINESTRING (138.6883639 35.6904058, 138.6874668 35.690817)",,
301007850,,,,tertiary,False,False,22.961,,,"LINESTRING (138.6883639 35.6904058, 138.6885897 35.6903109)",,
330996232,,216,万力小屋敷線,secondary,False,False,231.458,40,6,"LINESTRING (138.6883639 35.6904058, 138.6877681 35.6900342, 138.6874472 35.6898407, 138.6872146 35.6896377, 138.6868948 35.6892751, 138.6867664 35.689116, 138.686618 35.6889163)",,
330996232,,216,万力小屋敷線,secondary,False,True,128.162,40,6,"LINESTRING (138.6883639 35.6904058, 138.6886067 35.6905624, 138.6893853 35.6912039)",,
147439273,2,,,tertiary,False,False,93.029,,,"LINESTRING (138.6874668 35.690817, 138.6883639 35.6904058)",,
147438123,,,,unclassified,False,True,101.211,,,"LINESTRING (138.6874668 35.690817, 138.6876205 35.6914623, 138.6876663 35.6917125)",,
147439273,2,,,tertiary,False,True,178.207,,,"LINESTRING (138.6874668 35.690817, 138.6870266 35.6910302, 138.6866559 35.6911778, 138.6863093 35.6912794, 138.6856503 35.6914137)",,
147439273,2,,,tertiary,False,True,72.438,,,"LINESTRING (138.6856503 35.6914137, 138.6848629 35.6915379)",,
167628313,2,,,tertiary,False,True,93.195,,,"LINESTRING (138.6856503 35.6914137, 138.6860338 35.6921918)",,
147439273,2,,,tertiary,False,False,178.207,,,"LINESTRING (138.6856503 35.6914137, 138.6863093 35.6912794, 138.6866559 35.6911778, 138.6870266 35.6910302, 138.6874668 35.690817)",,
167628313,2,,,tertiary,False,False,275.00800000000004,,,"LINESTRING (138.6856503 35.6914137, 138.6852333 35.6905658, 138.6851229 35.6903279, 138.684958 35.6899365, 138.6848313 35.6896448, 138.6845981 35.6890935)",,
"[147441930, 147442182]",,,,unclassified,False,True,224.80399999999997,,,"LINESTRING (138.6824489 35.6919349, 138.6824991 35.6921275, 138.6825997 35.6924755, 138.6826161 35.6925991, 138.6826278 35.692679, 138.68267 35.6927512, 138.6826957 35.6928121, 138.6826911 35.6930631, 138.682685 35.6931054, 138.682567 35.6939245)",,
"[147442345, 147440179, 147439273]",2,,,tertiary,False,"[False, True]",151.157,,,"LINESTRING (138.6824489 35.6919349, 138.6825275 35.6919228, 138.6825891 35.6919149, 138.6831875 35.6918095, 138.6840372 35.6916739, 138.6840876 35.6916602)",yes,
