osmid,highway,oneway,reversed,length,geometry,bridge,ref,name,lanes,tunnel
113353032,unclassified,False,False,59.135000000000005,"LINESTRING (136.5583935 35.3068691, 136.5584788 35.3070257, 136.558695 35.30734)",,,,,
113355905,unclassified,False,True,100.55600000000001,"LINESTRING (136.5583935 35.3068691, 136.5577157 35.3070476, 136.5573505 35.3071724)",,,,,
"[622559600, 622559601, 113354528]",unclassified,False,True,79.581,"LINESTRING (136.5583935 35.3068691, 136.5582266 35.3065661, 136.5581958 35.3065037, 136.5581623 35.3064227, 136.5581167 35.306195)",yes,,,,
113352872,unclassified,False,False,56.844,"LINESTRING (136.5592557 35.3094099, 136.5598699 35.3093093)",,,,,
113354632,unclassified,False,False,59.145,"LINESTRING (136.5592557 35.3094099, 136.5594622 35.3099144)",,,,,
113355031,unclassified,False,True,42.444,"LINESTRING (136.5592557 35.3094099, 136.5591122 35.3090466)",,,,,
113354951,unclassified,False,False,18.783,"LINESTRING (136.5573505 35.3071724, 136.5574403 35.3073246)",,,,,
113355905,unclassified,False,False,100.55600000000001,"LINESTRING (136.5573505 35.3071724, 136.5577157 35.3070476, 136.5583935 35.3068691)",,,,,
"[622559602, 622559603, 113356155]",unclassified,False,False,124.022,"LINESTRING (136.5573505 35.3071724, 136.5571403 35.3068211, 136.5571176 35.306762, 136.5568668 35.3062125, 136.5568228 35.3061454)",yes,,,,
113354141,unclassified,False,False,81.524,"LINESTRING (136.5561372 35.3031081, 136.5568048 35.3026175)",,,,,
379911355,primary,False,True,107.422,"LINESTRING (136.5561372 35.3031081, 136.5565027 35.3033033, 136.5570591 35.30371)",,96,大垣養老公園線,,
113353742,residential,False,True,196.817,"LINESTRING (136.5636682 35.304327, 136.5637238 35.3042031, 136.5638593 35.3040247, 136.5638963 35.3039353, 136.5640961 35.3037241, 136.5643501 35.303473, 136.5644445 35.3034007, 136.5645807 35.303349, 136.5647417 35.3033251, 136.5651588 35.3031571)",,,,,
