osmid,lanes,highway,oneway,reversed,length,ref,name,geometry,maxspeed,tunnel
28183105,2,tertiary,False,True,79.038,,,"LINESTRING (134.9532385 34.8574618, 134.9525558 34.8570243)",,
855915304,2,primary,False,True,195.435,75,小野藍本線,"LINESTRING (134.9532385 34.8574618, 134.9510973 34.8574172)",,
60420266,2,primary,False,False,124.189,75,小野藍本線,"LINESTRING (134.9532385 34.8574618, 134.9536899 34.8576901, 134.954324 34.8581306)",,
176971471,,tertiary,False,True,261.664,,,"LINESTRING (134.9532385 34.8574618, 134.9540256 34.8574478, 134.9542952 34.8574665, 134.9545513 34.8575479, 134.9546948 34.8576272, 134.9547645 34.8577053, 134.9549147 34.8578638, 134.9550328 34.8579243, 134.9551615 34.8579804, 134.9558562 34.858118)",,
176973049,,unclassified,False,False,101.375,,,"LINESTRING (134.9532385 34.8574618, 134.9533045 34.8576254, 134.9537956 34.8581736, 134.953853 34.8582091)",,
60420266,2,primary,False,True,34.793,75,小野藍本線,"LINESTRING (134.9588906 34.8615972, 134.9586192 34.8613774)",,
60420266,2,primary,False,False,72.328,75,小野藍本線,"LINESTRING (134.9588906 34.8615972, 134.9591599 34.8618218, 134.9592989 34.8619582, 134.9593621 34.862107)",,
60420266,2,primary,False,True,62.745,75,小野藍本線,"LINESTRING (134.9598392 34.864237, 134.959713 34.8636823)",,
"[60420266, 60420284]",2,primary,False,False,91.413,75,小野藍本線,"LINESTRING (134.9598392 34.864237, 134.9598684 34.8643738, 134.9599768 34.8650512)",,
723934079,2,primary,False,True,14.609,23,三木宍粟線,"LINESTRING (134.9498939 34.8574038, 134.9497338 34.8574023)",50,
855915304,2,primary,False,False,51.33,75,小野藍本線,"LINESTRING (134.9498939 34.8574038, 134.9504564 34.8574101)",,
723934079,2,primary,False,False,14.609,23,三木宍粟線,"LINESTRING (134.9497338 34.8574023, 134.9498939 34.8574038)",50,
176969406,2,trunk,True,False,232.156,175;427,小野バイパス,"LINESTRING (134.9497338 34.8574023, 134.9497841 34.8578275, 134.9498749 34.8581991, 134.9499659 34.8584383, 134.9500871 34.8587247, 134.95034 34.8591141, 134.9505229 34.8593583)",60,
855915304,2,primary,False,False,195.435,75,小野藍本線,"LINESTRING (134.9510973 34.8574172, 134.9532385 34.8574618)",,
855915304,2,primary,False,True,58.484,75,小野藍本線,"LINESTRING (134.9510973 34.8574172, 134.9504564 34.8574101)",,
176972295,,unclassified,False,False,130.966,,,"LINESTRING (134.9510973 34.8574172, 134.95107 34.8584946, 134.9511032 34.858591)",,
176971471,,tertiary,False,False,261.664,,,"LINESTRING (134.9558562 34.858118, 134.9551615 34.8579804, 134.9550328 34.8579243, 134.9549147 34.8578638, 134.9547645 34.8577053, 134.9546948 34.8576272, 134.9545513 34.8575479, 134.9542952 34.8574665, 134.9540256 34.8574478, 134.9532385 34.8574618)",,
176971471,,tertiary,False,True,305.05099999999993,,,"LINESTRING (134.9558562 34.858118, 134.9575996 34.8584536, 134.9581951 34.8585725, 134.9584673 34.8586187, 134.9587624 34.858644, 134.9591272 34.8586539)",,
176974825,,unclassified,False,True,98.555,,,"LINESTRING (134.9558562 34.858118, 134.9557771 34.8581873, 134.9556765 34.8582137, 134.9554445 34.8582687, 134.9553291 34.8583249, 134.9552111 34.858436, 134.955055 34.8586496)",,
176974233,,residential,False,False,3.329,,,"LINESTRING (134.9534773 34.8582761, 134.9534576 34.8583013)",,
176974233,,residential,False,True,35.08,,,"LINESTRING (134.9534773 34.8582761, 134.953853 34.8582091)",,
723937526,,unclassified,False,False,86.321,,,"LINESTRING (134.9534773 34.8582761, 134.953419 34.858125, 134.9533412 34.8581096, 134.9527591 34.8581074, 134.9526692 34.8581177)",,
176974233,,residential,False,False,35.08,,,"LINESTRING (134.953853 34.8582091, 134.9534773 34.8582761)",,
176973049,,unclassified,False,True,101.375,,,"LINESTRING (134.953853 34.8582091, 134.9537956 34.8581736, 134.9533045 34.8576254, 134.9532385 34.8574618)",,
176975231,,unclassified,False,False,200.5,,,"LINESTRING (134.953853 34.8582091, 134.953982 34.858526, 134.954098 34.85887, 134.954118 34.858899, 134.954208 34.859117, 134.954318 34.85949, 134.954434 34.859766, 134.9545049 34.8599288)",,
723936469,,unclassified,False,False,44.999,,,"LINESTRING (134.953853 34.8582091, 134.9542712 34.8581713, 134.954324 34.8581306)",,
176971471,,tertiary,False,False,305.051,,,"LINESTRING (134.9591272 34.8586539, 134.9587624 34.858644, 134.9584673 34.8586187, 134.9581951 34.8585725, 134.9575996 34.8584536, 134.9558562 34.858118)",,
176974979,,unclassified,False,False,301.529,,,"LINESTRING (134.9591272 34.8586539, 134.958986 34.859045, 134.9588884 34.8592735, 134.9587677 34.8596201, 134.9587342 34.8597687, 134.9585064 34.8604972, 134.9584942 34.8608625, 134.95847 34.8610276, 134.9585196 34.8612157, 134.9585196 34.8612895)",,
60420266,2,primary,False,True,88.2,75,小野藍本線,"LINESTRING (134.955055 34.8586496, 134.954324 34.8581306)",,
60420266,2,primary,False,False,163.439,75,小野藍本線,"LINESTRING (134.955055 34.8586496, 134.9560252 34.8593775, 134.9563493 34.8596643)",,
176974825,,unclassified,False,False,98.555,,,"LINESTRING (134.955055 34.8586496, 134.9552111 34.858436, 134.9553291 34.8583249, 134.9554445 34.8582687, 134.9556765 34.8582137, 134.9557771 34.8581873, 134.9558562 34.858118)",,
723937536,,unclassified,False,False,155.811,,,"LINESTRING (134.955055 34.8586496, 134.9548763 34.8588305, 134.9546464 34.8591845, 134.9546263 34.8594609, 134.9546424 34.8598348, 134.9545557 34.8599267)",,
176969406,2,trunk,True,False,12.63,175;427,小野バイパス,"LINESTRING (134.9505229 34.8593583, 134.9506059 34.8594492)",60,
