osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,tunnel
114598215,tertiary,False,False,211.011,"LINESTRING (140.7321272 39.7043466, 140.7314867 39.7043077, 140.7314433 39.7043051, 140.7310057 39.7042824, 140.7306837 39.7043154, 140.7296884 39.7044766)",,,,,
114598822,unclassified,False,False,58.748,"LINESTRING (140.7251065 39.7009539, 140.7257905 39.7010006)",,,,,
114599526,unclassified,False,True,34.956,"LINESTRING (140.7251065 39.7009539, 140.7252366 39.7006559)",,,,,
"[114599526, 114598231]",unclassified,False,"[False, True]",116.057,"LINESTRING (140.7251065 39.7009539, 140.7250474 39.7011047, 140.7250199 39.7013712, 140.7249424 39.7019872)",,,,,
"[413946418, 114598427]",residential,False,False,92.934,"LINESTRING (140.732468 39.698969, 140.7318855 39.6990456, 140.7314078 39.6991463)",,,,,yes
114598585,unclassified,False,False,74.51,"LINESTRING (140.7271388 39.7017761, 140.7272209 39.701109)",,,,,
114598181,unclassified,False,False,430.55600000000004,"LINESTRING (140.7271388 39.7017761, 140.7282131 39.7020207, 140.7285728 39.7020764, 140.7291596 39.7021423, 140.729437 39.7021593, 140.7298734 39.7021545, 140.7302308 39.7021467, 140.7305074 39.7021103, 140.7309909 39.7020194, 140.7314209 39.7019384, 140.7313981 39.7017463, 140.7313789 39.7014801, 140.7313619 39.7014343)",,,,,
114598792,unclassified,False,False,82.082,"LINESTRING (140.7271388 39.7017761, 140.7269591 39.7016091, 140.727036 39.7010911)",,,,,
114598881,residential,False,False,43.707,"LINESTRING (140.7356247 39.7038347, 140.7361275 39.7039044)",,,,,
114598881,residential,False,True,102.074,"LINESTRING (140.7356247 39.7038347, 140.7344577 39.7036435)",,,,,
569209899,residential,False,False,81.096,"LINESTRING (140.7356247 39.7038347, 140.7354562 39.7045524)",,,,,
114599622,tertiary,False,True,34.957,"LINESTRING (140.7342827 39.7024036, 140.7338761 39.7024348)",,,,,
569209894,residential,False,False,133.739,"LINESTRING (140.7342827 39.7024036, 140.7341275 39.7036004)",,,,,
114599622,tertiary,False,False,72.153,"LINESTRING (140.7342827 39.7024036, 140.7345237 39.7023924, 140.734732 39.7023988, 140.7351214 39.7024424)",,,,,
114598211,residential,False,True,50.381,"LINESTRING (140.7365444 39.7027391, 140.736377 39.7031735)",,,,,
114599622,tertiary,False,True,122.85700000000001,"LINESTRING (140.7365444 39.7027391, 140.7361717 39.7026103, 140.7359327 39.7025527, 140.7356916 39.7025105, 140.7351679 39.7024488)",,,,,
114598677,unclassified,False,False,29.535,"LINESTRING (140.7268408 39.7031016, 140.7264957 39.7030941)",,,,,
114598970,tertiary,False,False,216.769,"LINESTRING (140.7268408 39.7031016, 140.7270653 39.7030892, 140.7277352 39.7029755, 140.7293094 39.7026724)",,,,,
"[501113163, 114598348, 757634197]",tertiary,False,False,342.684,"LINESTRING (140.7268408 39.7031016, 140.7269304 39.7025426, 140.7270043 39.701961, 140.7270341 39.7017388, 140.727176 39.7006148, 140.7272244 39.7001244, 140.7272279 39.7000347)",yes,,,,
501113163,tertiary,False,True,127.91300000000001,"LINESTRING (140.7268408 39.7031016, 140.7268272 39.7032145, 140.7267737 39.7036147, 140.7267362 39.7040419, 140.726729 39.7042483)",,,,,
114599202,residential,False,False,58.579,"LINESTRING (140.7351679 39.7024488, 140.7349842 39.7029563)",,,,,
114599622,tertiary,False,True,4.041,"LINESTRING (140.7351679 39.7024488, 140.7351214 39.7024424)",,,,,
114599622,tertiary,False,False,122.85700000000001,"LINESTRING (140.7351679 39.7024488, 140.7356916 39.7025105, 140.7359327 39.7025527, 140.7361717 39.7026103, 140.7365444 39.7027391)",,,,,
"[114598592, 114598749]",tertiary,False,False,181.193,"LINESTRING (140.7276118 39.6973656, 140.7276449 39.6971178, 140.7276737 39.6957907, 140.7276723 39.6957376)",,,,,
114598592,tertiary,False,True,127.615,"LINESTRING (140.7276118 39.6973656, 140.7275122 39.6981811, 140.7274691 39.698508)",,,,,
114599008,unclassified,False,False,102.91,"LINESTRING (140.7276118 39.6973656, 140.7274201 39.697368, 140.7273164 39.6974425, 140.7268161 39.6977004, 140.7266343 39.6978509)",,,,,
114598626,unclassified,False,False,118.449,"LINESTRING (140.7271782 39.7000315, 140.727036 39.7010911)",,,,,
